t_recv,source,key,reason,detail,status
2026-09-08 09:53:37.991379+00:00,dse_ownership,FUEL&POWER,parse_error,no shareholding block on the company page for 'FUEL&POWER',
2026-09-08 09:53:51.212563+00:00,dse_ownership,GLAXOSMITH,parse_error,no shareholding block on the company page for 'GLAXOSMITH',
2026-09-08 09:54:08.508812+00:00,dse_ownership,HIMADRI,parse_error,no shareholding block on the company page for 'HIMADRI',
2026-09-08 09:54:15.388464+00:00,dse_ownership,ICB2NDNRB,parse_error,no shareholding block on the company page for 'ICB2NDNRB',
2026-09-08 09:54:32.726332+00:00,dse_ownership,INSURANCE,parse_error,no shareholding block on the company page for 'INSURANCE',
2026-09-08 09:54:43.297432+00:00,dse_ownership,ITSECTOR,parse_error,no shareholding block on the company page for 'ITSECTOR',
2026-09-08 09:54:50.292890+00:00,dse_ownership,JUTE,parse_error,no shareholding block on the company page for 'JUTE',
2026-09-08 09:54:58.152091+00:00,dse_ownership,KBSEED,parse_error,no shareholding block on the company page for 'KBSEED',
2026-09-08 09:55:01.569818+00:00,dse_ownership,KFL,parse_error,no shareholding block on the company page for 'KFL',
2026-09-08 09:55:08.786612+00:00,dse_ownership,LBS,parse_error,no shareholding block on the company page for 'LBS',
2026-09-08 09:55:12.144151+00:00,dse_ownership,LIFEINSURANCE,parse_error,no shareholding block on the company page for 'LIFEINSURANCE',
2026-09-08 09:55:20.702848+00:00,dse_ownership,MAMUNAGRO,parse_error,no shareholding block on the company page for 'MAMUNAGRO',
2026-09-08 09:55:21.829689+00:00,dse_ownership,MASTERAGRO,parse_error,no shareholding block on the company page for 'MASTERAGRO',
2026-09-08 09:55:38.710996+00:00,dse_ownership,MISCELLANEOUS,parse_error,no shareholding block on the company page for 'MISCELLANEOUS',
2026-09-08 09:55:42.079233+00:00,dse_ownership,MKFOOTWEAR,parse_error,no shareholding block on the company page for 'MKFOOTWEAR',
2026-09-08 09:55:45.782406+00:00,dse_ownership,MONNOSTAF,parse_error,no shareholding block on the company page for 'MONNOSTAF',
2026-09-08 09:55:46.900787+00:00,dse_ownership,MOSTFAMETL,parse_error,no shareholding block on the company page for 'MOSTFAMETL',
2026-09-08 09:55:50.172191+00:00,dse_ownership,MUTUALFUNDS,parse_error,no shareholding block on the company page for 'MUTUALFUNDS',
2026-09-08 09:55:59.549854+00:00,dse_ownership,NIALCO,parse_error,no shareholding block on the company page for 'NIALCO',
2026-09-08 09:56:03.271621+00:00,dse_ownership,NLI1STMF,parse_error,no shareholding block on the company page for 'NLI1STMF',
2026-09-08 09:56:22.346646+00:00,dse_ownership,ORYZAAGRO,parse_error,no shareholding block on the company page for 'ORYZAAGRO',
2026-09-08 09:56:25.349732+00:00,dse_ownership,PAPER&PRINTING,parse_error,no shareholding block on the company page for 'PAPER&PRINTING',
2026-09-08 09:56:34.864912+00:00,dse_ownership,PHARMACEUTICALS&CHEMICALS,parse_error,no shareholding block on the company page for 'PHARMACEUTICALS&CHEMICALS',
2026-09-08 09:57:41.507183+00:00,dse_ownership,SADHESIVE,parse_error,no shareholding block on the company page for 'SADHESIVE',
2026-09-08 09:58:01.605741+00:00,dse_ownership,SEBL1STMF,parse_error,no shareholding block on the company page for 'SEBL1STMF',
2026-09-08 09:58:04.451536+00:00,dse_ownership,SEMLLECMF,parse_error,no shareholding block on the company page for 'SEMLLECMF',
2026-09-08 09:58:05.116819+00:00,dse_ownership,SERVICES&REALESTATE,parse_error,no shareholding block on the company page for 'SERVICES&REALESTATE',
2026-09-08 09:58:35.630073+00:00,dse_ownership,T10Y0126,parse_error,no shareholding block on the company page for 'T10Y0126',
2026-09-08 09:58:39.257312+00:00,dse_ownership,TANNERYINDUSTRIES,parse_error,no shareholding block on the company page for 'TANNERYINDUSTRIES',
