source,t_recv,seq,epoch,body_sha256,http_status,elapsed_ms,announcement_date,announcement_type,announcement_text,category,url,is_pdf,link_text
bsec_publications,2026-09-08 09:50:03.876688+00:00,1,a4e388692d1a4e3fa50e0610a30f29c3,5f8170a41f61893e347c389646e4b3b2ea46586c06d36af2707ad2ad8ed9e81a,200,1767,"Jul 01, 2026",Order,Order regarding the imposition of market control parameters on the trading of listed securities in the stock exchanges.,law_order_directive,https://sec.gov.bd/storage/laws/Order_01.07.2026.pdf,True,"Jul 01, 2026 Order Order regarding the imposition of market control parameters on the trading of listed securities in the stock exchanges."
bsec_publications,2026-09-08 09:50:03.876688+00:00,1,a4e388692d1a4e3fa50e0610a30f29c3,5f8170a41f61893e347c389646e4b3b2ea46586c06d36af2707ad2ad8ed9e81a,200,1767,"May 24, 2026",Order,Gazette of Order regarding conversion of closed-end mutual fund/scheme into open-end mutual fund/scheme,law_order_directive,https://sec.gov.bd/storage/laws/Order_07.05.2026.pdf,True,"May 24, 2026 Order Gazette of Order regarding conversion of closed-end mutual fund/scheme into open-end mutual fund/scheme"
bsec_publications,2026-09-08 09:50:03.876688+00:00,1,a4e388692d1a4e3fa50e0610a30f29c3,5f8170a41f61893e347c389646e4b3b2ea46586c06d36af2707ad2ad8ed9e81a,200,1767,"Jun 08, 2026",Order,Order regarding the withdrawal of Floor Price from the trading of shares of BEXIMCO Limited and Islami Bank Bangladesh PLC,law_order_directive,https://sec.gov.bd/storage/laws/Order_08.06.2026.pdf,True,"Jun 08, 2026 Order Order regarding the withdrawal of Floor Price from the trading of shares of BEXIMCO Limited and Islami Bank Bangladesh PLC"
bsec_publications,2026-09-08 09:50:03.876688+00:00,1,a4e388692d1a4e3fa50e0610a30f29c3,5f8170a41f61893e347c389646e4b3b2ea46586c06d36af2707ad2ad8ed9e81a,200,1767,"Jul 30, 2026",Directive,"কমিশনে দৈনন্দিন গৃহীত চিঠিপত্র, প্রতিবেদন ও অন্যান্য দলিলাদি ব্যবস্থাপনা সংক্রান্ত আদেশ।",law_order_directive,https://sec.gov.bd/storage/laws/Order_30.07.2026.pdf,True,"Jul 30, 2026 Directive কমিশনে দৈনন্দিন গৃহীত চিঠিপত্র, প্রতিবেদন ও অন্যান্য দলিলাদি ব্যবস্থাপনা সংক্রান্ত আদেশ।"
bsec_publications,2026-09-08 09:50:03.876688+00:00,1,a4e388692d1a4e3fa50e0610a30f29c3,5f8170a41f61893e347c389646e4b3b2ea46586c06d36af2707ad2ad8ed9e81a,200,1767,"Jul 29, 2026",Directive,Regarding earning distribution of Open-End Mutual Fund Scheme,law_order_directive,https://sec.gov.bd/storage/laws/Regarding_earning_distribution_of_Open-End_Mutual_Fund_Scheme.pdf,True,"Jul 29, 2026 Directive Regarding earning distribution of Open-End Mutual Fund Scheme"
bsec_publications,2026-09-08 09:50:03.876688+00:00,1,a4e388692d1a4e3fa50e0610a30f29c3,5f8170a41f61893e347c389646e4b3b2ea46586c06d36af2707ad2ad8ed9e81a,200,1767,"Jul 15, 2026",,"আইপিও প্রক্রিয়া অধিকতর স্বচ্ছ, জবাবদিহিমূলক ও কার্যকর করতে অংশীজনদের সঙ্গে মতবিনিময় সভা",press_release,https://sec.gov.bd/storage/press_releases/1784539239_press-release-15072026.pdf,True,"Jul 15, 2026 আইপিও প্রক্রিয়া অধিকতর স্বচ্ছ, জবাবদিহিমূলক ও কার্যকর করতে অংশীজনদের সঙ্গে মতবিনিময় সভা"
bsec_publications,2026-09-08 09:50:03.876688+00:00,1,a4e388692d1a4e3fa50e0610a30f29c3,5f8170a41f61893e347c389646e4b3b2ea46586c06d36af2707ad2ad8ed9e81a,200,1767,"Jul 16, 2026",,"বাংলাদেশ সিকিউরিটিজ অ্যান্ড এক্সচেঞ্জ কমিশন (মার্জিন) বিধিমালা, ২০২৫-এর সংশোধন সংক্রান্ত বিভ্রান্তিকর সংবাদ প্রকাশের প্রেক্ষিতে কমিশনের স্পষ্টীকরণ",press_release,https://sec.gov.bd/storage/press_releases/1784539407_press-release-16072026.pdf,True,"Jul 16, 2026 বাংলাদেশ সিকিউরিটিজ অ্যান্ড এক্সচেঞ্জ কমিশন (মার্জিন) বিধিমালা, ২০২৫-এর সংশোধন সংক্রান্ত বিভ্রান্তিকর সংবাদ প্রকাশের প্রেক্ষিতে কমিশনের স্পষ্টীকরণ"
bsec_publications,2026-09-08 09:50:03.876688+00:00,1,a4e388692d1a4e3fa50e0610a30f29c3,5f8170a41f61893e347c389646e4b3b2ea46586c06d36af2707ad2ad8ed9e81a,200,1767,"Jul 20, 2026",,বিনিয়োগ শিক্ষার উদ্যোগ-কার্যক্রমসমূহ প্রসঙ্গে,press_release,https://sec.gov.bd/storage/press_releases/1784539443_press-release-regarding-fin-literacy-20072026.pdf,True,"Jul 20, 2026 বিনিয়োগ শিক্ষার উদ্যোগ-কার্যক্রমসমূহ প্রসঙ্গে"
bsec_publications,2026-09-08 09:50:03.876688+00:00,1,a4e388692d1a4e3fa50e0610a30f29c3,5f8170a41f61893e347c389646e4b3b2ea46586c06d36af2707ad2ad8ed9e81a,200,1767,"Jul 20, 2026",,"‘বাংলাদেশ সিকিউরিটিজ অ্যান্ড এক্সচেঞ্জ কমিশন (মার্জিন) বিধিমালা, ২০২৫’ এর খসড়া সংশোধনী প্রকাশ এবং মতামত, পরামর্শ ও আপত্তি আহ্বান প্রসঙ্গে",press_release,https://sec.gov.bd/storage/press_releases/1784539477_press-release-20072026.pdf,True,"Jul 20, 2026 ‘বাংলাদেশ সিকিউরিটিজ অ্যান্ড এক্সচেঞ্জ কমিশন (মার্জিন) বিধিমালা, ২০২৫’ এর খসড়া সংশোধনী প্রকাশ এবং মতামত, পরামর্শ ও আপত্তি আহ্বান প্রসঙ্গে"
bsec_publications,2026-09-08 09:50:03.876688+00:00,1,a4e388692d1a4e3fa50e0610a30f29c3,5f8170a41f61893e347c389646e4b3b2ea46586c06d36af2707ad2ad8ed9e81a,200,1767,"Jul 22, 2026",,আইএমএফ-এর ক্লাইমেট পলিসি ডায়াগনস্টিক টেকনিক্যাল অ্যাসিস্ট্যান্স মিশনের সঙ্গে বিএসইসির বৈঠক প্রসঙ্গে,press_release,https://sec.gov.bd/storage/press_releases/1785054701_press-release-22-07-2026.pdf,True,"Jul 22, 2026 আইএমএফ-এর ক্লাইমেট পলিসি ডায়াগনস্টিক টেকনিক্যাল অ্যাসিস্ট্যান্স মিশনের সঙ্গে বিএসইসির বৈঠক প্রসঙ্গে"
