source,t_recv,seq,epoch,body_sha256,http_status,elapsed_ms,symbol,sector,breaker_pct,tick_size,open_adj_price,lower_limit,upper_limit,reference_date
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,AIL,Textile,10.0,0.1,33.4,30.1,36.7,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,ALARABANK,Bank,10.0,0.1,16.2,14.6,17.8,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,ALIF,Textile,10.0,0.1,5.4,4.9,5.9,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,ALLTEX,Textile,10.0,0.1,23.9,21.6,26.2,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,AMANFEED,Miscellaneous,10.0,0.1,32.4,29.2,35.6,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,AMBEEPHA,Pharmaceuticals & Chemicals,7.5,0.1,757.2,700.5,813.9,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,AMCL(PRAN),Food & Allied,8.75,0.1,215.4,196.6,234.2,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,ANLIMAYARN,Textile,10.0,0.1,28.7,25.9,31.5,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,ANWARGALV,Engineering,10.0,0.1,105.8,95.3,116.3,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,AOL,Fuel & Power,10.0,0.1,15.9,14.4,17.4,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,APEXFOODS,Food & Allied,8.75,0.1,259.8,237.1,282.5,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,APEXFOOT,Tannery Industries,8.75,0.1,206.3,188.3,224.3,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,APEXSPINN,Textile,8.75,0.1,277.4,253.2,301.6,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,APEXTANRY,Tannery Industries,10.0,0.1,97.6,87.9,107.3,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,APOLOISPAT,Engineering,10.0,0.1,3.0,2.7,3.2,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,APSCLBOND,Corporate Bond,6.25,0.5,1057.0,991.0,1123.0,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,ARAMIT,Miscellaneous,10.0,0.1,195.5,176.0,215.0,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,ARAMITCEM,Cement,10.0,0.1,11.8,10.7,12.9,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,ARGONDENIM,Textile,10.0,0.1,22.8,20.6,25.0,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,ASIAINS,Insurance,10.0,0.1,41.8,37.7,45.9,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,ASIAPACINS,Insurance,10.0,0.1,48.9,44.1,53.7,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,ASIATICLAB,Pharmaceuticals & Chemicals,10.0,0.1,105.3,94.8,115.8,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,ATLASBANG,Engineering,10.0,0.1,82.5,74.3,90.7,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,AZIZPIPES,Engineering,10.0,0.1,79.2,71.3,87.1,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,BANGAS,Food & Allied,10.0,0.1,124.0,111.6,136.4,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,BANKASI1PB,Corporate Bond,3.75,0.5,8650.0,8326.0,8974.0,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,BANKASIA,Bank,10.0,0.1,16.9,15.3,18.5,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,BARKAPOWER,Fuel & Power,10.0,0.1,10.2,9.2,11.2,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,BATASHOE,Tannery Industries,7.5,0.1,887.7,821.2,954.2,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,BATBC,Food & Allied,8.75,0.1,231.6,211.4,251.8,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,BAYLEASING,Financial Institutions,10.0,0.1,4.6,4.2,5.0,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,BBS,Engineering,10.0,0.1,12.6,11.4,13.8,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,BBSCABLES,Engineering,10.0,0.1,17.9,16.2,19.6,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,BDAUTOCA,Engineering,10.0,0.1,185.5,167.0,204.0,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,BDCOM,IT Sector,10.0,0.1,29.8,26.9,32.7,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,BDFINANCE,Financial Institutions,10.0,0.1,12.3,11.1,13.5,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,BDLAMPS,Engineering,8.75,0.1,228.3,208.4,248.2,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,BDSERVICE,Travel & Leisure,10.0,0.1,5.2,4.7,5.7,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,BDTHAI,Engineering,10.0,0.1,16.4,14.8,18.0,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,BDTHAIFOOD,Food & Allied,10.0,0.1,25.1,22.6,27.6,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,BDWELDING,Fuel & Power,10.0,0.1,12.5,11.3,13.7,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,BEACHHATCH,Food & Allied,10.0,0.1,28.0,25.2,30.8,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,BEACONPHAR,Pharmaceuticals & Chemicals,10.0,0.1,104.8,94.4,115.2,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,BENGALWTL,Engineering,10.0,0.1,22.2,20.0,24.4,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,BERGERPBL,Miscellaneous,6.25,0.1,1493.5,1400.2,1586.8,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,BESTHLDNG,Travel & Leisure,10.0,0.1,14.4,13.0,15.8,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,BEXGSUKUK,Corporate Bond,10.0,0.5,70.0,63.0,77.0,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,BEXIMCO,Miscellaneous,10.0,0.1,21.5,19.4,23.6,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,BGIC,Insurance,10.0,0.1,42.0,37.8,46.2,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,BIFC,Financial Institutions,10.0,0.1,4.0,3.6,4.4,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,BNICL,Insurance,10.0,0.1,113.3,102.0,124.6,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,BPML,Paper & Printing,10.0,0.1,25.7,23.2,28.2,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,BPPL,Fuel & Power,10.0,0.1,20.0,18.0,22.0,2026-09-08
lankabd_circuit,2026-09-08 09:30:33.125193+00:00,1,2652a96ab6bf413d994c0b47b4c545d5,b659af1f609e0d3e4a1a43c7baab2d837296a33e78a7ac3334c421a0133cf794,200,1970,BRACBANK,Bank,10.0,0.1,62.3,56.1,68.5,2026-09-08
