regime,door,footprint,window,n_fresh_doors,n_doors_with_footprint,recall,base_share_predoor_rows,recall_lift,lead_median,lead_p25,lead_p75
FLOOR,limit_up,F17_abnormal_volume_persistent,5,1109,215,0.19688644688644688,0.07088576055811635,2.7775175907864837,1.0,1.0,2.0
FLOOR,limit_up,F17_abnormal_volume_persistent,10,1109,262,0.24103035878564857,0.1043025932567693,2.3108759932007303,1.0,1.0,5.0
FLOOR,limit_up,F18_quiet_volume_repeat,5,1109,84,0.07692307692307693,0.034932104148498816,2.202073960276528,2.0,1.0,4.0
FLOOR,limit_up,F18_quiet_volume_repeat,10,1109,108,0.09935602575896964,0.054548691925165656,1.821419034122291,3.0,2.0,5.0
FLOOR,abn_up,F01_quiet_volume,5,1494,212,0.14814814814814814,0.06959013330011213,2.1288671413984694,2.0,1.0,3.0
FLOOR,abn_up,F01_quiet_volume,10,1494,248,0.17663817663817663,0.10856321619799815,1.627053645094882,2.0,1.0,5.0
FLOOR,abn_up,F02_quiet_volume_persistent,5,1494,320,0.2236198462613557,0.1745483991528591,1.2811337562914153,1.0,1.0,3.0
FLOOR,abn_up,F02_quiet_volume_persistent,10,1494,418,0.29772079772079774,0.2553194195378178,1.166071888537642,2.0,1.0,5.0
FLOOR,abn_up,F03_dip_recovered,5,1494,174,0.12159329140461216,0.05155101532328392,2.3586982844485784,3.0,1.0,4.0
FLOOR,abn_up,F03_dip_recovered,10,1494,243,0.17307692307692307,0.08976560214684523,1.9280985025176014,3.0,2.0,6.0
FLOOR,abn_up,F04_dip_recovered_persistent,5,1494,68,0.047519217330538085,0.016731032764420083,2.8401843448416173,1.0,1.0,3.0
FLOOR,abn_up,F04_dip_recovered_persistent,10,1494,84,0.05982905982905983,0.02645401706792832,2.261624753451677,2.0,1.0,4.25
FLOOR,abn_up,F05_departure_calm,5,1494,265,0.18518518518518517,0.21968356795814128,0.8429632990141098,3.0,2.0,4.0
FLOOR,abn_up,F05_departure_calm,10,1494,390,0.2777777777777778,0.30825289022854746,0.9011360041809355,4.0,2.0,6.0
FLOOR,abn_up,F06_departure_any,5,1494,451,0.31516422082459816,0.2884016444499813,1.0927961989455939,2.0,1.0,3.0
FLOOR,abn_up,F06_departure_any,10,1494,592,0.42165242165242167,0.3964032711409567,1.0636956159286755,2.0,1.0,6.0
FLOOR,abn_up,F07_idio_activity,5,1494,147,0.10272536687631027,0.04838669490469665,2.1230085476728693,1.0,1.0,3.0
FLOOR,abn_up,F07_idio_activity,10,1494,192,0.13675213675213677,0.08093911760591145,1.689567922126062,2.0,1.0,5.0
FLOOR,abn_up,F08u_idio_move_up,5,1494,550,0.3843466107617051,0.1573439641210913,2.4427159497895543,2.0,1.0,3.0
