regime,variant,footprint,outcome,horizon,door_outcome,placebo,n_guarded_rows,n_population,n_occurrences,n_no_outcome,unmeasurable_share,n_measured,n_dates,n_hit,n_failed,n_distinct_doors,n_symbols_hit,top3_symbol_share,hit_rate,fail_share,base_sameday,lift_sameday,t_sameday,base_volmatched,excess_volmatched,lift_volmatched,t_volmatched,t_volmatched_nw,base_shockmatched,lift_shockmatched,t_shockmatched_nw,within_parent,within_parent_t_nw,within_parent_dates,within_parent_diff,within_parent_test,ref_moved_used,lift_vm_vs_ref_volume,lift_vm_vs_ref_moved,p_volmatched_nw,fdr10_volmatched_nw,eligible
DISCOVERY,fresh_both,PLACEBO_F01_quiet_volume,limit_up,1,True,True,362402.0,315269.0,5850.0,44.0,0.007521367521367521,5806.0,1223.0,40.0,5766.0,40.0,37.0,0.15,0.006889424733034792,0.9931105752669652,0.005564634350999605,1.238073213525199,0.5826974160027154,0.007202361676400688,-0.00031293694336589645,0.9565507874463917,-1.1203100728576643,-1.1088343186046652,0.006959323640343276,0.9899560774982098,-0.6480006278134886,,,,,,"MAX(F16u,F16d)",0.40384965725639793,0.2643568063452667,,False,True
DISCOVERY,fresh_both,PLACEBO_F02_quiet_volume_persistent,limit_up,1,True,True,362402.0,315269.0,23764.0,204.0,0.008584413398417775,23560.0,1381.0,126.0,23434.0,126.0,97.0,0.1111111111111111,0.005348047538200339,0.9946519524617997,0.005751610144489932,0.9298348469121803,0.4409165716833163,0.006846105735847651,-0.0014980581976473117,0.781180972738536,-1.5159885929720365,-1.502108409613884,0.006604777107728534,0.8097241513180451,-1.0131675661640482,,,,,,"MAX(F16u,F16d)",0.3298096371211841,0.2158907920426774,,False,True
DISCOVERY,fresh_both,PLACEBO_F03_dip_recovered,limit_up,1,True,True,362402.0,315269.0,2717.0,24.0,0.008833271991166729,2693.0,1016.0,10.0,2683.0,10.0,10.0,0.3,0.003713330857779428,0.9962866691422205,0.005353225425420789,0.6936623367560768,-0.2627470930950857,0.005803394847854217,-0.002090063990074789,0.6398549392434357,-0.30858685893251425,-0.31680469192972477,0.005885817981993251,0.6308946129730462,-0.658985320675209,,,,,,"MAX(F16u,F16d)",0.2701426848407218,0.17683327480624658,,False,False
DISCOVERY,fresh_both,PLACEBO_F04_dip_recovered_persistent,limit_up,1,True,True,362402.0,315269.0,1321.0,14.0,0.010598031794095382,1307.0,728.0,4.0,1303.0,4.0,4.0,0.75,0.00306044376434583,0.9969395562356542,0.005416477034707712,0.5650247835881353,-0.9508308390100815,0.005625410320865765,-0.0025649665565199353,0.5440392059925008,-1.039022878417461,-1.0411436018752127,0.0057117603980649115,0.5358144514224858,-0.7552016756304338,,,,,,"MAX(F16u,F16d)",0.2296898918045453,0.15035319494821114,,False,False
DISCOVERY,fresh_both,PLACEBO_F05_departure_calm,limit_up,1,True,True,362402.0,315269.0,14069.0,171.0,0.012154381974553983,13898.0,1365.0,85.0,13813.0,85.0,69.0,0.11764705882352941,0.006115987911929774,0.9938840120880702,0.005341120317265786,1.1450758546215742,0.14154530813207108,0.005659585712341553,0.0004564021995882208,1.0806423336946676,-0.37225059704613717,-0.39934490885305307,0.0058687230079743965,1.042132658777624,-0.6537605165895825,,,,,,"MAX(F16u,F16d)",0.4562403186603448,0.29865132085632046,,False,True
DISCOVERY,fresh_both,PLACEBO_F06_departure_any,limit_up,1,True,True,362402.0,315269.0,30493.0,362.0,0.011871577083265012,30131.0,1366.0,180.0,29951.0,180.0,118.0,0.08888888888888889,0.0059739139092628854,0.9940260860907371,0.005379378172179807,1.1105212755180147,1.1898740552251725,0.006262704141012087,-0.00028879023174920113,0.953887294490247,-0.6092602523496088,-0.5524348638567296,0.00652457626633113,0.9156018207787936,-1.175346362241472,,,,,,"MAX(F16u,F16d)",0.40272514747441823,0.2636207110946536,,False,True
DISCOVERY,fresh_both,PLACEBO_F07_idio_activity,limit_up,1,True,True,362402.0,315269.0,5242.0,45.0,0.008584509729111026,5197.0,913.0,38.0,5159.0,38.0,33.0,0.18421052631578946,0.007311910717721763,0.9926880892822783,0.005284121865364182,1.3837513410977749,0.12046654933198758,0.007745913561484709,-0.00043400284376294597,0.9439700894777662,-2.528071026824758,-2.228051931729031,0.007832845804271628,0.933493509311038,-2.3277067400924443,,,,,,"MAX(F16u,F16d)",0.3985381666075437,0.2608799463810836,,False,True
DISCOVERY,fresh_both,PLACEBO_F08u_idio_move_up,limit_up,1,True,True,362402.0,315269.0,8958.0,137.0,0.015293592319714222,8821.0,1093.0,63.0,8758.0,63.0,54.0,0.09523809523809523,0.007142047386917583,0.9928579526130824,0.005103210559370919,1.3995204202975304,1.8829985552613526,0.0064700315968529674,0.0006720157900646159,1.1038659209008324,0.5373327260826729,0.43274289736373406,0.006956682172077251,1.0266456351253692,-0.07680135440283128,,,,,,"MAX(F16u,F16d)",0.46604516943937296,0.3050694989878675,,False,True
DISCOVERY,fresh_both,PLACEBO_F08d_idio_move_down,limit_up,1,True,True,362402.0,315269.0,2884.0,56.0,0.019417475728155338,2828.0,909.0,15.0,2813.0,15.0,14.0,0.26666666666666666,0.005304101838755304,0.9946958981612447,0.005320141152867629,0.9969851713231933,-0.17619696566328832,0.005931927242084396,-0.0006278254033290917,0.8941616480264712,-0.6464777415590083,-0.5772217804951292,0.006063489146264336,0.8747606717533446,-1.0758780083100534,,,,,,"MAX(F16u,F16d)",0.37750935948870773,0.24711465478977068,,False,False
DISCOVERY,fresh_both,PLACEBO_F09_idio_quiet_volume,limit_up,1,True,True,362402.0,315269.0,1869.0,17.0,0.00909577314071696,1852.0,736.0,16.0,1836.0,16.0,15.0,0.25,0.008639308855291577,0.9913606911447084,0.005105390395145036,1.6921935810250899,0.540977127010148,0.007265433603104208,0.0013738752521873692,1.1890974891850048,-0.7260810994162993,-0.7109903831121666,0.0063499697746458,1.3605275555462744,-0.3603758436835424,,,,,,"MAX(F16u,F16d)",0.5020293953589166,0.32862448999002075,,False,False
DISCOVERY,fresh_both,PLACEBO_F10_coil_then_volume,limit_up,1,True,True,362402.0,315269.0,249.0,0.0,0.0,249.0,211.0,0.0,249.0,0.0,0.0,,0.0,1.0,0.00448746662334626,0.0,-10.187051110463436,0.004439800591727488,-0.004439800591727488,0.0,-4.2491713455347355,-3.6850446074417773,0.005285878779854683,0.0,-2.6722872879160606,,,,,,"MAX(F16u,F16d)",0.0,0.0,,False,False
DISCOVERY,fresh_both,PLACEBO_F11_closing_strength,limit_up,1,True,True,362402.0,315269.0,941.0,9.0,0.009564293304994687,932.0,603.0,10.0,922.0,10.0,10.0,0.3,0.01072961373390558,0.9892703862660944,0.005588076837243994,1.9200905868712717,1.0900143011369123,0.006384409344442878,0.004345204389462702,1.6805961452401008,0.6888371535727247,0.6776282172603534,0.006958700574580403,1.5418990397575132,0.27125961552089367,,,,,,"MAX(F16u,F16d)",0.7095370012224003,0.46445733519061877,,False,False
DISCOVERY,fresh_both,PLACEBO_F12_closing_strength_10s,limit_up,1,True,True,362402.0,315269.0,1206.0,9.0,0.007462686567164179,1197.0,658.0,12.0,1185.0,12.0,12.0,0.25,0.010025062656641603,0.9899749373433584,0.004959346464377068,2.02144833571349,1.7193210319828478,0.00647104193413738,0.0035540207225042237,1.5492192383664396,1.1258674653235163,1.124839395726801,0.005667017007869138,1.7690193346377725,1.2838389183290342,,,,,,"MAX(F16u,F16d)",0.6540705069090418,0.42814940467147006,,False,False
DISCOVERY,fresh_both,PLACEBO_F13_volume_price_divergence,limit_up,1,True,True,362402.0,315269.0,718.0,10.0,0.013927576601671309,708.0,506.0,5.0,703.0,5.0,5.0,0.6,0.007062146892655367,0.9929378531073446,0.006034476683614052,1.170299806084567,-0.14770254404798203,0.006630819617528924,0.0004313272751264429,1.065048862735793,-0.2389432212606647,-0.23688851521932908,0.005583856272415594,1.2647436732106752,-0.11094008597318451,,,,,,"MAX(F16u,F16d)",0.44965685442109554,0.29434183699344013,,False,False
DISCOVERY,fresh_both,PLACEBO_F14_volume_no_range,limit_up,1,True,True,362402.0,315269.0,961.0,6.0,0.006243496357960458,955.0,595.0,8.0,947.0,8.0,8.0,0.375,0.008376963350785341,0.9916230366492147,0.005586005403032919,1.499633950629026,1.1401452147925601,0.007471720619185906,0.0009052427315994352,1.1211558592374224,0.5663303952916635,0.6201150328955435,0.0080241500791239,1.0439689273234483,0.5137097837814101,,,,,,"MAX(F16u,F16d)",0.4733448714132292,0.3098478264332607,,False,False
DISCOVERY,fresh_both,PLACEBO_F15_REF_abnormal_volume,limit_up,1,True,True,362402.0,315269.0,16099.0,112.0,0.006956953848065097,15987.0,1366.0,112.0,15875.0,112.0,80.0,0.09821428571428571,0.007005692124851442,0.9929943078751485,0.005523372575205143,1.2683721819347382,1.2196452488022398,0.007578960725913278,-0.0005732686010618366,0.9243605262260075,-2.060686555446528,-1.9330888250979164,0.007658235146975998,0.9147919841058647,-2.0563366958236093,,,,,,"MAX(F16u,F16d)",0.39025913375105337,0.2554605566496722,,False,True
DISCOVERY,fresh_both,PLACEBO_F16u_REF_moved_up,limit_up,1,True,True,362402.0,315269.0,14502.0,193.0,0.013308509171148807,14309.0,1353.0,94.0,14215.0,94.0,75.0,0.11702127659574468,0.006569292053952058,0.9934307079460479,0.005255125707345969,1.2500732465389093,1.980578114952771,0.006538390117965252,3.0901935986806135e-05,1.0047262300702888,0.8250227387097822,0.7624050501618899,0.006902986283096703,0.9516594390515073,-0.020113923670931604,,,,,,"MAX(F16u,F16d)",0.4241890226588089,0.2776707948166178,,False,True
