panel,cohort,horizon,exec_status,exec_note,n_occurrences,n_untradeable,n_no_outcome,n_measured,n_dates,gross_mean,gross_median,net_verified_mean,t_clustered,t_naive,excess_vs_base,t_excess,fail_share_gross,fail_share_net_verified,p05,p95,mfe_mean,mae_mean,net_est_+0.2%,net_est_+0.4%,p_clustered,survives_fdr10,p_excess,excess_survives_fdr10,eligible
POSTBREAK,path2=DRIFT→DRIFT→CALM,2,UNKNOWN,sell 1 session after purchase — depends on broker saleability,2579,61,17,2501,412,-0.0013715902851346665,-0.0029282597790884456,-0.009371590285134667,-6.212049796915493,-10.65143422826364,0.00127141107815831,1.3929929252601827,0.594562175129948,0.6465413834466214,-0.06559728248581312,0.07509045135506982,0.036836499766697166,-0.029820475975702077,-0.011371590285134667,-0.013371590285134667,5.229784689482174e-10,True,0.1636219300687097,False,True
POSTBREAK,path2=DRIFT→DRIFT→CALM,3,OK,sell 2 sessions after purchase — unaffected by the settlement question,2579,61,30,2488,411,-0.0029630774728958377,-0.005263498105422415,-0.010963077472895839,-5.233929315264237,-9.654989792867122,0.0016765644394165316,1.5051800338649086,0.5932475884244373,0.6430868167202572,-0.08475902814990131,0.09919753868745254,0.04472877431140087,-0.038457605608321725,-0.012963077472895839,-0.014963077472895839,1.6594393365736077e-07,True,0.13227779693484323,False,True
POSTBREAK,path2=DRIFT→DRIFT→CALM,5,OK,sell 4 sessions after purchase,2579,61,58,2460,409,-0.004135324088338483,-0.00649359776340556,-0.012135324088338484,-4.4120303495306805,-8.499820605414358,0.0030307416383386064,2.1511698844443297,0.591869918699187,0.633739837398374,-0.10843685446600049,0.11687957181318652,0.056032475134009205,-0.051633557549205476,-0.014135324088338484,-0.016135324088338482,1.0240575433918855e-05,True,0.03146279312700148,False,True
POSTBREAK,path2=DRIFT→DRIFT→CALM,10,OK,sell 9 sessions after purchase,2579,61,89,2429,404,-0.008583797627660346,-0.010752791776261737,-0.016583797627660348,-4.343837630731004,-8.275110978156087,0.005349287625901043,2.7492325842855494,0.5780156442980651,0.6035405516673528,-0.1541506798272583,0.1614045899377369,0.07715856404682103,-0.07545617480062297,-0.018583797627660346,-0.020583797627660348,1.4001501822396498e-05,True,0.005973498292100131,True,True
POSTBREAK,path2=CALM→DRIFT→DRIFT,1,UNKNOWN,same-session round trip — needs intraday netting / same-day sell,2439,70,19,2350,413,-0.0017792141255234056,-0.0023781224049674358,-0.009779214125523406,-9.927349387512706,-15.931647545120702,-0.000973948293135894,-1.451458168577528,0.6225531914893617,0.6987234042553192,-0.04652001563489288,0.050866069460637,0.026791008720384712,-0.020908362285119834,-0.011779214125523406,-0.013779214125523406,3.1655848118140814e-23,True,0.14665232239316756,False,True
POSTBREAK,path2=CALM→DRIFT→DRIFT,2,UNKNOWN,sell 1 session after purchase — depends on broker saleability,2439,70,21,2348,412,-0.002098133617746517,-0.0031246680163047272,-0.010098133617746518,-7.374483048289441,-11.33594050661595,-0.0007009526807751249,-0.7287981745260075,0.5979557069846678,0.6588586030664395,-0.06439468816842542,0.06999042026733,0.03680408020015911,-0.031584401671465596,-0.012098133617746518,-0.014098133617746518,1.6498396850974047e-13,True,0.4661251283866875,False,True
POSTBREAK,path2=CALM→DRIFT→DRIFT,3,OK,sell 2 sessions after purchase — unaffected by the settlement question,2439,70,24,2345,411,-0.0022173680896583467,-0.005025136202672932,-0.010217368089658348,-5.640345252202029,-9.099454676829115,0.0005913336252529345,0.5051906445067424,0.5867803837953092,0.6443496801705757,-0.0801475363443278,0.09494100544127751,0.04459679440659408,-0.03950055816993016,-0.012217368089658348,-0.014217368089658348,1.6970953119225736e-08,True,0.6134249406341638,False,True
POSTBREAK,path2=CALM→DRIFT→DRIFT,5,OK,sell 4 sessions after purchase,2439,70,50,2319,409,-0.004325436712066193,-0.008126455557025276,-0.012325436712066193,-4.912269986608604,-8.236809980430214,0.0005509132402831232,0.33627298634100755,0.5929279862009487,0.628719275549806,-0.11008706497407657,0.11897656294686418,0.056435674975763864,-0.05240051268988076,-0.014325436712066193,-0.016325436712066193,9.002796743453003e-07,True,0.7366650187810208,False,True
POSTBREAK,path2=CALM→DRIFT→DRIFT,10,OK,sell 9 sessions after purchase,2439,70,89,2280,404,-0.006764240626538362,-0.011548719829000173,-0.014764240626538364,-4.071529304537847,-7.115013796978903,0.004871860091647908,2.178822793775619,0.5846491228070175,0.612719298245614,-0.15862801339929097,0.16093443698236543,0.07813772007962624,-0.07563029537591688,-0.016764240626538363,-0.018764240626538364,4.670548509013522e-05,True,0.029344834974758174,False,True
POSTBREAK,path2=DRIFT→CALM→DRIFT,1,UNKNOWN,same-session round trip — needs intraday netting / same-day sell,2267,55,19,2193,413,-0.00041054769268465994,0.0,-0.00841054769268466,-8.210932852043772,-13.062603638376766,0.001066586434310026,1.6318844051321166,0.602827177382581,0.6812585499316005,-0.04445176257083374,0.05316722412302162,0.027030318115552312,-0.01943886913939297,-0.01041054769268466,-0.01241054769268466,2.1947660391113267e-16,True,0.10270383985907852,False,True
POSTBREAK,path2=DRIFT→CALM→DRIFT,2,UNKNOWN,sell 1 session after purchase — depends on broker saleability,2267,55,34,2178,412,-0.0027806433018059125,-0.0030499043984794647,-0.010780643301805913,-6.732517560585789,-11.182171513478815,0.00015674920752288259,0.16683507622953272,0.6051423324150597,0.660238751147842,-0.06899287148695145,0.07454913473727874,0.03676230316734878,-0.03071172257123909,-0.012780643301805913,-0.014780643301805913,1.6675225421515256e-11,True,0.8674998186173711,False,True
POSTBREAK,path2=DRIFT→CALM→DRIFT,3,OK,sell 2 sessions after purchase — unaffected by the settlement question,2267,55,27,2185,411,-0.003933130319426386,-0.004866189651173011,-0.011933130319426387,-6.5200016989177465,-10.387161182274125,-0.00022586513453560068,-0.20417990685148235,0.597254004576659,0.6480549199084669,-0.08426034361773997,0.0895954840064896,0.04363491215137391,-0.038933370597611726,-0.013933130319426387,-0.015933130319426385,7.030659514745741e-11,True,0.8382129126127932,False,True
POSTBREAK,path2=DRIFT→CALM→DRIFT,5,OK,sell 4 sessions after purchase,2267,55,41,2171,408,-0.005414147946539036,-0.007067167223092443,-0.01341414794653904,-5.0359105363423184,-8.858816846356001,0.0013277001398829642,0.9277648410160879,0.5932749884845693,0.6269000460617227,-0.11232189714095672,0.10977774828404782,0.05494832017020187,-0.05206128171512038,-0.01541414794653904,-0.01741414794653904,4.755826576102518e-07,True,0.35352956553485626,False,True
POSTBREAK,path2=DRIFT→CALM→DRIFT,10,OK,sell 9 sessions after purchase,2267,55,82,2130,404,-0.011424267613006122,-0.013621113502662052,-0.019424267613006124,-4.803076807109272,-9.058141395426759,0.0031906722103868016,1.5362425841782004,0.6004694835680752,0.6314553990610329,-0.16543884191723074,0.15498879387832246,0.07667961341428102,-0.07801551939890855,-0.021424267613006122,-0.023424267613006124,1.5624591555683015e-06,True,0.12447889540942372,False,True
POSTBREAK,path2=DEPARTURE→DRIFT→DRIFT,1,UNKNOWN,same-session round trip — needs intraday netting / same-day sell,815,23,6,786,321,-0.00257918336576515,-0.002361130267840292,-0.01057918336576515,-7.266367461788943,-9.499002482211326,-0.0010515032867812826,-0.8738684067437492,0.6183206106870229,0.6946564885496184,-0.05179312779492097,0.052292495343543716,0.02718150994612985,-0.02166686566741256,-0.01257918336576515,-0.01457918336576515,3.692831895787139e-13,True,0.3821899216985471,False,True
POSTBREAK,path2=DEPARTURE→DRIFT→DRIFT,2,UNKNOWN,sell 1 session after purchase — depends on broker saleability,815,23,12,780,320,-0.003952582664625553,-0.0032362572528087438,-0.011952582664625552,-5.733741701161265,-7.110924160639194,-0.0027353437728422298,-1.473694325145806,0.5935897435897436,0.6474358974358975,-0.06835795070338868,0.0749902641751898,0.03697715709308745,-0.0345840160520264,-0.013952582664625552,-0.015952582664625552,9.823890376613323e-09,True,0.14056391147911595,False,True
POSTBREAK,path2=DEPARTURE→DRIFT→DRIFT,3,OK,sell 2 sessions after purchase — unaffected by the settlement question,815,23,11,781,319,-0.003138414408069015,-0.0023337233462202116,-0.011138414408069017,-5.1859796778412806,-5.375258420328467,-0.003357309357423317,-1.4823214295743712,0.5928297055057619,0.6312419974391805,-0.08465288533033678,0.09745533615071306,0.04549506561128325,-0.0432658762359714,-0.013138414408069017,-0.015138414408069017,2.1488224216640416e-07,True,0.138254788931768,False,True
POSTBREAK,path2=DEPARTURE→DRIFT→DRIFT,5,OK,sell 4 sessions after purchase,815,23,14,778,320,-0.0037762054964292826,-0.0062574144807900885,-0.011776205496429283,-4.452597772670156,-4.363213822105839,-0.003266489146712942,-1.2073414776705762,0.5629820051413882,0.6041131105398457,-0.11122728538105323,0.11521975600498227,0.059204671796610986,-0.05628969590029694,-0.013776205496429283,-0.01577620549642928,8.4837588260721e-06,True,0.22730066323665982,False,True
