footprint,regime,F01_quiet_volume,F02_quiet_volume_persistent,F03_absorption,F04_absorption_persistent,F05_departure_calm,F06_departure_any,F07_idio_activity,F08_idio_move,F09_idio_quiet_volume,F10_coil_then_volume,F11_closing_strength,F12_accumulation_proxy,F13_volume_price_divergence,F14_turnover_no_range,F15_REF_abnormal_volume,F16_REF_already_moved,F17_abnormal_volume_persistent,F18_quiet_volume_repeat
F01_quiet_volume,DISCOVERY,1.0,0.06705421536931111,0.051241415742208134,0.02487991131912797,0.25115977991153304,0.12361608920748705,0.2015962441314554,0.00014582219413794778,0.31694715087097725,0.004826802952867689,0.06151355726426548,0.015414729630535846,0.05760688506385341,0.09418091560948703,0.36137636703120835,0.0,0.36529284164859,0.47460879834661945
F02_quiet_volume_persistent,DISCOVERY,0.06705421536931111,1.0,0.015063922566152424,0.016381990289566523,0.05254212945231712,0.06752161334528906,0.03620258633992778,0.017869889482363944,0.021778771718561844,0.0008983111749910168,0.010155864306368573,0.0031394466294073,0.011325592990953771,0.0126617994568476,0.08913825958077493,0.02684370316283002,0.06034733112621246,0.05136178792331613
F03_absorption,DISCOVERY,0.051241415742208134,0.015063922566152424,1.0,0.14886888834833373,0.04167552625983415,0.04279097323207842,0.03487456406794915,0.020803270803270803,0.02582385816149547,0.0017271157167530224,0.07500629247420086,0.01730852444829078,0.00928714859437751,0.0020794824399260627,0.04669818077639307,0.017362083450014002,0.04440237501075639,0.027326796334994373
F04_absorption_persistent,DISCOVERY,0.02487991131912797,0.016381990289566523,0.14886888834833373,1.0,0.014970059880239521,0.015189249842633899,0.018294323379069142,0.007747357363272273,0.015393073117097306,0.0,0.030421216848673948,0.02948073701842546,0.0029350104821802936,0.004823747680890538,0.022112527073993856,0.008602624903496194,0.02848194186160321,0.023645743766122097
F05_departure_calm,DISCOVERY,0.25115977991153304,0.05254212945231712,0.04167552625983415,0.014970059880239521,1.0,0.4619236503783723,0.06658112346735101,0.0,0.08161481999300944,0.0015570727033177626,0.02205753632491101,0.017635384179189112,0.018403822332330563,0.027167562514606218,0.15261070503785767,0.0,0.14000179662235,0.12508595003438
F06_departure_any,DISCOVERY,0.12361608920748705,0.06752161334528906,0.04279097323207842,0.015189249842633899,0.4619236503783723,1.0,0.11233008669592208,0.13087217562674733,0.03860248532774915,0.0028532266636829002,0.01042356055592323,0.016673522555875498,0.01767337807606264,0.017011137585194215,0.33359534278204905,0.20135711212796745,0.18605766668443213,0.05967905082150961
F07_idio_activity,DISCOVERY,0.2015962441314554,0.03620258633992778,0.03487456406794915,0.018294323379069142,0.06658112346735101,0.11233008669592208,1.0,0.07627578718783931,0.35646687697160884,0.00973507819980849,0.025944076102623233,0.01752257716673406,0.056615384615384616,0.051214515657009074,0.3213123499599893,0.07076706261324743,0.21821138211382113,0.11975757575757576
F08_idio_move,DISCOVERY,0.00014582219413794778,0.017869889482363944,0.020803270803270803,0.007747357363272273,0.0,0.13087217562674733,0.07627578718783931,1.0,0.00012541543864049665,0.006277643030389499,0.0,0.008421052631578947,0.008885521421683428,0.006389561474307237,0.14735432016075017,0.4798105961746393,0.059976717112922004,5.876821814762576e-05
F09_idio_quiet_volume,DISCOVERY,0.31694715087097725,0.021778771718561844,0.02582385816149547,0.015393073117097306,0.08161481999300944,0.03860248532774915,0.35646687697160884,0.00012541543864049665,1.0,0.006984387838948234,0.05878510777269758,0.013520971302428256,0.061745919091554295,0.07893020221787345,0.11453720992264604,0.0,0.1276012587554563,0.22588020118884317
F10_coil_then_volume,DISCOVERY,0.004826802952867689,0.0008983111749910168,0.0017271157167530224,0.0,0.0015570727033177626,0.0028532266636829002,0.00973507819980849,0.006277643030389499,0.006984387838948234,1.0,0.006474820143884892,0.0005467468562055768,0.006129597197898424,0.014542936288088643,0.006605368843796237,0.004410016489626874,0.000756102829984878,0.0008532423208191126
F11_closing_strength,DISCOVERY,0.06151355726426548,0.010155864306368573,0.07500629247420086,0.030421216848673948,0.02205753632491101,0.01042356055592323,0.025944076102623233,0.0,0.05878510777269758,0.006474820143884892,1.0,0.008852963818321785,0.018907563025210083,0.032494279176201374,0.02352455633512175,0.0,0.023719841189046117,0.04434213714562636
F12_accumulation_proxy,DISCOVERY,0.015414729630535846,0.0031394466294073,0.01730852444829078,0.02948073701842546,0.017635384179189112,0.016673522555875498,0.01752257716673406,0.008421052631578947,0.013520971302428256,0.0005467468562055768,0.008852963818321785,1.0,0.0,0.0074990626171728535,0.020078502415458936,0.007608336089976844,0.03493535971578012,0.020447696943607405
F13_volume_price_divergence,DISCOVERY,0.05760688506385341,0.011325592990953771,0.00928714859437751,0.0029350104821802936,0.018403822332330563,0.01767337807606264,0.056615384615384616,0.008885521421683428,0.061745919091554295,0.006129597197898424,0.018907563025210083,0.0,1.0,0.055234087322461864,0.045078687650040014,0.007651715039577837,0.027344159245678366,0.042897508348317494
F14_turnover_no_range,DISCOVERY,0.09418091560948703,0.0126617994568476,0.0020794824399260627,0.004823747680890538,0.027167562514606218,0.017011137585194215,0.051214515657009074,0.006389561474307237,0.07893020221787345,0.014542936288088643,0.032494279176201374,0.0074990626171728535,0.055234087322461864,1.0,0.053450465707027946,0.005277437098152897,0.04717566728739913,0.0820969337289812
F15_REF_abnormal_volume,DISCOVERY,0.36137636703120835,0.08913825958077493,0.04669818077639307,0.022112527073993856,0.15261070503785767,0.33359534278204905,0.3213123499599893,0.14735432016075017,0.11453720992264604,0.006605368843796237,0.02352455633512175,0.020078502415458936,0.045078687650040014,0.053450465707027946,1.0,0.1691989312097239,0.47804747932782077,0.1715124033075487
F16_REF_already_moved,DISCOVERY,0.0,0.02684370316283002,0.017362083450014002,0.008602624903496194,0.0,0.20135711212796745,0.07076706261324743,0.4798105961746393,0.0,0.004410016489626874,0.0,0.007608336089976844,0.007651715039577837,0.005277437098152897,0.1691989312097239,1.0,0.06153096347741326,0.0
F17_abnormal_volume_persistent,DISCOVERY,0.36529284164859,0.06034733112621246,0.04440237501075639,0.02848194186160321,0.14000179662235,0.18605766668443213,0.21821138211382113,0.059976717112922004,0.1276012587554563,0.000756102829984878,0.023719841189046117,0.03493535971578012,0.027344159245678366,0.04717566728739913,0.47804747932782077,0.06153096347741326,1.0,0.27270826800459913
F18_quiet_volume_repeat,DISCOVERY,0.47460879834661945,0.05136178792331613,0.027326796334994373,0.023645743766122097,0.12508595003438,0.05967905082150961,0.11975757575757576,5.876821814762576e-05,0.22588020118884317,0.0008532423208191126,0.04434213714562636,0.020447696943607405,0.042897508348317494,0.0820969337289812,0.1715124033075487,0.0,0.27270826800459913,1.0
F01_quiet_volume,FLOOR,1.0,0.07937492248542725,0.055738907224055737,0.028037383177570093,0.08109868635327326,0.0627467450650987,0.1774193548387097,0.0,0.26218851570964247,0.016293279022403257,0.03734439834024896,0.010526315789473684,0.1275233874938454,0.06111696522655427,0.36489424787507413,0.0,0.3562300319488818,0.5547128927410617
F02_quiet_volume_persistent,FLOOR,0.07937492248542725,1.0,0.019643318686999225,0.024035850081477458,0.027032590051457975,0.04372747148850677,0.041149658141301594,0.040855718192054045,0.022993311036789296,0.0022886568445143756,0.005017201834862386,0.0021102982554867754,0.036779324055666,0.006879747742582772,0.11333271045501261,0.044489975120737595,0.09196023341257835,0.06471223993515267
F03_absorption,FLOOR,0.055738907224055737,0.019643318686999225,1.0,0.19651567944250872,0.011950868651101029,0.024046362771386557,0.04486062717770035,0.03745809648739251,0.027081922816519974,0.005097706032285472,0.04766107678729038,0.009324009324009324,0.008879781420765027,0.0025041736227045075,0.06802244039270687,0.03757367387033399,0.06678295539496636,0.03159478435305918
