panel,cohort,horizon,exec_status,exec_note,n_occurrences,n_untradeable,n_no_outcome,n_measured,n_dates,gross_mean,gross_median,net_verified_mean,t_clustered,t_naive,excess_vs_base,t_excess,fail_share_gross,fail_share_net_verified,p05,p95,mfe_mean,mae_mean,net_est_+0.2%,net_est_+0.4%,p_clustered,survives_fdr10,p_excess,excess_survives_fdr10,eligible
POSTBREAK,path2=DEPARTURE→CALM→CALM,1,UNKNOWN,same-session round trip — needs intraday netting / same-day sell,411,12,0,399,244,-0.009833263326680063,-0.006920442844573795,-0.017833263326680063,-8.89877765862821,-10.551596267473398,-0.0011274642442844806,-0.6115809710546249,0.6967418546365914,0.7669172932330827,-0.06923948073647078,0.04442290665189317,0.018581507291228042,-0.02809535444021728,-0.019833263326680062,-0.021833263326680064,5.646507963730931e-19,True,0.5408150311903733,False,True
POSTBREAK,path2=DEPARTURE→CALM→CALM,2,UNKNOWN,sell 1 session after purchase — depends on broker saleability,411,12,2,397,243,-0.010525337162990289,-0.011605546120308003,-0.01852533716299029,-6.801004460692717,-7.926982766277969,0.0004940828659905815,0.21833147169079162,0.6574307304785895,0.7178841309823678,-0.07938968885582078,0.07058187573271531,0.029566397112726427,-0.03946734944178734,-0.020525337162990293,-0.02252533716299029,1.0389220485211371e-11,True,0.8271708550211718,False,True
POSTBREAK,path2=DEPARTURE→CALM→CALM,3,OK,sell 2 sessions after purchase — unaffected by the settlement question,411,12,3,396,243,-0.013351095770644899,-0.014742637766467163,-0.021351095770644903,-6.2452994762392215,-7.431062727548659,6.616085940249939e-05,0.023655375935315175,0.6691919191919192,0.7247474747474747,-0.10197025996582836,0.08021747174916105,0.036311347119818545,-0.048697890068501046,-0.023351095770644904,-0.025351095770644903,4.229888769582296e-10,True,0.9811275008797816,False,True
POSTBREAK,path2=DEPARTURE→CALM→CALM,5,OK,sell 4 sessions after purchase,411,12,3,396,241,-0.016235310438561083,-0.019721893179698267,-0.024235310438561083,-5.663584081675356,-6.782828026351847,0.0005702689880162486,0.16588965472516132,0.6767676767676768,0.696969696969697,-0.11964618466867258,0.10071935534270132,0.04734458599738834,-0.06404824820795546,-0.02623531043856108,-0.028235310438561083,1.4824347814074972e-08,True,0.868243789023431,False,True
POSTBREAK,path2=DEPARTURE→CALM→CALM,10,OK,sell 9 sessions after purchase,411,12,3,396,241,-0.01991617743726919,-0.02432153263122879,-0.027916177437269193,-5.706226305191581,-5.63134210557504,-0.002836832986392987,-0.6143885519142397,0.6742424242424242,0.6868686868686869,-0.17194802783405846,0.1549283630556515,0.0694924648299057,-0.08791957865590708,-0.029916177437269195,-0.0319161774372692,1.1550840198239401e-08,True,0.5389585989564173,False,True
POSTBREAK,path2=DEPARTURE→DEPARTURE→DRIFT,1,UNKNOWN,same-session round trip — needs intraday netting / same-day sell,405,10,0,395,238,-0.008075166279915532,-0.011696039763191187,-0.01607516627991553,-7.3126881445862,-7.949145542648037,0.0003918088959397026,0.1901859941826283,0.6531645569620254,0.7189873417721518,-0.06790675800295828,0.062313545154204376,0.02396373232656611,-0.03207943827583183,-0.018075166279915532,-0.02007516627991553,2.618502560142283e-13,True,0.8491633858437748,False,True
POSTBREAK,path2=DEPARTURE→DEPARTURE→DRIFT,2,UNKNOWN,sell 1 session after purchase — depends on broker saleability,405,10,9,386,233,-0.008249024700856946,-0.01389514352386756,-0.016249024700856946,-5.45508919642092,-5.669351457696769,0.0008895151182130822,0.3264751124444495,0.6398963730569949,0.6813471502590673,-0.08985019424984717,0.09586799960023708,0.036404772322813514,-0.044034310983742386,-0.018249024700856945,-0.020249024700856946,4.8948268644173204e-08,True,0.744064916061966,False,True
POSTBREAK,path2=DEPARTURE→DEPARTURE→DRIFT,3,OK,sell 2 sessions after purchase — unaffected by the settlement question,405,10,3,392,236,-0.008306291110311321,-0.012024241259642444,-0.01630629111031132,-4.9603533901593675,-4.975058670874535,-0.000246458685598567,-0.07750543977984156,0.6020408163265306,0.6454081632653061,-0.10500856743410257,0.10772472619175018,0.04428832085081198,-0.05304073226068394,-0.018306291110311318,-0.02030629111031132,7.036505153770352e-07,True,0.93822146397472,False,True
POSTBREAK,path2=DEPARTURE→DEPARTURE→DRIFT,5,OK,sell 4 sessions after purchase,405,10,2,393,237,-0.011803925975485437,-0.019048194970694363,-0.01980392597548544,-4.858648163136956,-4.976638534619086,-0.001958042565149,-0.49395042963618624,0.6132315521628499,0.6437659033078881,-0.11430736249612941,0.11269185524544993,0.05537772041430245,-0.0704214460245275,-0.021803925975485437,-0.02380392597548544,1.1818994658902985e-06,True,0.6213411881656923,False,True
POSTBREAK,path2=DEPARTURE→DEPARTURE→DRIFT,10,OK,sell 9 sessions after purchase,405,10,9,386,232,-0.025530887035121373,-0.01704600486393566,-0.03353088703512137,-5.59197950712138,-6.062795870460055,-0.008777402380859053,-1.7406369786207332,0.6295336787564767,0.6528497409326425,-0.18945460517952772,0.12883179881247248,0.07501103843762848,-0.10112886168797407,-0.035530887035121375,-0.03753088703512138,2.244953220108368e-08,True,0.08174723148555835,False,True
