feature,non_null,coverage,mean,std,p01,p99
ret_1,825976,0.959,-9.2e-05,0.027536,-0.071459,0.089407
ret_k,825976,0.959,-0.000805,0.08754,-0.218334,0.274769
range_pct,825976,0.959,0.034542,0.026055,0.0,0.115708
close_location,746394,0.8666,0.390367,0.283531,0.0,1.0
gap_open,825976,0.959,0.003748,0.020632,-0.049872,0.065399
rel_volume_z,825976,0.959,-0.104594,1.455255,-4.635106,3.122044
rel_turnover_z,825976,0.959,-0.096655,1.37597,-4.420229,2.995168
range_z,762258,0.8851,0.288863,1.783051,-2.000458,5.941799
range_compression,762258,0.8851,-0.288863,1.783051,-5.941799,2.000458
volume_persistence,825976,0.959,0.476284,0.334483,0.0,1.0
activity_concentration,825976,0.959,0.163905,0.098718,0.104292,0.656584
vol_regime_ratio,790074,0.9174,0.938996,0.355986,0.0,1.705287
realized_vol,825976,0.959,0.023506,0.014317,0.0,0.060337
amihud_z,678510,0.7878,-0.035559,1.112611,-2.761908,2.602905
hl_spread_proxy,825976,0.959,0.0344,0.02601,0.0,0.11465
illiquidity_persistence,825976,0.959,0.02126,0.065108,0.0,0.3
volume_price_divergence,825976,0.959,-0.165624,0.933003,-3.825331,1.557162
accumulation_proxy,689500,0.8006,0.050516,0.147071,-0.315224,0.438693
ret_autocorr_1,808310,0.9385,0.009101,0.175542,-0.460579,0.422386
abnormal_persistence,825976,0.959,0.149815,0.984242,0.0,4.0
bars_since_abnormal,825976,0.959,53.794903,55.353949,0.0,251.0
baseline_active_days,825976,0.959,59.994517,0.101182,60.0,60.0
xs_rank_rel_volume,825976,0.959,0.501863,0.288674,0.011765,0.991643
xs_rank_rel_turnover,825976,0.959,0.501863,0.288674,0.011765,0.991635
xs_volume_abnormality,825976,0.959,0.005076,1.284551,-3.703917,3.095593
market_ret,840376,0.9758,-0.001726,0.009486,-0.027454,0.025552
market_relative_ret,825976,0.959,0.001623,0.025696,-0.06337,0.085883
xs_breadth_abnormal,861256,1.0,0.048685,0.046326,0.0,0.231003
xs_symbols_at_ts,861256,1.0,295.54222,57.001643,91.0,363.0
