band_bucket_prev_close_le,band,n_moves_ge_2pct,share_at_+band,share_at_-band,share_beyond_band
200.0,0.1,115650,0.01714656290531777,0.0028880242109814093,0.006234327712926935
500.0,0.0875,8106,0.05613126079447323,0.007772020725388601,0.010486059708857636
1000.0,0.075,2690,0.09182156133828996,0.0137546468401487,0.009665427509293681
2000.0,0.0625,1531,0.11365120836054866,0.024167210973220117,0.011103853690398433
5000.0,0.05,350,0.19428571428571428,0.045714285714285714,0.02
inf,0.0375,3,0.6666666666666666,0.0,0.3333333333333333
