regime,variant,footprint,outcome,horizon,door_outcome,n_guarded_rows,n_population,n_occurrences,n_no_outcome,n_measured,n_dates,n_hit,n_failed,hit_rate,fail_share,base_sameday,excess_sameday,lift_sameday,t_sameday,base_volmatched,excess_volmatched,lift_volmatched,t_volmatched,p_sameday,fdr10_sameday,p_volmatched,fdr10_volmatched,eligible,lift_vm_vs_ref_volume,lift_vm_vs_ref_moved,pass_prereg,beats_both_refs,tier,status
DISCOVERY,fresh,F07_idio_activity,abn_down,3,True,362402,349931,5654,186,5468,844,178,5290,0.032553035844915874,0.9674469641550841,0.013432965498395575,0.0191200703465203,2.423369273806591,6.101929253262972,0.011286738163546813,0.021266297681369062,2.884184551215478,7.036746893446092,1.04795761809102e-09,True,1.9677982805812364e-12,True,True,1.1446400232115055,1.4578165445356586,True,True,A,"PHASE5_CANDIDATE — DISCOVERY WINDOW ONLY, fresh-door, beats both references, NOT VALIDATED"
DISCOVERY,fresh,F08_idio_move,limit_up,3,True,362402,324571,8442,275,8167,916,281,7886,0.03440675890779968,0.9655932410922003,0.018044695902165658,0.01636206300563402,1.9067519394256074,5.677785639215301,0.014623679812220909,0.01978307909557877,2.3528112861884587,7.0364463240260555,1.3644955561572752e-08,True,1.9720456825403525e-12,True,True,1.282674170946393,1.1060917483120447,True,True,A,"PHASE5_CANDIDATE — DISCOVERY WINDOW ONLY, fresh-door, beats both references, NOT VALIDATED"
DISCOVERY,fresh,F12_accumulation_proxy,limit_down,10,True,362402,349931,1482,63,1419,714,102,1317,0.07188160676532769,0.9281183932346723,0.012849130565478864,0.059032476199848825,5.594277869543059,7.177817725362747,0.01677537396525946,0.05510623280006823,4.284948097979163,7.001816250514197,7.083290675379116e-13,True,2.5266532666123626e-12,True,True,2.4680541682919874,2.258429306421509,True,True,A,"PHASE5_CANDIDATE — DISCOVERY WINDOW ONLY, fresh-door, beats both references, NOT VALIDATED"
DISCOVERY,fresh,F08_idio_move,limit_down,5,True,362402,349931,12549,517,12032,923,198,11834,0.016456117021276594,0.9835438829787234,0.008259698396758285,0.008196418624518309,1.9923387308833442,6.007792551498406,0.006933647592061246,0.00952246942921535,2.373370841650245,6.8481150487618585,1.8806625604340124e-09,True,7.482937775146637e-12,True,True,1.1235606066367336,1.134396577613393,True,True,A,"PHASE5_CANDIDATE — DISCOVERY WINDOW ONLY, fresh-door, beats both references, NOT VALIDATED"
DISCOVERY,fresh,F07_idio_activity,abn_up,5,True,362402,324571,3241,211,3030,787,199,2831,0.06567656765676567,0.9343234323432343,0.033626885401039634,0.03204968225572604,1.9530969601703037,6.3697807462633325,0.034406122324634414,0.03127044533213126,1.9088628191541934,6.547217271245313,1.8929861384719014e-10,True,5.86190524182671e-11,True,True,1.1928059433542637,1.249701318650582,True,True,A,"PHASE5_CANDIDATE — DISCOVERY WINDOW ONLY, fresh-door, beats both references, NOT VALIDATED"
DISCOVERY,fresh,F07_idio_activity,abn_up,3,True,362402,324571,3241,145,3096,790,181,2915,0.058462532299741604,0.9415374677002584,0.0277981133185415,0.030664418981200103,2.1031115180304973,6.333916716855629,0.02800756576962549,0.030454966530116114,2.0873835584506546,6.456998088060819,2.3901456322964505e-10,True,1.0680024643278898e-10,True,True,1.1915448175815673,1.2621842991256738,True,True,A,"PHASE5_CANDIDATE — DISCOVERY WINDOW ONLY, fresh-door, beats both references, NOT VALIDATED"
DISCOVERY,fresh,F07_idio_activity,limit_down,10,True,362402,349931,5654,608,5046,824,167,4879,0.03309552120491478,0.9669044787950852,0.013081238733585252,0.020014282471329532,2.5299990221831306,6.860250749611998,0.014558497826931046,0.018537023377983734,2.2732785757396625,6.428815322566508,6.873978201982456e-12,True,1.2860225270016187e-10,True,True,1.3093681734883011,1.1981566263385737,True,True,A,"PHASE5_CANDIDATE — DISCOVERY WINDOW ONLY, fresh-door, beats both references, NOT VALIDATED"
DISCOVERY,fresh,F07_idio_activity,abn_up,1,True,362402,324571,3241,68,3173,795,115,3058,0.036243302867948315,0.9637566971320517,0.012501507175564692,0.023741795692383626,2.899114671452501,6.302246199632618,0.0123568260612378,0.023886476806710515,2.933059240968046,6.423034127878679,2.933626764803045e-10,True,1.3358452794023545e-10,True,True,1.1858038946106133,1.275517276475552,True,True,A,"PHASE5_CANDIDATE — DISCOVERY WINDOW ONLY, fresh-door, beats both references, NOT VALIDATED"
DISCOVERY,fresh,F07_idio_activity,limit_down,5,True,362402,349931,5654,294,5360,840,121,5239,0.022574626865671642,0.9774253731343283,0.00697307211912543,0.015601554746546212,3.237400457074718,6.64517679305735,0.007902931297250507,0.014671695568421135,2.8564878039020196,6.37323621075559,3.028533352283135e-11,True,1.8508048796107212e-10,True,True,1.3522695709748451,1.365311282954732,True,True,A,"PHASE5_CANDIDATE — DISCOVERY WINDOW ONLY, fresh-door, beats both references, NOT VALIDATED"
DISCOVERY,fresh,F14_turnover_no_range,limit_down,10,True,362402,349931,1141,181,960,590,62,898,0.06458333333333334,0.9354166666666667,0.011836210698726734,0.052747122634606604,5.45641970874013,6.4014253773873975,0.013869554971482052,0.050713778361851286,4.656482018790556,6.326050508991771,1.5393304407943863e-10,True,2.5151551819832197e-10,True,True,2.6820511225031427,2.454250370271935,True,True,A,"PHASE5_CANDIDATE — DISCOVERY WINDOW ONLY, fresh-door, beats both references, NOT VALIDATED"
DISCOVERY,fresh,F07_idio_activity,abn_up,10,True,362402,324571,3241,395,2846,773,209,2637,0.07343640196767393,0.9265635980323261,0.03968843620273938,0.033747965764934544,1.8503223859096063,6.047790256879928,0.040602792964769666,0.03283360900290426,1.8086539522390346,6.176697130779027,1.4684595328164043e-09,True,6.545646733591265e-10,True,True,1.3265300463243808,1.332720609802204,True,True,A,"PHASE5_CANDIDATE — DISCOVERY WINDOW ONLY, fresh-door, beats both references, NOT VALIDATED"
DISCOVERY,fresh,F17_abnormal_volume_persistent,abn_down,5,True,362402,349931,8605,386,8219,1265,198,8021,0.02409052196130916,0.9759094780386909,0.013651578282421806,0.010438943678887355,1.7646693637122428,3.9692258425081213,0.01016443448951636,0.013926087471792801,2.3700799081499544,6.115334764830312,7.210651603664311e-05,True,9.635447536217485e-10,True,True,1.1418249250163757,1.358436846766997,True,True,A,"PHASE5_CANDIDATE — DISCOVERY WINDOW ONLY, fresh-door, beats both references, NOT VALIDATED"
DISCOVERY,fresh,F07_idio_activity,abn_down,5,True,362402,349931,5654,294,5360,840,177,5183,0.033022388059701493,0.9669776119402985,0.01874254323372799,0.014279844825973505,1.7618947251660237,4.899069900530528,0.01586745224197477,0.017154935817726723,2.0811399055196853,6.063257373097605,9.629138589909712e-07,True,1.3339194853370008e-09,True,True,1.0026233328240401,1.1928277697362166,True,True,A,"PHASE5_CANDIDATE — DISCOVERY WINDOW ONLY, fresh-door, beats both references, NOT VALIDATED"
DISCOVERY,fresh,F07_idio_activity,abn_up,2,True,362402,324571,3241,109,3132,792,152,2980,0.04853128991060025,0.9514687100893997,0.021918954056607962,0.02661233585399229,2.2141243503345636,5.871140285472861,0.022103291280205783,0.02642799863039447,2.1956589765462486,5.995435153205919,4.328078303290118e-09,True,2.029412674382973e-09,True,True,1.140793473692608,1.2227862393504447,True,True,A,"PHASE5_CANDIDATE — DISCOVERY WINDOW ONLY, fresh-door, beats both references, NOT VALIDATED"
