panel,rows,symbols,novelty_defined,transitions,CALM,DRIFT,DEPARTURE,EXTREME,UNDEFINED,rung1_volume_departure
PRIMARY,819534,386,734572,332594,362736,282461,65001,12833,96503,40166
POSTBREAK,41722,94,39771,17894,18212,14624,3523,592,4771,1764
