from,ASK_PRESSURE_BUILDING,BALANCED,BID_PRESSURE_BUILDING,NO_BOOK,ONE_SIDED,STALE
ASK_PRESSURE_BUILDING,0,14,11,4,0,11
BALANCED,11,0,37,13,2,19
BID_PRESSURE_BUILDING,12,41,0,9,0,12
NO_BOOK,7,22,10,0,3,0
ONE_SIDED,2,1,2,0,0,0
STALE,11,12,17,2,0,0
