metric,signal_median,rest_median,signal_mean,rest_mean,signal_n
mfe_20d,0.01671309192200554,0.06976744186046502,0.04984109727638238,0.11351767304291845,96855
mae_20d,-0.009090909090909038,-0.06085753803596117,-0.03521017123766072,-0.07901053497038789,96855
fwd_ret_5d,0.0,-0.0041407867494822614,0.001376540380201974,0.0017347959981838428,96751
fwd_ret_20d,0.0,-0.010044642857142794,0.002584476811805479,0.0075143205760991654,96313
fwd_ret_30d,0.0,-0.012820512820512664,0.0034860845965651453,0.011794702609421028,95037
days_to_p10,14.0,10.0,14.544482883255021,11.56942254608673,19367
vol20,0.005902331568018382,0.022857741912976667,0.00675921541376036,0.02566330305343861,96875
adv20_mn,1.353299375000042,6.625716670000029,9.15555630321431,20.35138831517504,96875
prior_3d_ret,-4.163336342344337e-14,-0.0030994404018009902,-0.0009440420694751393,0.0013589504393574433,96874
prior_5d_ret,-3.9968028886505635e-14,-0.004926108374394389,-0.0008560263011302367,0.0021773858980790174,96856
prior_10d_ret,-2.8310687127941492e-14,-0.009425878320488357,0.0039523090095315554,0.0033519816413886405,96791
range_pos_20d,0.1666666666663884,0.3333333333332473,565677419.6235816,-968182099.7000155,96875
