source,t_recv,seq,epoch,body_sha256,http_status,elapsed_ms,t_source_str,symbol,instrument_number,market_category,open,ltp,ltp_spot,high,low,close_published,yclose,day_trades,day_volume,day_value_mn,public_trades,public_volume,public_value_mn,spot_trades,spot_volume,spot_value_mn,t_source_unix,company_id,sector_id,t_source_utc,feed_timestamp_str,feed_timestamp_utc,t_source
lankabd_watch,2026-09-10 07:58:10.790271+00:00,2,615fcdbc546d4cda8f1815a78b44ca3a,d59a12a7d2b639343992058676bdf5592aac35977b52ba0347f9a72e729f6e1a,200,613,2026-09-10 13:57:51,PF1STMF,1046.0,A-MF,16.7,17.8,0.0,17.9,16.5,0.0,16.3,1294.0,3743612.0,64.509,1294.0,3743612.0,64.51,0.0,0.0,0.0,1789027071,265,14,2026-09-10T07:57:51+00:00,2026-09-10 13:57:53,2026-09-10T07:57:53+00:00,2026-09-10 07:57:51+00:00
lankabd_watch,2026-09-10 07:58:10.790271+00:00,2,615fcdbc546d4cda8f1815a78b44ca3a,d59a12a7d2b639343992058676bdf5592aac35977b52ba0347f9a72e729f6e1a,200,613,2026-09-10 13:57:46,PHARMAID,1047.0,A-EQ,551.0,548.0,0.0,558.0,546.9,0.0,553.1,226.0,4205.0,2.319,226.0,4205.0,2.32,0.0,0.0,0.0,1789027066,146,16,2026-09-10T07:57:46+00:00,2026-09-10 13:57:53,2026-09-10T07:57:53+00:00,2026-09-10 07:57:46+00:00
lankabd_watch,2026-09-10 07:58:10.790271+00:00,2,615fcdbc546d4cda8f1815a78b44ca3a,d59a12a7d2b639343992058676bdf5592aac35977b52ba0347f9a72e729f6e1a,200,613,2026-09-10 13:57:34,PHENIXINS,1048.0,A-EQ,48.9,47.9,0.0,49.3,47.9,0.0,48.5,517.0,263282.0,12.765,517.0,263282.0,12.77,0.0,0.0,0.0,1789027054,213,10,2026-09-10T07:57:34+00:00,2026-09-10 13:57:53,2026-09-10T07:57:53+00:00,2026-09-10 07:57:34+00:00
lankabd_watch,2026-09-10 07:58:10.790271+00:00,2,615fcdbc546d4cda8f1815a78b44ca3a,d59a12a7d2b639343992058676bdf5592aac35977b52ba0347f9a72e729f6e1a,200,613,2026-09-10 13:57:49,PHOENIXFIN,1049.0,Z-EQ,3.6,3.7,0.0,3.7,3.5,0.0,3.6,29.0,19058.0,0.069,29.0,19058.0,0.07,0.0,0.0,0.0,1789027069,79,7,2026-09-10T07:57:49+00:00,2026-09-10 13:57:53,2026-09-10T07:57:53+00:00,2026-09-10 07:57:49+00:00
lankabd_watch,2026-09-10 07:58:10.790271+00:00,2,615fcdbc546d4cda8f1815a78b44ca3a,d59a12a7d2b639343992058676bdf5592aac35977b52ba0347f9a72e729f6e1a,200,613,2026-09-10 13:57:19,PHPMF1,1050.0,A-MF,3.5,3.7,0.0,3.7,3.5,0.0,3.5,104.0,697482.0,2.504,104.0,697482.0,2.5,0.0,0.0,0.0,1789027039,266,14,2026-09-10T07:57:19+00:00,2026-09-10 13:57:53,2026-09-10T07:57:53+00:00,2026-09-10 07:57:19+00:00
lankabd_watch,2026-09-10 07:58:10.790271+00:00,2,615fcdbc546d4cda8f1815a78b44ca3a,d59a12a7d2b639343992058676bdf5592aac35977b52ba0347f9a72e729f6e1a,200,613,2026-09-10 13:57:50,PIONEERINS,1051.0,A-EQ,65.6,62.9,0.0,65.6,62.9,0.0,64.5,370.0,219989.0,14.122,370.0,219989.0,14.12,0.0,0.0,0.0,1789027070,214,10,2026-09-10T07:57:50+00:00,2026-09-10 13:57:53,2026-09-10T07:57:53+00:00,2026-09-10 07:57:50+00:00
lankabd_watch,2026-09-10 07:58:10.790271+00:00,2,615fcdbc546d4cda8f1815a78b44ca3a,d59a12a7d2b639343992058676bdf5592aac35977b52ba0347f9a72e729f6e1a,200,613,2026-09-10 13:57:23,PLFSL,1052.0,Z-EQ,1.9,2.0,0.0,2.0,1.8,0.0,1.9,119.0,1037673.0,1.973,119.0,1037673.0,1.97,0.0,0.0,0.0,1789027043,80,7,2026-09-10T07:57:23+00:00,2026-09-10 13:57:53,2026-09-10T07:57:53+00:00,2026-09-10 07:57:23+00:00
lankabd_watch,2026-09-10 07:58:10.790271+00:00,2,615fcdbc546d4cda8f1815a78b44ca3a,d59a12a7d2b639343992058676bdf5592aac35977b52ba0347f9a72e729f6e1a,200,613,2026-09-10 13:57:39,POPULAR1MF,1053.0,A-MF,3.5,3.7,0.0,3.7,3.5,0.0,3.5,123.0,667237.0,2.394,123.0,667237.0,2.39,0.0,0.0,0.0,1789027059,267,14,2026-09-10T07:57:39+00:00,2026-09-10 13:57:53,2026-09-10T07:57:53+00:00,2026-09-10 07:57:39+00:00
lankabd_watch,2026-09-10 07:58:10.790271+00:00,2,615fcdbc546d4cda8f1815a78b44ca3a,d59a12a7d2b639343992058676bdf5592aac35977b52ba0347f9a72e729f6e1a,200,613,2026-09-10 13:57:37,POPULARLIF,1054.0,A-EQ,59.9,57.0,0.0,59.9,56.7,0.0,58.1,276.0,56448.0,3.252,276.0,56448.0,3.25,0.0,0.0,0.0,1789027057,215,10,2026-09-10T07:57:37+00:00,2026-09-10 13:57:53,2026-09-10T07:57:53+00:00,2026-09-10 07:57:37+00:00
lankabd_watch,2026-09-10 07:58:10.790271+00:00,2,615fcdbc546d4cda8f1815a78b44ca3a,d59a12a7d2b639343992058676bdf5592aac35977b52ba0347f9a72e729f6e1a,200,613,2026-09-10 13:49:31,POWERGRID,1055.0,Z-EQ,38.7,38.1,0.0,38.7,38.1,0.0,38.1,48.0,16747.0,0.642,48.0,16747.0,0.64,0.0,0.0,0.0,1789026571,110,9,2026-09-10T07:49:31+00:00,2026-09-10 13:57:53,2026-09-10T07:57:53+00:00,2026-09-10 07:49:31+00:00
lankabd_watch,2026-09-10 07:58:10.790271+00:00,2,615fcdbc546d4cda8f1815a78b44ca3a,d59a12a7d2b639343992058676bdf5592aac35977b52ba0347f9a72e729f6e1a,200,613,2026-09-10 13:56:09,PRAGATIINS,1056.0,A-EQ,72.8,72.5,0.0,74.5,72.3,0.0,73.2,335.0,113444.0,8.305,335.0,113444.0,8.31,0.0,0.0,0.0,1789026969,216,10,2026-09-10T07:56:09+00:00,2026-09-10 13:57:53,2026-09-10T07:57:53+00:00,2026-09-10 07:56:09+00:00
lankabd_watch,2026-09-10 07:58:10.790271+00:00,2,615fcdbc546d4cda8f1815a78b44ca3a,d59a12a7d2b639343992058676bdf5592aac35977b52ba0347f9a72e729f6e1a,200,613,2026-09-10 13:57:37,PRAGATILIF,1057.0,A-EQ,149.9,144.0,0.0,151.5,144.0,0.0,148.3,493.0,49336.0,7.237,493.0,49336.0,7.24,0.0,0.0,0.0,1789027057,217,10,2026-09-10T07:57:37+00:00,2026-09-10 13:57:53,2026-09-10T07:57:53+00:00,2026-09-10 07:57:37+00:00
