split,h,baseline,n_baseline,p_up_baseline,lift_baseline_vs_base,n_composite,p_up_composite,incremental_lift,n_both,p_up_both,n_only_baseline,p_up_only_baseline,within_baseline_gain
dev,2,b_imb_l1,599,0.24874791318864775,0.05659635703167887,5,0.6,0.3512520868113522,1,1.0,598,0.24749163879598662,0.7525083612040133
dev,2,b_imb_top5,609,0.2545155993431856,0.06236404318621669,5,0.6,0.3454844006568144,5,0.6,604,0.25165562913907286,0.3483443708609271
dev,2,b_imb_weighted,639,0.24569640062597808,0.0535448444690092,5,0.6,0.3543035993740219,5,0.6,634,0.24290220820189273,0.35709779179810724
dev,2,b_largest_wall_bid,892,0.20515695067264575,0.013005394515676866,5,0.6,0.39484304932735426,5,0.6,887,0.20293122886133033,0.3970687711386697
dev,2,b_one_frame_pressure,175,0.2,0.007848443843031128,5,0.6,0.39999999999999997,1,1.0,174,0.19540229885057472,0.8045977011494253
dev,4,b_imb_l1,602,0.3488372093023256,0.07924261470773097,5,0.8,0.45116279069767445,1,1.0,601,0.34775374376039936,0.6522462562396006
dev,4,b_imb_top5,610,0.3590163934426229,0.08942179884802831,5,0.8,0.4409836065573771,5,0.8,605,0.35537190082644626,0.4446280991735538
dev,4,b_imb_weighted,636,0.34276729559748426,0.07317270100288964,5,0.8,0.4572327044025158,5,0.8,631,0.33914421553090335,0.4608557844690967
dev,4,b_largest_wall_bid,894,0.2986577181208054,0.029063123526210766,5,0.8,0.5013422818791946,5,0.8,889,0.2958380202474691,0.504161979752531
dev,4,b_one_frame_pressure,179,0.3240223463687151,0.05442775177412046,5,0.8,0.47597765363128497,1,1.0,178,0.3202247191011236,0.6797752808988764
dev,8,b_imb_l1,599,0.39232053422370616,0.06664485854803048,5,1.0,0.6076794657762938,1,1.0,598,0.391304347826087,0.6086956521739131
dev,8,b_imb_top5,614,0.4169381107491857,0.09126243507351,5,1.0,0.5830618892508144,5,1.0,609,0.4121510673234811,0.5878489326765188
dev,8,b_imb_weighted,641,0.41809672386895474,0.09242104819327907,5,1.0,0.5819032761310452,5,1.0,636,0.41352201257861637,0.5864779874213837
dev,8,b_largest_wall_bid,892,0.33856502242152464,0.012889346745848962,5,1.0,0.6614349775784754,5,1.0,887,0.33483652762119503,0.6651634723788049
dev,8,b_one_frame_pressure,180,0.3333333333333333,0.007657657657657635,5,1.0,0.6666666666666667,1,1.0,179,0.329608938547486,0.6703910614525139
val,2,b_imb_l1,599,0.21535893155258765,0.05897685209358511,2,0.0,-0.21535893155258765,2,0.0,597,0.21608040201005024,-0.21608040201005024
val,2,b_imb_top5,802,0.15087281795511223,-0.005509261503890306,2,0.0,-0.15087281795511223,2,0.0,800,0.15125,-0.15125
val,2,b_imb_weighted,706,0.18271954674220964,0.0263374672832071,2,0.0,-0.18271954674220964,2,0.0,704,0.18323863636363635,-0.18323863636363635
val,2,b_largest_wall_bid,811,0.16152897657213316,0.005146897113130627,2,0.0,-0.16152897657213316,2,0.0,809,0.1619283065512979,-0.1619283065512979
val,2,b_one_frame_pressure,121,0.15702479338842976,0.0006427139294272188,2,0.0,-0.15702479338842976,0,,121,0.15702479338842976,
val,4,b_imb_l1,595,0.28907563025210087,0.07212647770972799,2,1.0,0.7109243697478991,2,1.0,593,0.2866779089376054,0.7133220910623945
val,4,b_imb_top5,794,0.21536523929471033,-0.0015839132476625495,2,1.0,0.7846347607052897,2,1.0,792,0.21338383838383837,0.7866161616161617
val,4,b_imb_weighted,703,0.24893314366998578,0.03198399112761291,2,1.0,0.7510668563300142,2,1.0,701,0.24679029957203993,0.7532097004279601
val,4,b_largest_wall_bid,807,0.2218091697645601,0.004860017222187235,2,1.0,0.7781908302354399,2,1.0,805,0.21987577639751552,0.7801242236024845
val,4,b_one_frame_pressure,118,0.23728813559322035,0.02033898305084747,2,1.0,0.7627118644067796,0,,118,0.23728813559322035,
val,8,b_imb_l1,597,0.3065326633165829,0.054831983044474064,2,0.0,-0.3065326633165829,2,0.0,595,0.30756302521008405,-0.30756302521008405
val,8,b_imb_top5,795,0.26540880503144654,0.013708124759337692,2,0.0,-0.26540880503144654,2,0.0,793,0.266078184110971,-0.266078184110971
val,8,b_imb_weighted,705,0.275177304964539,0.02347662469243017,2,0.0,-0.275177304964539,2,0.0,703,0.2759601706970128,-0.2759601706970128
