candidate,outcome,horizon,n_signal,n_population,n_symbols,n_dates,n_years,hit_rate,base_rate_all,control_rate_mean,control_rate_sd,n_matched,match_share,lift,excess_pp,t_nw_date,n_diff_dates,ci_lo,ci_hi,ci_excludes_control,median_mfe_20d,mean_mfe_20d,median_mae_20d,mean_mae_20d,median_fwd_ret_20d,mean_fwd_ret_20d,median_days_to_p10,years_total,years_beat,year_consistency,loso_worst_rate,top3_symbol_share,rel_volume_thr,prior3_max,median_mfe_30d,mean_mfe_30d,median_mae_30d,mean_mae_30d,median_fwd_ret_30d,mean_fwd_ret_30d
relvol>=1.5|p3<0.02,hit_p10_20d,20,99580,587082,392,2340,12,0.30973086965254065,0.3274380750900215,0.30322392736622217,0.0013772510658204345,99568,0.999879493874272,1.0214591979657273,0.6506942286318484,0.38639348752522285,2340,0.298397686688549,0.3205923681857377,False,0.05479452054794531,0.09568805075260806,-0.042735042735042694,-0.06531781273725541,0.0,0.004662187471888255,9.0,12,6,0.5,0.3095821609028471,0.015284193613175337,1.5,0.02,,,,,,
relvol>=1.5|p3<0.02,hit_p20_30d,30,99580,587082,392,2340,12,0.1756175938943563,0.18646287912080425,0.17726679254378913,0.001047810323964138,99568,0.999879493874272,0.9906965166641906,-0.16491986494328315,0.7952792911825545,2340,0.16746376255444934,0.18512979824205603,False,,,,,,,9.0,12,6,0.5,0.1757224267487014,0.015284193613175337,1.5,0.02,0.06800273847558203,0.12117691664411519,-0.054482982095606536,-0.08102586312051627,0.0,0.008565328240546932
relvol>=1.5|p3<0.05,hit_p10_20d,20,132659,587082,392,2341,12,0.3268153687273385,0.3274380750900215,0.3208360661917148,0.001304787108942959,132645,0.9998944662631257,1.0186366283740438,0.5979302535623732,1.650655069726489,2341,0.3144466715653194,0.3379311724232519,False,0.05882352941176472,0.10030313688960282,-0.047794117647058876,-0.06806183686020059,0.0,0.0053749228533871915,9.0,12,8,0.6666666666666666,0.32678086183797206,0.013809843282400742,1.5,0.05,,,,,,
relvol>=1.5|p3<0.05,hit_p20_30d,30,132659,587082,392,2341,12,0.18332717719868233,0.18646287912080425,0.1882012137660673,0.0012543411547672985,132645,0.9998944662631257,0.974101991847845,-0.48740365673849706,1.2267545388735237,2341,0.17483552260694418,0.19210735917111912,False,,,,,,,9.0,12,7,0.5833333333333334,0.18337117771722677,0.013809843282400742,1.5,0.05,0.07239819004524883,0.12608221993789148,-0.059925093632958726,-0.08408892973233702,0.0,0.00876314338126605
relvol>=1.5|p3<1.0,hit_p10_20d,20,174038,587082,392,2341,12,0.3575540973810317,0.3274380750900215,0.3403828578982762,0.0010028286086161472,173981,0.9996724853192981,1.0504468397372606,1.7171239482755507,6.446859901370733,2341,0.3471050882117367,0.3678970884275092,True,0.0658307210031348,0.11104443324107661,-0.056872037914692086,-0.07557536824557444,-0.004962779156327479,0.005637822905621255,8.0,12,11,0.9166666666666666,0.3573702605746715,0.011957158781415553,1.5,1.0,,,,,,
relvol>=1.5|p3<1.0,hit_p20_30d,30,174038,587082,392,2341,12,0.2050241901193992,0.18646287912080425,0.20333226041924118,0.0010060591496522883,173981,0.9996724853192981,1.0083210096403845,0.16919297001580236,4.88314531144316,2341,0.19577361831379722,0.21429379737442872,False,,,,,,,8.0,12,11,0.9166666666666666,0.20500842042125175,0.011957158781415553,1.5,1.0,0.0796019900497511,0.13731746095198497,-0.07011070110701112,-0.09217957478999503,-0.0077319587628865705,0.007793819800960513
relvol>=2.0|p3<0.02,hit_p10_20d,20,65401,587082,392,2334,12,0.2990015443188942,0.3274380750900215,0.2917782977031532,0.001739968277337458,65394,0.9998929679974312,1.0247559419997199,0.7223246615740975,1.1326639145071105,2334,0.2866789716629272,0.3115597712759039,False,0.051076052116721504,0.09321190003197549,-0.03864168618266994,-0.06276420399148333,0.0,0.004461255327961828,9.0,12,9,0.75,0.29865219997233705,0.017155700983165396,2.0,0.02,,,,,,
relvol>=2.0|p3<0.02,hit_p20_30d,30,65401,587082,392,2334,12,0.17050198009204753,0.18646287912080425,0.1721029452243325,0.0012738755747461067,65394,0.9998929679974312,0.9906976308209667,-0.16009651322849705,1.3997791759782863,2334,0.16085321217269016,0.18038384058850057,False,,,,,,,9.0,12,7,0.5833333333333334,0.17050464705430524,0.017155700983165396,2.0,0.02,0.06338028169014098,0.11742600241282317,-0.05026300409117468,-0.07822193555548163,0.0,0.007743460349431803
relvol>=2.0|p3<0.05,hit_p10_20d,20,88574,587082,392,2339,12,0.32009393275679093,0.3274380750900215,0.3140670693840682,0.0015736008680883537,88565,0.9998983900467405,1.0191897335289661,0.6026863372722735,1.9169101148042629,2339,0.3093281133951737,0.3308352595173331,False,0.05633802816901401,0.09893325801518289,-0.045685279187817174,-0.0662263057534778,0.0,0.005311030675416211,9.0,12,9,0.75,0.31983305168366016,0.015399552916205659,2.0,0.05,,,,,,
relvol>=2.0|p3<0.05,hit_p20_30d,30,88574,587082,392,2339,12,0.18044798699392597,0.18646287912080425,0.1855049963303788,0.0014477427093374708,88565,0.9998983900467405,0.9727392283902736,-0.5057009336452839,1.8133309668061022,2339,0.1721219981695351,0.19014904898573237,False,,,,,,,9.0,12,8,0.6666666666666666,0.1803737893805711,0.015399552916205659,2.0,0.05,0.0690462194681174,0.12375260147584113,-0.05737704918032782,-0.082003081383577,0.0,0.008285153969352211
