candidate,outcome,horizon,n_signal,n_population,n_symbols,n_dates,n_years,hit_rate,base_rate_all,control_rate_mean,control_rate_sd,n_matched,match_share,lift,excess_pp,t_nw_date,n_diff_dates,ci_lo,ci_hi,ci_excludes_control,median_mfe_10d,mean_mfe_10d,median_mae_10d,mean_mae_10d,median_fwd_ret_10d,mean_fwd_ret_10d,median_days_to_p10,years_total,years_beat,year_consistency,loso_worst_rate,top3_symbol_share,family,description,status,median_mfe_20d,mean_mfe_20d,median_mae_20d,mean_mae_20d,median_fwd_ret_20d,mean_fwd_ret_20d,median_mfe_30d,mean_mfe_30d,median_mae_30d,mean_mae_30d,median_fwd_ret_30d,mean_fwd_ret_30d,median_mfe_5d,mean_mfe_5d,median_mae_5d,mean_mae_5d,median_fwd_ret_5d,mean_fwd_ret_5d
E_xsrank_ge99,hit_p5_5d,5,6546,587082,385,2332,12,0.46853040024442405,0.32451514439209517,0.38906854401980506,0.005642197252885691,6463,0.9873205010693553,1.2042361363949532,7.946185622461899,16.643656564337373,2332,0.44524648488065655,0.4906007504279057,True,,,,,,,5.0,12,12,1.0,0.46668718264348363,0.04078826764436297,leadership,causal cross-sectional rank of relative volume >= 0.99,WEAK,,,,,,,,,,,,,0.045403009688723794,0.0738208232970001,-0.037735849056603765,-0.047008944259379806,-0.0014290088802695333,0.005639238400770091
B_relvol2_postmove_p3ge5,hit_p10_10d,10,34622,587082,392,2289,12,0.35512102131592627,0.21010693565805116,0.2961099390191035,0.0013297752843237903,34601,0.9993934492519208,1.1992877459335007,5.901108229682278,17.14402035223232,2289,0.34467204343407853,0.3646427812589636,True,0.06986096840482914,0.10758904252564845,-0.06440555865402492,-0.07413233318982955,-0.020456823583135886,0.005534714462758792,6.0,12,12,1.0,0.35387518142235125,0.015597019236323725,premove,2x volume AFTER a prior 3-day return of +5 % or more — the echo,WEAK,,,,,,,,,,,,,,,,,,
B_relvol2_postmove_p3ge5,hit_p5_5d,5,34622,587082,392,2289,12,0.5215181098723355,0.32451514439209517,0.4374960261264125,0.00223020579199792,34601,0.9993934492519208,1.192052221567958,8.402208374592302,24.204118337515865,2289,0.5127245944398103,0.5306388837932416,True,,,,,,,6.0,12,12,1.0,0.5203483309143686,0.015597019236323725,premove,2x volume AFTER a prior 3-day return of +5 % or more — the echo,WEAK,,,,,,,,,,,,,0.05302472441647699,0.07815924882583014,-0.04761904761904767,-0.05417381873232331,-0.013058027388501037,0.004044293194131756
B_relvol3_postmove_p3ge5,hit_p5_5d,5,24415,587082,392,2243,12,0.5315584681548229,0.32451514439209517,0.44631921957617743,0.0027817428472780587,24397,0.9992627483104649,1.1909826976718532,8.523924857864545,24.163381011370447,2243,0.5204737277363896,0.5418140204996058,True,,,,,,,5.0,12,12,1.0,0.5304534036156983,0.01576899447061233,premove,3x volume AFTER a prior 3-day return of +5 % or more — the echo,WEAK,,,,,,,,,,,,,0.0546875,0.08023895337350088,-0.04844290657439443,-0.05465288494860704,-0.013225326861690478,0.004986935094907301
B_relvol3_postmove_p3ge5,hit_p10_10d,10,24415,587082,392,2243,12,0.35990169977472863,0.21010693565805116,0.30425667090216013,0.0024207412541465273,24397,0.9992627483104649,1.1828884431897286,5.56450288725685,16.47946072119569,2243,0.3488862858706226,0.37045493923607087,True,0.0708333333333333,0.11068408793695542,-0.06504065040650409,-0.07419179038494027,-0.02033898305084747,0.007315570860145697,5.0,12,12,1.0,0.35853327297419646,0.01576899447061233,premove,3x volume AFTER a prior 3-day return of +5 % or more — the echo,WEAK,,,,,,,,,,,,,,,,,,
A_turnover_z_ge3,hit_p5_5d,5,24064,587082,392,2217,12,0.488530585106383,0.32451514439209517,0.4144495794820552,0.002183041350658994,24018,0.9980884308510638,1.1787455200599537,7.408100562432779,21.99087029261055,2217,0.4753712507322793,0.501012173034464,True,,,,,,,6.0,12,12,1.0,0.4875657181006426,0.012882313829787235,activity,turnover z >= 3 vs own 60-day history,WEAK,,,,,,,,,,,,,0.04827224373122985,0.07246648568157996,-0.04166666666666663,-0.05118760496695769,-0.007874015748031482,0.002518165849649361
B_relvol3_below20dhigh,hit_p10_10d,10,24998,587082,392,2330,12,0.29898391871349705,0.21010693565805116,0.25414160853179374,0.00261974552901485,24942,0.9977598207856628,1.1764461570837859,4.484231018170331,10.035994924329817,2330,0.2863272124570882,0.31291331009400164,True,0.06060606060606055,0.09175895550429887,-0.048192771084337394,-0.06240113224816166,-0.003448316864647638,0.006187990424274479,7.0,12,12,1.0,0.2972146192239575,0.02236178894311545,premove,3x volume AND still 5 % or more below the 20-day high,WEAK,,,,,,,,,,,,,,,,,,
B_relvol3_below20dhigh,hit_p5_5d,5,24998,587082,392,2330,12,0.4591967357388591,0.32451514439209517,0.39080466682703874,0.0031230178408891067,24942,0.9977598207856628,1.1750032041989769,6.839206891182037,19.11813473867384,2330,0.4460907442448185,0.47317006900257064,True,,,,,,,7.0,12,12,1.0,0.45801403565378723,0.02236178894311545,premove,3x volume AND still 5 % or more below the 20-day high,WEAK,,,,,,,,,,,,,0.044801215157303065,0.06529990900717009,-0.03361344537815125,-0.045346790610671976,-0.0016515377985314994,0.0033886585006911787
A_relvol_ge5,hit_p5_5d,5,39419,587082,392,2322,12,0.38202389710545676,0.32451514439209517,0.3253588882101405,0.0023296540345518805,39288,0.9966767294959283,1.1741615518969433,5.666500889531628,17.337632723417478,2322,0.36967132874267705,0.3987083483181998,True,,,,,,,6.0,12,11,0.9166666666666666,0.38114680889070357,0.01725056444861615,activity,today's volume >= 5x its own trailing 20-day median,WEAK,,,,,,,,,,,,,0.031249999999999778,0.0568493649395021,-0.025139664804469275,-0.03806603975878952,0.0,0.004019804547700385
A_relvol_ge5,hit_p10_10d,10,39419,587082,392,2322,12,0.2578959385068114,0.21010693565805116,0.21975285074322945,0.0012103425565893125,39288,0.9966767294959283,1.1735726641697892,3.814308776358197,11.284590254036969,2322,0.24707124190389823,0.2696048456283007,True,0.04270521768029245,0.08068067897516115,-0.0363036303630363,-0.05263456172058969,0.0,0.0066765975015277024,6.0,12,11,0.9166666666666666,0.2573197767754759,0.01725056444861615,activity,today's volume >= 5x its own trailing 20-day median,WEAK,,,,,,,,,,,,,,,,,,
