mechanism,family,variant,split,h,outcome,primary_direction,n_rows,n_signal,n_signal_valid,episodes,share_of_rows,p_outcome,p_up,p_down,mean_fwd_ticks,base_p_outcome,base_mean_ticks,ctrl_p_outcome,ctrl_mean_ticks,n_matched,lift_vs_matched,lift_vs_base,ticks_vs_base,n_imb_l1,p_imb_l1,lift_imb_l1_vs_base,inc_vs_imb_l1,n_imb_topk,p_imb_topk,lift_imb_topk_vs_base,inc_vs_imb_topk,n_imb_weighted,p_imb_weighted,lift_imb_weighted_vs_base,inc_vs_imb_weighted,n_depth_ratio,p_depth_ratio,lift_depth_ratio_vs_base,inc_vs_depth_ratio,n_price_only_response,p_price_only_response,lift_price_only_response_vs_base,inc_vs_price_only_response,n_volume_only_response,p_volume_only_response,lift_volume_only_response_vs_base,inc_vs_volume_only_response,best_baseline,inc_vs_best
circuit_regime,circuit,mirror,dev,60,up,-1,1624,0,0,0,0,,,,,0.09012345679,0.03117283951,,,0,,,,679,0.1207658321,0.03064237532,,727,0.1348005502,0.04467709342,,768,0.12109375,0.03097029321,,743,0.1117092867,0.02158582989,,379,0.06068601583,-0.02943744096,,612,0.08660130719,-0.003522149601,,imb_topk,
circuit_regime,circuit,mirror,dev,180,up,-1,1624,0,0,0,0,,,,,0.256773399,-0.1804187192,,,0,,,,680,0.3235294118,0.06675601275,,728,0.342032967,0.08525956802,,769,0.3289986996,0.0722253006,,743,0.3135935397,0.05682014069,,380,0.2315789474,-0.02519445165,,614,0.2703583062,0.01358490717,,imb_topk,
circuit_regime,circuit,mirror,dev,600,up,-1,1624,0,0,0,0,,,,,0.3626847291,-0.3143472906,,,0,,,,680,0.3911764706,0.02849174152,,728,0.4642857143,0.1016009852,,769,0.4317295189,0.06904478979,,743,0.3876177658,0.02493303675,,380,0.3157894737,-0.04689525538,,614,0.3778501629,0.0151654338,,imb_topk,
circuit_regime,circuit,mirror,holdout,60,up,-1,914,0,0,0,0,,,,,0.06024096386,-0.05366922234,,,0,,,,452,0.08407079646,0.0238298326,,706,0.06657223796,0.006331274105,,650,0.07230769231,0.01206672845,,541,0.05545286506,-0.004788098791,,208,0.0625,0.002259036145,,628,0.07484076433,0.01459980048,,imb_l1,
circuit_regime,circuit,mirror,holdout,180,up,-1,914,0,0,0,0,,,,,0.2297592998,-0.09299781182,,,0,,,,452,0.3362831858,0.1065238861,,707,0.2545968883,0.02483758848,,651,0.2703533026,0.04059400283,,542,0.2527675277,0.02300822789,,208,0.2403846154,0.0106253156,,629,0.2464228935,0.0166635937,,imb_l1,
circuit_regime,circuit,mirror,holdout,600,up,-1,914,0,0,0,0,,,,,0.3501094092,-0.2768052516,,,0,,,,452,0.4380530973,0.08794368815,,707,0.369165488,0.01905607879,,651,0.4116743472,0.06156493797,,542,0.352398524,0.002289114795,,208,0.2836538462,-0.06645556304,,629,0.3513513514,0.001241942161,,imb_l1,
circuit_regime,circuit,mirror,val,60,up,-1,1375,0,0,0,0,,,,,0.04952658412,-0.08849235251,,,0,,,,733,0.06821282401,0.01868623989,,930,0.04838709677,-0.001139487348,,826,0.05811138015,0.008584796023,,684,0.04678362573,-0.002742958391,,280,0.03928571429,-0.01024086984,,544,0.04227941176,-0.007247172358,,imb_l1,
circuit_regime,circuit,mirror,val,180,up,-1,1375,0,0,0,0,,,,,0.2101818182,-0.1661818182,,,0,,,,735,0.2789115646,0.06872974644,,931,0.2040816327,-0.006100185529,,828,0.2475845411,0.03740272288,,686,0.2084548105,-0.001727007686,,280,0.3035714286,0.09338961039,,545,0.2055045872,-0.004677231026,,price_only_response,
circuit_regime,circuit,mirror,val,600,up,-1,1375,0,0,0,0,,,,,0.2683636364,-0.4934545455,,,0,,,,735,0.3292517007,0.06088806432,,931,0.2781954887,0.009831852358,,828,0.3055555556,0.03719191919,,686,0.2536443149,-0.01471932149,,280,0.2964285714,0.02806493506,,545,0.304587156,0.0362235196,,imb_l1,
circuit_regime,circuit,score_ge_0.6,dev,60,down,-1,1624,40,40,7,0.02463054187,0.1,0.15,0.1,0.3,0.09259259259,0.03117283951,0.1142857143,-0.08571428571,35,-0.01428571429,0.007407407407,0.2688271605,657,0.1400304414,0.04743784881,-0.0400304414,295,0.1457627119,0.05317011927,-0.04576271186,230,0.1347826087,0.0421900161,-0.0347826087,273,0.1135531136,0.02096052096,-0.01355311355,490,0.06326530612,-0.02932728647,0.03673469388,612,0.09640522876,0.003812636166,0.003594771242,imb_topk,-0.04576271186
circuit_regime,circuit,score_ge_0.6,dev,180,down,-1,1624,40,40,7,0.02463054187,0.125,0.6,0.125,1.5375,0.3257389163,-0.1804187192,0.3428571429,0.2857142857,35,-0.2178571429,-0.2007389163,1.717918719,659,0.4506828528,0.1249439366,-0.3256828528,295,0.4847457627,0.1590068465,-0.3597457627,231,0.380952381,0.0552134647,-0.255952381,275,0.3490909091,0.02335199283,-0.2240909091,490,0.3551020408,0.02936312456,-0.2301020408,614,0.3664495114,0.04071059514,-0.2414495114,imb_topk,-0.3597457627
circuit_regime,circuit,score_ge_0.6,dev,600,down,-1,1624,40,40,7,0.02463054187,0.125,0.5,0.125,1.8625,0.4267241379,-0.3143472906,0.6285714286,-1.614285714,35,-0.5035714286,-0.3017241379,2.176847291,659,0.5326251897,0.1059010518,-0.4076251897,295,0.6813559322,0.2546317943,-0.5563559322,231,0.619047619,0.1923234811,-0.494047619,275,0.4545454545,0.02782131661,-0.3295454545,490,0.4102040816,-0.0165200563,-0.2852040816,614,0.4153094463,-0.01141469168,-0.2903094463,imb_topk,-0.5563559322
circuit_regime,circuit,score_ge_0.6,holdout,60,down,-1,914,4,4,1,0.004376367615,0,0,0,0,0.1062431544,-0.05366922234,0,0,2,0,-0.1062431544,0.05366922234,282,0.1843971631,0.07815400868,-0.1843971631,25,0.08,-0.02624315444,-0.08,22,0.09090909091,-0.01533406353,-0.09090909091,51,0.01960784314,-0.0866353113,-0.01960784314,266,0.05263157895,-0.05361157549,-0.05263157895,628,0.1035031847,-0.002739969723,-0.1035031847,imb_l1,-0.1843971631
circuit_regime,circuit,score_ge_0.6,holdout,180,down,-1,914,4,4,1,0.004376367615,0,0,0,0,0.3008752735,-0.09299781182,0,1,2,0,-0.3008752735,0.09299781182,283,0.4558303887,0.1549551152,-0.4558303887,25,0.32,0.01912472648,-0.32,22,0.2272727273,-0.07360254625,-0.2272727273,51,0.137254902,-0.1636203716,-0.137254902,266,0.3270676692,0.02619239565,-0.3270676692,629,0.2813990461,-0.01947622742,-0.2813990461,imb_l1,-0.4558303887
circuit_regime,circuit,score_ge_0.6,holdout,600,down,-1,914,4,4,1,0.004376367615,0,0,0,0,0.398249453,-0.2768052516,1,-1.5,2,-1,-0.398249453,0.2768052516,283,0.5830388693,0.1847894163,-0.5830388693,25,0.4,0.001750547046,-0.4,22,0.4090909091,0.01084145614,-0.4090909091,51,0.4901960784,0.09194662548,-0.4901960784,266,0.3834586466,-0.01479080634,-0.3834586466,629,0.3640699523,-0.03417950065,-0.3640699523,imb_l1,-0.5830388693
circuit_regime,circuit,score_ge_0.6,val,60,down,-1,1375,1,1,1,0.0007272727273,0,0,0,0,0.09249817917,-0.08849235251,,,0,,-0.09249817917,0.08849235251,385,0.1272727273,0.0347745481,-0.1272727273,24,0.125,0.03250182083,-0.125,72,0.09722222222,0.004724043053,-0.09722222222,75,0.05333333333,-0.03916484584,-0.05333333333,326,0.1012269939,0.008728814695,-0.1012269939,544,0.09558823529,0.003090056124,-0.09558823529,imb_l1,-0.1272727273
