symbol,in_watch,in_grid,in_circuit,in_dse_latest,has_company_id,company_id,sector_circuit_table,tick_size,breaker_pct,upper_limit,lower_limit
1JANATAMF,True,True,True,True,True,236.0,Mutual Funds,0.1,10.0,3.8,3.2
1STPRIMFMF,True,True,True,True,True,239.0,Mutual Funds,0.1,10.0,23.8,19.6
AAMRANET,True,True,True,True,True,381.0,IT Sector,0.1,10.0,21.7,17.9
AAMRATECH,True,True,True,True,True,312.0,IT Sector,0.1,10.0,20.0,16.4
ABB1STMF,True,True,True,True,True,310.0,Mutual Funds,0.1,10.0,3.9,3.3
ABBANK,True,True,True,True,True,1.0,Bank,0.1,10.0,5.0,4.2
ABBLPBOND,True,True,True,False,True,10516.0,Corporate Bond,0.5,6.25,1126.0,994.0
ACFL,True,True,True,True,True,392.0,Textile,0.1,10.0,25.6,21.0
ACI,True,True,True,True,True,131.0,Pharmaceuticals & Chemicals,0.1,10.0,208.8,171.0
ACIFORMULA,True,True,True,True,True,132.0,Pharmaceuticals & Chemicals,0.1,10.0,170.9,139.9
ACMELAB,True,True,True,True,True,369.0,Pharmaceuticals & Chemicals,0.1,10.0,87.0,71.2
ACMEPL,True,True,True,True,True,10494.0,Pharmaceuticals & Chemicals,0.1,10.0,27.7,22.7
ACTIVEFINE,True,True,True,True,True,133.0,Pharmaceuticals & Chemicals,0.1,10.0,6.7,5.5
ADNTEL,True,True,True,True,True,411.0,IT Sector,0.1,10.0,67.9,55.7
ADVENT,True,True,True,True,True,387.0,Pharmaceuticals & Chemicals,0.1,10.0,15.6,12.8
AFCAGRO,True,True,True,True,True,332.0,Pharmaceuticals & Chemicals,0.1,10.0,7.4,6.2
AFTABAUTO,True,True,True,True,True,42.0,Engineering,0.1,10.0,30.5,25.1
AGNISYSL,True,True,True,True,True,113.0,IT Sector,0.1,10.0,33.4,27.4
AGRANINS,True,True,True,True,True,188.0,Insurance,0.1,10.0,32.8,27.0
AIBL1STIMF,True,True,True,True,True,247.0,Mutual Funds,0.1,10.0,6.1,5.1
AIBLPBOND,True,True,True,False,True,10511.0,Corporate Bond,0.5,5.0,4305.0,3895.0
AIL,True,True,True,True,True,386.0,Textile,0.1,10.0,37.9,31.1
AL-HAJTEX,True,True,False,True,True,161.0,,,,,
ALARABANK,True,True,True,True,True,13.0,Bank,0.1,10.0,18.7,15.3
ALIF,True,True,True,True,True,402.0,Textile,0.1,10.0,6.0,5.0
ALLTEX,True,True,True,True,True,162.0,Textile,0.1,10.0,26.2,21.6
AMANFEED,True,True,True,True,True,359.0,Miscellaneous,0.1,10.0,38.8,31.8
AMBEEPHA,True,True,True,True,True,134.0,Pharmaceuticals & Chemicals,0.1,7.5,801.9,690.1
AMCL(PRAN),True,True,True,True,True,86.0,Food & Allied,0.1,8.75,241.5,202.7
ANLIMAYARN,True,True,True,True,True,163.0,Textile,0.1,10.0,31.7,26.1
ANWARGALV,True,True,True,True,True,43.0,Engineering,0.1,10.0,118.8,97.2
AOL,True,True,True,True,True,471.0,Fuel & Power,0.1,10.0,18.7,15.3
APEXFOODS,True,True,True,True,True,87.0,Food & Allied,0.1,8.75,296.0,248.4
APEXFOOT,True,True,True,True,True,155.0,Tannery Industries,0.1,8.75,226.3,189.9
APEXSPINN,True,True,True,True,True,164.0,Textile,0.1,8.75,322.4,270.6
APEXTANRY,True,True,True,True,True,156.0,Tannery Industries,0.1,10.0,114.1,93.5
APOLOISPAT,True,True,True,True,True,320.0,Engineering,0.1,10.0,3.2,2.7
APSCLBOND,True,True,True,False,True,410.0,Corporate Bond,0.5,6.25,1123.0,991.0
ARAMIT,True,True,True,True,True,121.0,Miscellaneous,0.1,8.75,222.7,186.9
ARAMITCEM,True,True,True,True,True,2.0,Cement,0.1,10.0,13.3,10.9
ARGONDENIM,True,True,True,True,True,304.0,Textile,0.1,10.0,25.4,20.8
ASIAINS,True,True,True,True,True,189.0,Insurance,0.1,10.0,47.5,38.9
ASIAPACINS,True,True,True,True,True,190.0,Insurance,0.1,10.0,55.3,45.3
ASIATICLAB,True,True,True,True,True,10526.0,Pharmaceuticals & Chemicals,0.1,10.0,119.9,98.1
ATLASBANG,True,True,True,True,True,44.0,Engineering,0.1,10.0,91.6,75.0
AZIZPIPES,True,True,True,True,True,45.0,Engineering,0.1,10.0,86.5,70.9
BANGAS,True,True,True,True,True,88.0,Food & Allied,0.1,10.0,139.8,114.4
BANKASI1PB,True,True,True,False,True,10821.0,Corporate Bond,0.5,3.75,8974.0,8326.0
BANKASIA,True,True,True,True,True,14.0,Bank,0.1,10.0,18.5,15.3
BARKAPOWER,True,True,True,True,True,102.0,Fuel & Power,0.1,10.0,11.4,9.4
BATASHOE,True,True,True,True,True,157.0,Tannery Industries,0.1,7.5,956.6,823.2
BATBC,True,True,True,True,True,89.0,Food & Allied,0.1,8.75,258.0,216.6
BAYLEASING,True,True,True,True,True,65.0,Financial Institutions,0.1,10.0,5.2,4.4
BBS,True,True,True,True,True,327.0,Engineering,0.1,10.0,14.6,12.0
BBSCABLES,True,True,True,True,True,379.0,Engineering,0.1,10.0,20.9,17.1
BDAUTOCA,True,True,True,True,True,46.0,Engineering,0.1,10.0,217.6,178.2
BDCOM,True,True,True,True,True,114.0,IT Sector,0.1,10.0,32.8,27.0
BDFINANCE,True,True,True,True,True,66.0,Financial Institutions,0.1,10.0,14.1,11.7
BDLAMPS,True,True,True,True,True,47.0,Engineering,0.1,8.75,249.6,209.6
BDSERVICE,True,True,True,True,True,186.0,Travel & Leisure,0.1,10.0,5.7,4.7
BDTHAI,True,True,True,True,True,48.0,Engineering,0.1,10.0,18.7,15.3
BDTHAIFOOD,True,True,True,True,True,10514.0,Food & Allied,0.1,10.0,26.9,22.1
BDWELDING,True,True,True,True,True,101.0,Fuel & Power,0.1,10.0,14.2,11.7
BEACHHATCH,True,True,True,True,True,90.0,Food & Allied,0.1,10.0,33.1,27.1
BEACONPHAR,True,True,True,True,True,135.0,Pharmaceuticals & Chemicals,0.1,10.0,117.2,96.0
BENGALWTL,True,True,True,True,True,319.0,Engineering,0.1,10.0,25.6,21.0
