symbol,in_watch,in_grid,in_circuit,in_dse_latest,has_company_id,company_id,sector_circuit_table,tick_size,breaker_pct,upper_limit,lower_limit
BERGERPBL,True,True,True,True,True,122.0,Miscellaneous,0.1,6.25,1590.2,1403.2
BESTHLDNG,True,True,True,True,True,10803.0,Travel & Leisure,0.1,10.0,16.0,13.2
BEXGSUKUK,True,True,True,False,True,10495.0,Corporate Bond,0.5,10.0,77.5,63.5
BEXIMCO,True,True,True,True,True,123.0,Miscellaneous,0.1,10.0,24.7,20.3
BGIC,True,True,True,True,True,191.0,Insurance,0.1,10.0,47.9,39.3
BIFC,True,True,True,True,True,67.0,Financial Institutions,0.1,10.0,4.5,3.7
BNICL,True,True,True,True,True,360.0,Insurance,0.1,10.0,129.2,105.8
BPML,True,True,True,True,True,390.0,Paper & Printing,0.1,10.0,30.0,24.6
BPPL,True,True,True,True,True,487.0,Fuel & Power,0.1,10.0,22.3,18.3
BRACBANK,True,True,True,True,True,15.0,Bank,0.1,10.0,69.0,56.6
BSC,True,True,True,True,True,124.0,Miscellaneous,0.1,10.0,125.8,103.0
BSCPLC,True,True,True,True,True,292.0,Telecommunication,0.1,10.0,163.0,133.4
BSRMLTD,True,True,True,True,True,356.0,Engineering,0.1,10.0,108.9,89.1
BSRMSTEEL,True,True,True,True,True,49.0,Engineering,0.1,10.0,101.0,82.8
BXPHARMA,True,True,True,True,True,136.0,Pharmaceuticals & Chemicals,0.1,10.0,168.5,137.9
CAPITECGBF,True,True,True,True,True,10811.0,Mutual Funds,0.1,10.0,9.2,7.6
CAPMBDBLMF,True,True,True,True,True,374.0,Mutual Funds,0.1,10.0,8.6,7.2
CAPMIBBLMF,True,True,True,True,True,384.0,Mutual Funds,0.1,10.0,14.7,12.1
CBLPBOND,True,True,True,False,True,10537.0,Corporate Bond,0.5,3.75,1076406.0,998594.0
CENTRALINS,True,True,True,True,True,192.0,Insurance,0.1,10.0,48.9,40.1
CENTRALPHL,True,True,True,True,True,329.0,Pharmaceuticals & Chemicals,0.1,10.0,11.4,9.4
CITYBANK,True,True,True,True,True,16.0,Bank,0.1,10.0,33.1,27.1
CITYGENINS,True,True,True,True,True,193.0,Insurance,0.1,10.0,140.5,115.1
CLICL,True,True,True,True,True,494.0,Insurance,0.1,10.0,49.8,40.8
CNATEX,True,True,True,True,True,350.0,Textile,0.1,10.0,3.4,2.8
CONFIDCEM,True,True,True,True,True,3.0,Cement,0.1,10.0,70.2,57.6
CONTININS,True,True,True,True,True,194.0,Insurance,0.1,10.0,39.9,32.7
COPPERTECH,True,True,True,True,True,407.0,Engineering,0.1,10.0,27.1,22.3
CROWNCEMNT,True,True,True,True,True,7.0,Cement,0.1,10.0,68.8,56.4
CRYSTALINS,True,True,True,True,True,474.0,Insurance,0.1,10.0,71.6,58.6
CVOPRL,True,True,True,True,True,288.0,Fuel & Power,0.1,10.0,184.9,151.3
DACCADYE,True,True,True,True,True,167.0,Textile,0.1,10.0,18.0,14.8
DAFODILCOM,True,True,True,True,True,115.0,IT Sector,0.1,10.0,184.8,151.2
DBH,True,True,True,True,True,68.0,Financial Institutions,0.1,10.0,45.6,37.4
DBH1STMF,True,True,True,True,True,249.0,Mutual Funds,0.1,10.0,5.7,4.7
DBLPBOND,True,True,True,False,True,10796.0,Corporate Bond,0.5,3.75,6458.0,5992.0
DEBARACEM,True,False,True,False,False,,Debenture,0.5,6.25,1981.5,1748.5
DEBBDLUGG,True,False,True,False,False,,Debenture,0.5,7.5,842.5,725.5
DEBBDWELD,True,False,True,False,False,,Debenture,0.5,6.25,1507.0,1330.0
DEBBDZIPP,True,False,True,False,False,,Debenture,0.5,7.5,752.5,647.5
DEBBXDENIM,True,False,True,False,False,,Debenture,0.5,6.25,1540.5,1359.5
DEBBXFISH,True,False,True,False,False,,Debenture,0.5,7.5,897.5,772.5
DEBBXKNI,True,False,True,False,False,,Debenture,0.5,7.5,967.5,832.5
DEBBXTEX,True,False,True,False,False,,Debenture,0.5,6.25,1381.0,1219.0
DELTALIFE,True,True,True,True,True,195.0,Insurance,0.1,10.0,84.8,69.4
DELTASPINN,True,True,True,True,True,168.0,Textile,0.1,10.0,8.1,6.7
DESCO,True,True,True,True,True,104.0,Fuel & Power,0.1,10.0,25.6,21.0
DESHBANDHU,True,True,True,True,True,50.0,Engineering,0.1,10.0,20.9,17.1
DGIC,True,True,True,True,True,478.0,Insurance,0.1,10.0,34.7,28.5
DHAKABANK,True,True,True,True,True,17.0,Bank,0.1,10.0,13.0,10.8
DHAKAINS,True,True,True,True,True,196.0,Insurance,0.1,10.0,51.2,42.0
DOMINAGE,True,True,True,True,True,472.0,Engineering,0.1,10.0,69.9,57.3
DOREENPWR,True,True,True,True,True,368.0,Fuel & Power,0.1,10.0,35.3,28.9
DSHGARME,True,True,True,True,True,169.0,Textile,0.1,10.0,192.1,157.3
DSSL,True,True,True,True,True,367.0,Textile,0.1,10.0,13.0,10.8
DULAMIACOT,True,True,True,True,True,170.0,Textile,0.1,10.0,202.8,166.0
DUTCHBANGL,True,True,True,True,True,18.0,Bank,0.1,10.0,49.0,40.2
EASTERNINS,True,True,True,True,True,197.0,Insurance,0.1,10.0,68.2,55.8
EASTLAND,True,True,True,True,True,198.0,Insurance,0.1,10.0,31.4,25.8
EASTRNLUB,True,True,True,True,True,105.0,Fuel & Power,0.1,6.25,2084.0,1839.0
EBL,True,True,True,True,True,19.0,Bank,0.1,10.0,26.2,21.6
EBL1STMF,True,True,True,True,True,250.0,Mutual Funds,0.1,10.0,4.5,3.7
EBLNRBMF,True,True,True,True,True,251.0,Mutual Funds,0.1,10.0,3.8,3.2
ECABLES,True,True,True,True,True,51.0,Engineering,0.1,10.0,146.6,120.0
EGEN,True,True,True,True,True,485.0,IT Sector,0.1,10.0,27.3,22.5
EHL,True,True,True,True,True,151.0,Services & Real Estate,0.1,10.0,98.0,80.2
EIL,True,True,True,True,True,467.0,Insurance,0.1,10.0,35.7,29.3
EMERALDOIL,True,True,True,True,True,333.0,Food & Allied,0.1,10.0,32.1,26.3
ENVOYTEX,True,True,True,True,True,305.0,Textile,0.1,10.0,68.0,55.8
EPGL,True,True,True,True,True,482.0,Fuel & Power,0.1,10.0,20.1,16.5
ESQUIRENIT,True,True,True,True,True,403.0,Textile,0.1,10.0,28.7,23.5
ETL,True,True,True,True,True,370.0,Textile,0.1,10.0,14.8,12.2
EXIM1STMF,True,True,True,True,True,323.0,Mutual Funds,0.1,10.0,7.1,5.9
EXIMBANK,True,True,True,True,True,20.0,Bank,0.1,10.0,3.2,2.7
FAMILYTEX,True,True,True,True,True,321.0,Textile,0.1,10.0,2.6,2.2
FARCHEM,True,True,True,True,True,336.0,Pharmaceuticals & Chemicals,0.1,10.0,17.4,14.4
FAREASTFIN,True,True,True,True,True,326.0,Financial Institutions,0.1,10.0,2.3,1.9
FAREASTLIF,True,True,True,True,True,199.0,Insurance,0.1,10.0,22.1,18.1
FASFIN,True,True,True,True,True,69.0,Financial Institutions,0.1,10.0,2.7,2.3
FBFIF,True,True,True,True,True,307.0,Mutual Funds,0.1,10.0,3.8,3.2
FEDERALINS,True,True,True,True,True,200.0,Insurance,0.1,10.0,32.1,26.3
FEKDIL,True,True,True,True,True,341.0,Textile,0.1,10.0,25.4,20.8
FINEFOODS,True,True,True,True,True,92.0,Food & Allied,0.1,8.75,503.9,422.9
FIRSTFIN,True,True,True,True,True,70.0,Financial Institutions,0.1,10.0,5.1,4.3
FIRSTSBANK,True,True,True,True,True,21.0,Bank,0.1,10.0,2.0,1.8
FORTUNE,True,True,True,True,True,372.0,Tannery Industries,0.1,10.0,18.8,15.4
FUWANGCER,True,True,True,True,True,8.0,Ceramics Sector,0.1,10.0,16.0,13.2
FUWANGFOOD,True,True,True,True,True,93.0,Food & Allied,0.1,10.0,11.2,9.2
GBBPOWER,True,True,True,True,True,289.0,Fuel & Power,0.1,10.0,15.0,12.4
GEMINISEA,True,True,True,True,True,94.0,Food & Allied,0.1,10.0,125.4,102.6
GENEXIL,True,True,True,True,True,399.0,IT Sector,0.1,10.0,40.0,32.8
GENNEXT,True,True,True,True,True,313.0,Textile,0.1,10.0,3.5,2.9
GHAIL,True,True,True,True,True,317.0,Food & Allied,0.1,10.0,14.9,12.3
GHCL,True,True,True,True,True,316.0,Pharmaceuticals & Chemicals,0.1,10.0,23.4,19.2
GIB,True,True,True,True,True,10524.0,Bank,0.1,10.0,1.8,1.6
GLDNJMF,True,True,True,True,True,10539.0,Mutual Funds,0.1,10.0,9.0,7.4
GLOBALINS,True,True,True,True,True,201.0,Insurance,0.1,10.0,51.0,41.8
GOLDENSON,True,True,True,True,True,52.0,Engineering,0.1,10.0,15.8,13.0
GP,True,True,True,True,True,160.0,Telecommunication,0.1,8.75,265.4,222.8
GPHISPAT,True,True,True,True,True,299.0,Engineering,0.1,10.0,19.1,15.7
GQBALLPEN,True,True,True,True,True,125.0,Miscellaneous,0.1,7.5,610.4,525.4
GRAMEENS2,True,True,True,True,True,253.0,Mutual Funds,0.1,10.0,13.2,10.8
GREENDELMF,True,True,True,True,True,254.0,Mutual Funds,0.1,10.0,4.9,4.1
GREENDELT,True,True,True,True,True,202.0,Insurance,0.1,10.0,75.6,62.0
GSPFINANCE,True,True,True,True,True,300.0,Financial Institutions,0.1,10.0,4.0,3.4
HAKKANIPUL,True,True,True,True,True,130.0,Paper & Printing,0.1,10.0,82.1,67.3
HAMI,True,True,True,True,True,140.0,Miscellaneous,0.1,10.0,164.8,135.0
HEIDELBCEM,True,True,True,True,True,4.0,Cement,0.1,8.75,231.6,194.4
HFL,True,True,True,True,True,348.0,Textile,0.1,10.0,15.2,12.6
HRTEX,True,True,True,True,True,171.0,Textile,0.1,10.0,20.5,16.9
HWAWELLTEX,True,True,True,True,True,335.0,Textile,0.1,10.0,51.9,42.5
IBBL2PBOND,True,True,True,False,True,10512.0,Corporate Bond,0.5,5.0,4095.0,3705.0
IBBLPBOND,True,True,True,False,True,235.0,Corporate Bond,0.5,7.5,705.5,607.5
IBNSINA,True,True,True,True,True,139.0,Pharmaceuticals & Chemicals,0.1,8.75,342.3,287.3
IBP,True,True,True,True,True,389.0,Pharmaceuticals & Chemicals,0.1,10.0,19.2,15.8
ICB,True,True,True,True,True,71.0,Financial Institutions,0.1,10.0,45.7,37.5
ICB3RDNRB,True,True,True,True,True,257.0,Mutual Funds,0.1,10.0,6.1,5.1
ICBAGRANI1,True,True,True,True,True,380.0,Mutual Funds,0.1,10.0,8.6,7.2
ICBAMCL2ND,True,True,True,True,True,259.0,Mutual Funds,0.1,10.0,8.1,6.7
ICBEPMF1S1,True,True,True,True,True,260.0,Mutual Funds,0.1,10.0,6.6,5.4
ICBIBANK,True,True,True,True,True,22.0,Bank,0.1,10.0,2.8,2.4
ICBSONALI1,True,True,True,True,True,324.0,Mutual Funds,0.1,10.0,6.9,5.7
ICICL,True,True,True,True,True,10534.0,Insurance,0.1,10.0,41.8,34.2
IDLC,True,True,True,True,True,72.0,Financial Institutions,0.1,10.0,48.2,39.6
IFADAUTOS,True,True,True,True,True,351.0,Engineering,0.1,10.0,26.2,21.6
IFIC,True,True,True,True,True,23.0,Bank,0.1,10.0,5.1,4.3
IFIC1STMF,True,True,True,True,True,262.0,Mutual Funds,0.1,10.0,4.4,3.6
IFILISLMF1,True,True,True,True,True,263.0,Mutual Funds,0.1,10.0,5.7,4.7
ILFSL,True,True,True,True,True,73.0,Financial Institutions,0.1,10.0,2.3,1.9
INDEXAGRO,True,True,True,True,True,479.0,Miscellaneous,0.1,10.0,77.6,63.6
INTECH,True,True,True,True,True,116.0,IT Sector,0.1,10.0,27.0,22.2
INTRACO,True,True,True,True,True,388.0,Fuel & Power,0.1,10.0,25.4,20.8
IPDC,True,True,True,True,True,74.0,Financial Institutions,0.1,10.0,35.2,28.8
ISLAMIBANK,True,True,True,True,True,24.0,Bank,0.1,10.0,29.8,24.4
ISLAMICFIN,True,True,True,True,True,75.0,Financial Institutions,0.1,10.0,12.4,10.2
ISLAMIINS,True,True,True,True,True,203.0,Insurance,0.1,10.0,66.7,54.7
ISNLTD,True,True,True,True,True,117.0,IT Sector,0.1,10.0,57.3,46.9
ITC,True,True,True,True,True,364.0,IT Sector,0.1,10.0,51.9,42.5
JAMUNABANK,True,True,True,True,True,25.0,Bank,0.1,10.0,26.6,21.8
JAMUNAOIL,True,True,True,True,True,106.0,Fuel & Power,0.1,10.0,193.8,158.6
JANATAINS,True,True,True,True,True,204.0,Insurance,0.1,10.0,37.5,30.7
JHRML,True,True,True,True,True,10517.0,Pharmaceuticals & Chemicals,0.1,10.0,53.0,43.4
JMISMDL,True,True,True,True,True,325.0,Pharmaceuticals & Chemicals,0.1,10.0,150.0,122.8
JUTESPINN,True,True,True,True,True,118.0,Jute,0.1,8.75,231.6,194.4
KARNAPHULI,True,True,True,True,True,205.0,Insurance,0.1,10.0,65.4,53.6
KAY&QUE,True,True,True,True,False,,Engineering,0.1,8.75,414.4,347.8
KBPPWBIL,True,True,True,True,True,346.0,Miscellaneous,0.1,10.0,37.1,30.5
KDSALTD,True,True,True,True,True,361.0,Engineering,0.1,10.0,51.9,42.5
KEYACOSMET,True,True,True,True,True,141.0,Pharmaceuticals & Chemicals,0.1,10.0,5.7,4.7
KOHINOOR,True,True,True,True,True,142.0,Pharmaceuticals & Chemicals,0.1,7.5,574.4,494.4
KPCL,True,True,True,True,True,107.0,Fuel & Power,0.1,10.0,12.3,10.1
KPPL,True,True,True,True,True,339.0,Paper & Printing,0.1,10.0,15.1,12.5
KTL,True,True,True,True,True,396.0,Textile,0.1,10.0,13.5,11.1
LANKABAFIN,True,True,True,True,True,76.0,Financial Institutions,0.1,10.0,17.3,14.3
LBS,True,True,False,False,True,10794.0,,,,,
LEGACYFOOT,True,True,True,True,True,158.0,Tannery Industries,0.1,10.0,80.9,66.3
LHB,True,True,True,True,True,5.0,Cement,0.1,10.0,59.1,48.5
LIBRAINFU,True,True,True,True,True,143.0,Pharmaceuticals & Chemicals,0.1,7.5,638.8,549.8
LINDEBD,True,True,True,True,True,302.0,Fuel & Power,0.1,7.5,744.6,640.8
LOVELLO,True,True,True,True,True,486.0,Food & Allied,0.1,10.0,53.0,43.4
LRBDL,True,True,True,True,True,480.0,Fuel & Power,0.1,10.0,15.9,13.1
LRGLOBMF1,True,True,True,True,True,232.0,Mutual Funds,0.1,10.0,4.7,3.9
MAGURAPLEX,True,True,True,True,True,490.0,Paper & Printing,0.1,10.0,94.9,77.7
MAKSONSPIN,True,True,True,True,True,172.0,Textile,0.1,10.0,6.9,5.7
MALEKSPIN,True,True,True,True,True,173.0,Textile,0.1,10.0,55.6,45.6
MARICO,True,True,True,True,True,144.0,Pharmaceuticals & Chemicals,0.1,5.0,2831.5,2561.9
MATINSPINN,True,True,True,True,True,334.0,Textile,0.1,10.0,68.6,56.2
MBL1STMF,True,True,True,True,True,264.0,Mutual Funds,0.1,10.0,9.6,8.0
MBPLCPBOND,True,True,True,False,True,10817.0,Corporate Bond,0.5,5.0,5092.5,4607.5
MEGCONMILK,True,True,True,True,True,95.0,Food & Allied,0.1,10.0,38.0,31.2
MEGHNACEM,True,True,True,True,True,6.0,Cement,0.1,10.0,32.8,27.0
MEGHNAINS,True,True,True,True,True,10528.0,Insurance,0.1,10.0,42.0,34.4
MEGHNALIFE,True,True,True,True,True,206.0,Insurance,0.1,10.0,61.3,50.3
MEGHNAPET,True,True,True,True,True,96.0,Food & Allied,0.1,10.0,78.9,64.7
MERCANBANK,True,True,True,True,True,26.0,Bank,0.1,10.0,7.8,6.4
MERCINS,True,True,True,True,True,207.0,Insurance,0.1,10.0,47.5,38.9
METROSPIN,True,True,True,True,True,174.0,Textile,0.1,10.0,11.9,9.9
MHSML,True,True,True,True,True,331.0,Textile,0.1,10.0,22.8,18.8
MIDASFIN,True,True,True,True,True,77.0,Financial Institutions,0.1,10.0,5.9,4.9
MIDLANDBNK,True,True,True,True,True,10532.0,Bank,0.1,10.0,18.9,15.5
MIRACLEIND,True,True,True,True,True,126.0,Miscellaneous,0.1,10.0,30.8,25.2
MIRAKHTER,True,True,True,True,True,481.0,Engineering,0.1,10.0,39.0,32.0
MITHUNKNIT,True,True,True,True,True,175.0,Textile,0.1,10.0,15.6,12.8
MJLBD,True,True,True,True,True,285.0,Fuel & Power,0.1,10.0,100.6,82.4
MLDYEING,True,True,True,True,True,394.0,Textile,0.1,10.0,14.0,11.6
MONNOAGML,True,True,True,True,True,55.0,Engineering,0.1,8.75,355.6,298.4
MONNOCERA,True,True,True,True,True,9.0,Ceramics Sector,0.1,10.0,93.0,76.2
MONNOFABR,True,True,True,True,True,488.0,Textile,0.1,10.0,23.9,19.7
MONOSPOOL,True,True,True,True,True,491.0,Paper & Printing,0.1,10.0,120.0,98.2
MPETROLEUM,True,True,True,True,True,108.0,Fuel & Power,0.1,8.75,225.3,189.1
MTB,True,True,True,True,True,27.0,Bank,0.1,10.0,14.6,12.0
MTBPBOND,True,True,True,False,True,10823.0,Corporate Bond,0.5,3.75,1037500.0,962500.0
NAHEEACP,True,True,True,True,True,383.0,Engineering,0.1,10.0,39.4,32.4
NATLIFEINS,True,True,True,True,True,208.0,Insurance,0.1,10.0,108.4,88.8
NAVANACNG,True,True,True,True,True,56.0,Engineering,0.1,10.0,23.2,19.0
NAVANAPHAR,True,True,True,True,True,10525.0,Pharmaceuticals & Chemicals,0.1,10.0,74.3,60.9
NBL,True,True,True,True,True,28.0,Bank,0.1,10.0,3.8,3.2
NCCBANK,True,True,True,True,True,29.0,Bank,0.1,10.0,16.5,13.5
NCCBLMF1,True,True,True,True,True,308.0,Mutual Funds,0.1,10.0,6.8,5.6
NEWLINE,True,True,True,True,True,405.0,Textile,0.1,10.0,6.3,5.3
NFML,True,True,True,True,True,349.0,Miscellaneous,0.1,10.0,18.8,15.4
NHFIL,True,True,True,True,True,78.0,Financial Institutions,0.1,10.0,30.4,25.0
NITOLINS,True,True,True,True,True,209.0,Insurance,0.1,10.0,57.8,47.4
NORTHERN,True,True,True,True,True,119.0,Jute,0.1,10.0,114.4,93.6
NORTHRNINS,True,True,True,True,True,210.0,Insurance,0.1,10.0,43.6,35.8
NPOLYMER,True,True,True,True,True,57.0,Engineering,0.1,10.0,35.6,29.2
NRBBANK,True,True,True,True,True,10802.0,Bank,0.1,10.0,7.3,6.1
NRBCBANK,True,True,True,True,True,483.0,Bank,0.1,10.0,9.9,8.1
NTC,True,True,True,True,True,97.0,Food & Allied,0.1,10.0,171.0,140.0
NTLTUBES,True,True,True,True,True,58.0,Engineering,0.1,10.0,71.9,58.9
NURANI,True,True,True,True,True,378.0,Textile,0.1,10.0,3.5,2.9
OAL,True,True,True,True,True,358.0,Engineering,0.1,10.0,7.4,6.2
OIMEX,True,True,True,True,True,382.0,Engineering,0.1,10.0,16.7,13.7
OLYMPIC,True,True,True,True,True,59.0,Food & Allied,0.1,10.0,161.3,132.1
ONEBANKPLC,True,True,True,True,True,30.0,Bank,0.1,10.0,8.4,7.0
ORIONINFU,True,True,True,True,True,145.0,Pharmaceuticals & Chemicals,0.1,8.75,240.5,201.9
ORIONPHARM,True,True,True,True,True,318.0,Pharmaceuticals & Chemicals,0.1,10.0,29.0,23.8
PADMALIFE,True,True,True,True,True,301.0,Insurance,0.1,10.0,18.3,15.1
PADMAOIL,True,True,True,True,True,109.0,Fuel & Power,0.1,10.0,213.0,174.4
PARAMOUNT,True,True,True,True,True,211.0,Insurance,0.1,10.0,67.8,55.6
PBLPBOND,True,True,True,False,True,10518.0,Corporate Bond,0.5,5.0,4754.0,4302.0
PDL,True,True,True,True,True,375.0,Textile,0.1,10.0,6.1,5.1
PENINSULA,True,True,True,True,True,338.0,Travel & Leisure,0.1,10.0,24.2,19.8
PEOPLESINS,True,True,True,True,True,212.0,Insurance,0.1,10.0,68.9,56.5
PF1STMF,True,True,True,True,True,265.0,Mutual Funds,0.1,10.0,16.2,13.4
PHARMAID,True,True,True,True,True,146.0,Pharmaceuticals & Chemicals,0.1,7.5,619.0,532.8
PHENIXINS,True,True,True,True,True,213.0,Insurance,0.1,10.0,56.2,46.0
PHOENIXFIN,True,True,True,True,True,79.0,Financial Institutions,0.1,10.0,4.1,3.5
PHPMF1,True,True,True,True,True,266.0,Mutual Funds,0.1,10.0,3.8,3.2
PIONEERINS,True,True,True,True,True,214.0,Insurance,0.1,10.0,74.9,61.3
PLFSL,True,True,True,True,True,80.0,Financial Institutions,0.1,10.0,2.0,1.8
POPULAR1MF,True,True,True,True,True,267.0,Mutual Funds,0.1,10.0,3.9,3.3
POPULARLIF,True,True,True,True,True,215.0,Insurance,0.1,10.0,67.4,55.2
POWERGRID,True,True,True,True,True,110.0,Fuel & Power,0.1,10.0,43.1,35.3
PRAGATIINS,True,True,True,True,True,216.0,Insurance,0.1,10.0,83.9,68.7
PRAGATILIF,True,True,True,True,True,217.0,Insurance,0.1,10.0,166.9,136.7
PREBPBOND,True,True,True,False,True,10515.0,Corporate Bond,0.5,5.0,4688.0,4242.0
PREMIERBAN,True,True,True,True,True,31.0,Bank,0.1,10.0,6.4,5.4
PREMIERCEM,True,True,True,True,True,314.0,Cement,0.1,10.0,51.4,42.2
PREMIERLEA,True,True,True,True,True,81.0,Financial Institutions,0.1,10.0,2.4,2.0
PRIME1ICBA,True,True,True,True,True,268.0,Mutual Funds,0.1,10.0,6.6,5.4
PRIMEBANK,True,True,True,True,True,32.0,Bank,0.1,10.0,31.7,26.1
PRIMEFIN,True,True,True,True,True,82.0,Financial Institutions,0.1,10.0,3.4,2.8
PRIMEINSUR,True,True,True,True,True,218.0,Insurance,0.1,10.0,60.5,49.5
