Symbol,First,Last,Days,Sources
ICBAGRANI1,2017-10-08,2026-01-22,1643,both
ICBAMCL2ND,2012-10-01,2024-02-20,2501,src2_2024
ICBEPMF1S1,2012-10-01,2024-02-20,2461,src2_2024
ICBIBANK,2012-10-01,2024-02-20,2565,src2_2024
ICBSONALI1,2013-06-12,2024-02-20,2174,src2_2024
ICICL,2022-12-18,2026-01-22,739,both
IDLC,2012-10-01,2024-02-20,2670,src2_2024
IFADAUTOS,2015-02-05,2024-02-20,2104,src2_2024
IFIC,2012-10-01,2024-02-20,2701,src2_2024
IFIC1STMF,2012-10-01,2024-02-20,2637,src2_2024
IFILISLMF1,2012-10-01,2024-02-20,2510,src2_2024
ILFSL,2012-10-01,2024-02-20,2643,src2_2024
IMAMBUTTON,2012-10-01,2024-02-19,2592,src2_2024
INDEXAGRO,2021-04-07,2026-01-22,1054,both
INTECH,2012-10-01,2024-02-20,2691,src2_2024
INTRACO,2018-05-17,2026-01-22,1793,both
IPDC,2012-10-01,2024-02-20,2569,src2_2024
ISLAMIBANK,2012-10-01,2024-02-20,2689,src2_2024
ISLAMICFIN,2012-10-01,2024-02-20,2643,src2_2024
ISLAMIINS,2012-10-01,2024-02-20,2690,src2_2024
ISNLTD,2012-10-01,2024-02-20,2685,src2_2024
ITC,2016-01-10,2024-02-20,1918,src2_2024
JAMUNABANK,2012-10-01,2024-02-20,2703,src2_2024
JAMUNAOIL,2012-10-01,2024-02-20,2705,src2_2024
JANATAINS,2012-10-01,2024-02-20,2681,src2_2024
JHRML,2022-03-31,2026-01-22,912,both
JMISMDL,2013-06-19,2024-02-20,2484,src2_2024
JUTESPINN,2012-10-01,2024-02-20,2534,src2_2024
KARNAPHULI,2012-10-01,2024-02-20,2697,src2_2024
KAY&QUE,2012-10-01,2024-02-20,2619,src2_2024
KBPPWBIL,2014-11-18,2024-02-20,2176,src2_2024
KBSEED,2024-01-28,2026-01-22,461,both
KDSALTD,2015-10-15,2024-02-20,1881,src2_2024
KEYACOSMET,2012-10-01,2024-02-20,2702,src2_2024
KFL,2024-01-28,2026-01-22,469,both
KOHINOOR,2012-10-01,2024-02-20,2473,src2_2024
KPCL,2012-10-01,2024-02-19,2631,src2_2024
KPPL,2014-08-18,2024-02-20,2208,src2_2024
KTL,2018-11-12,2026-01-22,1579,both
LANKABAFIN,2012-10-01,2024-02-20,2683,src2_2024
LEGACYFOOT,2012-10-01,2024-02-20,2639,src2_2024
LHBL,2012-10-01,2024-02-20,2702,src2_2024
LIBRAINFU,2012-10-01,2024-02-20,2538,src2_2024
LINDEBD,2012-10-01,2024-02-20,2656,src2_2024
LOVELLO,2021-02-10,2026-01-22,1164,both
LRBDL,2021-03-09,2026-01-22,1161,both
LRGLOBMF1,2012-10-01,2024-02-20,2544,src2_2024
MAGURAPLEX,2021-06-13,2026-01-22,1101,src1_2026
MAKSONSPIN,2012-10-01,2024-02-20,2650,src2_2024
MALEKSPIN,2012-10-01,2024-02-20,2664,src2_2024
MAMUNAGRO,2024-01-28,2026-01-21,467,both
MARICO,2012-10-01,2024-02-20,2667,src2_2024
MASTERAGRO,2024-01-28,2026-01-22,470,both
MATINSPINN,2014-04-08,2024-02-20,2211,src2_2024
MBL1STMF,2012-10-01,2024-02-20,2509,src2_2024
MEGCONMILK,2012-10-01,2024-02-20,2633,src2_2024
MEGHNACEM,2012-10-01,2024-02-20,2645,src2_2024
MEGHNAINS,2022-06-08,2026-01-22,866,both
MEGHNALIFE,2012-10-01,2024-02-20,2698,src2_2024
MEGHNAPET,2012-10-01,2024-02-20,2535,src2_2024
MERCANBANK,2012-10-01,2024-02-20,2702,src2_2024
MERCINS,2012-10-01,2024-02-20,2679,src2_2024
METROSPIN,2012-10-01,2024-02-20,2698,src2_2024
MHSML,2014-01-21,2024-02-20,2225,src2_2024
MIDASFIN,2012-10-01,2024-02-20,2590,src2_2024
MIDLANDBNK,2023-03-27,2026-01-22,672,both
MIRACLEIND,2012-10-01,2024-02-20,2693,src2_2024
MIRAKHTER,2021-02-02,2026-01-22,1176,both
MITHUNKNIT,2012-10-01,2024-02-20,2559,src2_2024
MJLBD,2012-10-01,2024-02-20,2703,src2_2024
MKFOOTWEAR,2024-01-28,2026-01-22,452,both
MLDYEING,2018-09-17,2026-01-22,1578,both
MONNOAGML,2012-10-01,2024-02-20,2560,src2_2024
MONNOCERA,2012-10-01,2024-02-20,2686,src2_2024
MONNOFABR,2021-06-13,2026-01-22,989,both
MONOSPOOL,2021-06-13,2026-01-22,1102,both
MOSTFAMETL,2024-01-28,2026-01-22,468,both
MPETROLEUM,2012-10-01,2024-02-20,2703,src2_2024
MTB,2012-10-01,2024-02-20,2651,src2_2024
NAHEEACP,2017-12-24,2026-01-22,1751,both
NATLIFEINS,2012-10-01,2024-02-20,2514,src2_2024
NAVANACNG,2012-10-01,2024-02-20,2697,src2_2024
NAVANAPHAR,2022-10-18,2026-01-22,780,both
NBL,2012-10-01,2024-02-20,2635,src2_2024
NCCBANK,2012-10-01,2024-02-20,2686,src2_2024
NCCBLMF1,2012-10-01,2024-02-20,2554,src2_2024
NEWLINE,2019-05-27,2026-01-22,1473,both
NFML,2015-01-19,2024-02-20,2151,src2_2024
NHFIL,2012-10-01,2024-02-20,2655,src2_2024
NIALCO,2024-01-28,2026-01-22,468,both
NITOLINS,2012-10-01,2024-02-20,2626,src2_2024
NORTHERN,2013-01-24,2024-02-20,2289,src2_2024
NORTHRNINS,2012-10-01,2024-02-20,2702,src2_2024
NPOLYMER,2012-10-01,2024-02-20,2662,src2_2024
NRBBANK,2024-02-27,2026-01-22,450,src1_2026
NRBCBANK,2021-03-22,2026-01-22,1117,both
NTC,2012-10-01,2024-02-20,2528,src2_2024
NTLTUBES,2012-10-01,2024-02-20,2656,src2_2024
NURANI,2017-06-01,2026-01-22,1932,both
OAL,2015-06-25,2024-02-20,2036,src2_2024
OIMEX,2017-11-06,2026-01-22,1892,both
OLYMPIC,2012-10-01,2024-02-20,2707,src2_2024
ONEBANKPLC,2012-10-01,2024-02-20,2698,src2_2024
ORIONINFU,2012-10-01,2024-02-20,2690,src2_2024
ORIONPHARM,2013-03-20,2024-02-20,2591,src2_2024
ORYZAAGRO,2024-01-28,2026-01-22,470,both
PADMALIFE,2012-10-01,2024-02-20,2675,src2_2024
PADMAOIL,2012-10-01,2024-02-20,2686,src2_2024
PAPERPROC,2021-06-13,2024-02-20,650,src2_2024
PARAMOUNT,2012-10-01,2024-02-20,2699,src2_2024
PDL,2017-02-07,2026-01-22,2093,both
PENINSULA,2014-06-15,2024-02-20,2259,src2_2024
PEOPLESINS,2012-10-01,2024-02-20,2683,src2_2024
PF1STMF,2012-10-01,2024-02-20,2544,src2_2024
PHARMAID,2012-10-01,2024-02-20,2540,src2_2024
PHENIXINS,2012-10-01,2024-02-20,2681,src2_2024
PHOENIXFIN,2012-10-01,2024-02-20,2481,src2_2024
PHPMF1,2012-10-01,2024-02-20,2642,src2_2024
PIONEERINS,2012-10-01,2024-02-20,2693,src2_2024
POPULAR1MF,2012-10-01,2024-02-20,2622,src2_2024
POPULARLIF,2012-10-01,2024-02-20,2609,src2_2024
POWERGRID,2012-10-01,2024-02-20,2652,src2_2024
PRAGATIINS,2012-10-01,2024-02-20,2674,src2_2024
PRAGATILIF,2012-10-01,2024-02-20,2613,src2_2024
PREMIERBAN,2012-10-01,2024-02-20,2705,src2_2024
PREMIERCEM,2013-03-03,2024-02-20,2506,src2_2024
PREMIERLEA,2012-10-01,2024-02-20,2585,src2_2024
PRIME1ICBA,2012-10-01,2024-02-20,2456,src2_2024
PRIMEBANK,2012-10-01,2024-02-20,2707,src2_2024
PRIMEFIN,2012-10-01,2024-02-20,2580,src2_2024
PRIMEINSUR,2012-10-01,2024-02-20,2476,src2_2024
PRIMELIFE,2012-10-01,2024-02-20,2676,src2_2024
PRIMETEX,2012-10-01,2024-02-20,2605,src2_2024
PROGRESLIF,2012-10-01,2024-02-20,2425,src2_2024
PROVATIINS,2012-10-01,2024-02-20,2681,src2_2024
PTL,2013-11-19,2024-02-20,2411,src2_2024
PUBALIBANK,2012-10-01,2024-02-20,2706,src2_2024
PURABIGEN,2012-10-01,2024-02-20,2692,src2_2024
QUASEMIND,2012-10-01,2024-02-20,2508,src2_2024
QUEENSOUTH,2018-03-13,2026-01-22,1772,both
RAHIMAFOOD,2012-10-01,2024-02-20,2115,src2_2024
RAHIMTEXT,2012-10-01,2024-02-20,2550,src2_2024
RAKCERAMIC,2012-10-01,2024-02-20,2657,src2_2024
RANFOUNDRY,2012-10-01,2024-02-20,2673,src2_2024
RDFOOD,2012-10-01,2024-02-20,2691,src2_2024
RECKITTBEN,2012-10-01,2024-02-20,2496,src2_2024
REGENTTEX,2015-12-14,2024-02-20,1775,src2_2024
RELIANCE1,2012-10-01,2024-02-20,2528,src2_2024
RELIANCINS,2012-10-01,2024-02-20,2615,src2_2024
RENATA,2012-10-01,2024-02-20,2684,src2_2024
RENWICKJA,2012-10-01,2024-02-20,2585,src2_2024
REPUBLIC,2012-10-01,2024-02-20,2686,src2_2024
RINGSHINE,2019-12-12,2026-01-22,1361,both
RNSPIN,2012-10-01,2024-02-20,2649,src2_2024
ROBI,2020-12-24,2026-01-22,1214,both
RSRMSTEEL,2014-09-22,2024-02-20,2233,src2_2024
RUNNERAUTO,2019-05-21,2026-01-22,1433,both
RUPALIBANK,2012-10-01,2024-02-20,2651,src2_2024
RUPALIINS,2012-10-01,2024-02-20,2695,src2_2024
RUPALILIFE,2012-10-01,2024-02-20,2694,src2_2024
SADHESIVE,2024-01-28,2026-01-22,462,both
SAFKOSPINN,2012-10-01,2024-02-20,2609,src2_2024
SAIFPOWER,2014-09-29,2024-02-20,2184,src2_2024
SAIHAMCOT,2012-10-01,2024-02-20,2560,src2_2024
SAIHAMTEX,2012-10-01,2024-02-20,2616,src2_2024
SALAMCRST,2012-10-01,2024-02-20,2499,src2_2024
SALVOCHEM,2012-10-01,2024-02-20,2598,src2_2024
SAMATALETH,2012-10-02,2024-02-20,2369,src2_2024
SAMORITA,2012-10-01,2024-02-20,2619,src2_2024
SANDHANINS,2012-10-01,2024-02-20,2691,src2_2024
SAPORTL,2012-10-01,2024-02-20,2700,src2_2024
SAVAREFR,2012-10-01,2023-05-03,1966,src2_2024
SBACBANK,2021-08-11,2026-01-22,1041,both
SEAPEARL,2019-07-16,2026-01-22,1396,both
SEMLFBSLGF,2019-03-04,2026-01-22,1460,both
SEMLIBBLSF,2017-02-12,2026-01-22,1866,both
SEMLLECMF,2016-01-14,2024-02-20,1658,src2_2024
SHAHJABANK,2012-10-01,2024-02-20,2698,src2_2024
SHARPIND,2024-10-29,2026-01-22,296,src1_2026
SHASHADNIM,2015-03-05,2024-02-20,1951,src2_2024
SHEPHERD,2017-03-08,2026-01-22,1920,both
SHURWID,2014-09-08,2024-02-20,2192,src2_2024
SHYAMPSUG,2012-10-01,2024-02-20,2322,src2_2024
SIBL,2012-10-01,2024-02-20,2682,src2_2024
SICL,2024-01-24,2026-01-22,472,both
SILCOPHL,2019-06-13,2026-01-22,1537,both
SILVAPHL,2018-10-10,2026-01-22,1651,both
SIMTEX,2015-11-23,2024-02-20,1936,src2_2024
SINGERBD,2012-10-01,2024-02-20,2691,src2_2024
SINOBANGLA,2012-10-01,2024-02-20,2698,src2_2024
SIPLC,2021-11-07,2026-01-22,1012,src1_2026
SKICL,2021-11-07,2024-02-20,561,src2_2024
SKTRIMS,2018-07-15,2026-01-22,1684,both
SONALIANSH,2012-10-01,2024-02-20,2702,src2_2024
SONALILIFE,2021-06-30,2026-01-22,1091,both
SONALIPAPR,2020-07-27,2026-01-22,1266,both
SONARBAINS,2012-10-01,2024-02-20,2679,src2_2024
SONARGAON,2012-10-01,2024-02-20,2631,src2_2024
SOUTHEASTB,2012-10-01,2024-02-20,2688,src2_2024
SPCERAMICS,2012-10-01,2024-02-20,2658,src2_2024
SPCL,2014-07-15,2024-02-20,2196,src2_2024
SQUARETEXT,2012-10-01,2024-02-20,2649,src2_2024
SQURPHARMA,2012-10-01,2026-01-22,3159,both
SSSTEEL,2019-01-17,2026-01-22,1609,both
STANCERAM,2012-10-01,2024-02-20,2528,src2_2024
STANDARINS,2012-10-01,2024-02-20,2615,src2_2024
STANDBANKL,2012-10-01,2024-02-20,2663,src2_2024
STYLECRAFT,2012-10-02,2024-02-20,2293,src2_2024
SUMITPOWER,2012-10-01,2024-02-20,2653,src2_2024
SUNLIFEINS,2013-01-31,2024-02-20,2541,src2_2024
TAKAFULINS,2012-10-01,2024-02-20,2671,src2_2024
TALLUSPIN,2012-10-01,2024-02-20,2568,src2_2024
TAMIJTEX,2021-06-13,2026-01-22,1076,both
TECHNODRUG,2024-07-14,2026-01-22,364,src1_2026
TILIL,2023-05-11,2026-01-22,645,both
TITASGAS,2012-10-01,2024-02-19,2642,src2_2024
TOSRIFA,2015-06-17,2024-02-20,2022,src2_2024
TRUSTB1MF,2012-10-01,2024-02-20,2661,src2_2024
TRUSTBANK,2012-10-01,2024-02-20,2640,src2_2024
TUNGHAI,2014-09-01,2024-02-20,2106,src2_2024
UCB,2012-10-01,2024-02-20,2693,src2_2024
UNILEVERCL,2012-10-01,2024-02-20,2655,src2_2024
UNIONBANK,2022-01-26,2025-11-05,899,both
UNIONCAP,2012-10-01,2024-02-20,2693,src2_2024
UNIONINS,2022-01-16,2026-01-22,964,both
UNIQUEHRL,2012-10-01,2024-02-20,2679,src2_2024
UNITEDFIN,2012-10-01,2024-02-20,2566,src2_2024
UNITEDINS,2012-10-01,2024-02-20,2613,src2_2024
UPGDCL,2015-04-05,2024-02-20,2069,src2_2024
USMANIAGL,2012-10-01,2024-02-20,2666,src2_2024
UTTARABANK,2012-10-01,2024-02-20,2705,src2_2024
UTTARAFIN,2012-10-01,2024-02-20,2535,src2_2024
VAMLBDMF1,2016-01-17,2024-02-20,1591,src2_2024
VAMLRBBF,2016-12-05,2024-02-20,1426,src2_2024
VFSTDL,2018-09-09,2026-01-22,1544,both
WALTONHIL,2020-09-23,2026-01-22,1216,both
WATACHEM,2014-05-15,2024-02-20,2209,src2_2024
WEBCOATS,2024-03-11,2026-01-22,438,src1_2026
WMSHIPYARD,2014-11-02,2024-02-20,2192,src2_2024
WONDERTOYS,2024-01-28,2026-01-22,436,both
YPL,2016-09-22,2024-02-20,1739,src2_2024
ZAHEENSPIN,2015-03-25,2024-02-20,2040,src2_2024
ZAHINTEX,2012-10-01,2024-02-20,2550,src2_2024
ZEALBANGLA,2012-10-02,2024-02-20,2377,src2_2024
