Symbol,First,Last,Days,Sources
00DS30,2013-01-28,2024-02-20,2640,src2_2024
00DSES,2014-01-23,2024-02-20,2407,src2_2024
00DSEX,2012-10-01,2024-02-20,2717,src2_2024
00DSMEX,2024-01-28,2026-01-22,472,both
1JANATAMF,2012-10-01,2026-01-22,3113,both
1STPRIMFMF,2012-10-01,2024-02-20,2695,src2_2024
AAMRANET,2017-10-02,2026-01-22,1954,both
AAMRATECH,2012-10-01,2024-02-20,2700,src2_2024
ABB1STMF,2012-10-02,2024-02-20,2613,src2_2024
ABBANK,2012-10-01,2024-02-20,2698,src2_2024
ACFL,2018-08-06,2026-01-22,1668,both
ACHIASF,2024-01-28,2026-01-22,467,both
ACI,2012-10-01,2024-02-20,2692,src2_2024
ACIFORMULA,2012-10-01,2024-02-20,2691,src2_2024
ACMELAB,2016-06-07,2024-02-20,1826,src2_2024
ACMEPL,2021-11-14,2026-01-22,921,both
ACTIVEFINE,2012-10-01,2024-02-20,2633,src2_2024
ADNTEL,2020-01-06,2026-01-22,1410,both
ADVENT,2018-04-12,2026-01-22,1810,both
AFCAGRO,2014-02-11,2024-02-20,2246,src2_2024
AFTABAUTO,2012-10-01,2024-02-20,2704,src2_2024
AGNISYSL,2012-10-01,2024-02-20,2703,src2_2024
AGRANINS,2012-10-01,2024-02-20,2681,src2_2024
AIBL1STIMF,2012-10-01,2024-02-20,2563,src2_2024
AIL,2017-12-28,2026-01-22,1790,both
AL-HAJTEX,2012-10-01,2024-02-20,2673,src2_2024
ALARABANK,2012-10-01,2024-02-20,2701,src2_2024
ALIF,2012-10-01,2024-02-20,2665,src2_2024
ALLTEX,2012-10-01,2024-02-20,2633,src2_2024
AMANFEED,2015-09-01,2024-02-20,1959,src2_2024
AMBEEPHA,2012-10-01,2024-02-20,2700,src2_2024
AMCL(PRAN),2012-10-01,2024-02-20,2694,src2_2024
AMPL,2024-01-28,2026-01-22,470,both
ANLIMAYARN,2012-10-01,2024-02-20,2705,src2_2024
ANWARGALV,2012-10-01,2024-02-20,2680,src2_2024
AOL,2020-10-25,2026-01-22,1228,both
AOPLC,2024-01-28,2026-01-22,472,both
APEXFOODS,2012-10-01,2024-02-20,2680,src2_2024
APEXFOOT,2012-10-01,2024-02-20,2678,src2_2024
APEXSPINN,2012-10-01,2024-02-20,2632,src2_2024
APEXTANRY,2012-10-01,2024-02-20,2649,src2_2024
APOLOISPAT,2013-12-24,2024-02-20,2362,src2_2024
APSCLBOND,2020-10-29,2026-01-08,362,both
ARAMIT,2012-10-01,2024-02-20,2691,src2_2024
ARAMITCEM,2012-10-01,2024-02-20,2692,src2_2024
ARGONDENIM,2013-02-19,2024-02-20,2511,src2_2024
ASIAINS,2012-10-01,2024-02-20,2692,src2_2024
ASIAPACINS,2012-10-01,2024-02-20,2667,src2_2024
ASIATICLAB,2024-03-06,2026-01-22,444,src1_2026
ATCSLGF,2015-03-31,2024-02-20,1930,src2_2024
ATLASBANG,2012-10-01,2024-02-20,2462,src2_2024
AZIZPIPES,2012-10-01,2024-02-20,2676,src2_2024
BANGAS,2012-10-01,2024-02-20,2698,src2_2024
BANKASIA,2012-10-01,2024-02-20,2660,src2_2024
BARKAPOWER,2012-10-01,2024-02-20,2613,src2_2024
BATASHOE,2012-10-01,2024-02-20,2674,src2_2024
BATBC,2012-10-01,2026-01-22,3127,both
BAYLEASING,2012-10-01,2024-02-20,2530,src2_2024
BBS,2013-10-08,2024-02-20,2438,src2_2024
BBSCABLES,2017-07-31,2026-01-22,1966,both
BDAUTOCA,2012-10-01,2024-02-20,2640,src2_2024
BDCOM,2012-10-01,2024-02-20,2706,src2_2024
BDFINANCE,2012-10-01,2024-02-20,2520,src2_2024
BDLAMPS,2012-10-01,2024-02-20,2653,src2_2024
BDPAINTS,2024-01-28,2026-01-22,470,both
BDTHAI,2012-10-01,2024-02-20,2679,src2_2024
BDTHAIFOOD,2022-01-24,2026-01-22,919,both
BDWELDING,2012-10-01,2024-02-20,2712,src2_2024
BEACHHATCH,2012-10-01,2024-02-20,2685,src2_2024
BEACONPHAR,2012-10-01,2024-02-20,2651,src2_2024
BENGALBISC,2024-01-28,2026-01-22,447,both
BENGALWTL,2013-04-16,2024-02-20,2562,src2_2024
BERGERPBL,2012-10-01,2024-02-20,2618,src2_2024
BESTHLDNG,2024-02-06,2026-01-22,464,both
BEXGSUKUK,2022-01-13,2026-01-22,922,both
BEXIMCO,2012-10-01,2024-02-20,2696,src2_2024
BGIC,2012-10-01,2024-02-20,2702,src2_2024
BIFC,2012-10-01,2024-02-20,2524,src2_2024
BNICL,2016-04-21,2024-02-20,1852,src2_2024
BPML,2018-07-02,2026-01-22,1773,both
BPPL,2021-07-15,2026-01-22,1010,both
BRACBANK,2012-10-01,2024-02-20,2704,src2_2024
BSC,2012-10-01,2024-02-20,2704,src2_2024
BSCCL,2012-10-01,2024-02-20,2694,src2_2024
BSRMLTD,2015-04-27,2024-02-20,2044,src2_2024
BSRMSTEEL,2012-10-01,2024-02-20,2678,src2_2024
BXPHARMA,2012-10-01,2024-02-20,2702,src2_2024
BXSYNTH,2012-10-01,2020-09-07,1866,src2_2024
CAPITECGBF,2023-10-17,2026-01-22,539,both
CAPMBDBLMF,2017-01-12,2026-01-22,1983,both
CAPMIBBLMF,2018-03-05,2026-01-22,1798,both
CENTRALINS,2012-10-01,2024-02-20,2674,src2_2024
CENTRALPHL,2013-08-14,2024-02-20,2500,src2_2024
CITYBANK,2012-10-01,2024-02-20,2702,src2_2024
CITYGENINS,2012-10-01,2024-02-20,2703,src2_2024
CLICL,2022-10-30,2026-01-22,775,both
CNATEX,2015-01-21,2024-02-20,2089,src2_2024
CONFIDCEM,2012-10-01,2024-02-20,2671,src2_2024
CONTININS,2012-10-01,2024-02-20,2684,src2_2024
COPPERTECH,2019-08-05,2026-01-22,1425,both
CRAFTSMAN,2024-05-16,2026-01-22,399,src1_2026
CROWNCEMNT,2012-10-01,2024-02-20,2536,src2_2024
CRYSTALINS,2020-12-21,2026-01-22,1221,both
CVOPRL,2012-10-01,2024-02-20,2598,src2_2024
DACCADYE,2012-10-01,2024-02-20,2693,src2_2024
DAFODILCOM,2012-10-01,2024-02-20,2565,src2_2024
DBH,2012-10-01,2024-02-20,2665,src2_2024
DBH1STMF,2012-10-01,2024-02-20,2574,src2_2024
DELTALIFE,2012-10-01,2024-02-20,2676,src2_2024
DELTASPINN,2012-10-01,2024-02-20,2621,src2_2024
DESCO,2012-10-01,2024-02-20,2605,src2_2024
DESHBANDHU,2012-10-01,2024-02-20,2695,src2_2024
DGIC,2021-03-29,2026-01-22,1154,both
DHAKABANK,2012-10-01,2024-02-20,2694,src2_2024
DHAKAINS,2012-10-01,2024-02-20,2690,src2_2024
DOMINAGE,2020-12-02,2026-01-22,1211,both
DOREENPWR,2016-04-06,2024-02-20,1785,src2_2024
DSHGARME,2012-10-01,2024-02-20,2686,src2_2024
DSSL,2016-03-23,2024-02-20,1809,src2_2024
DULAMIACOT,2012-10-01,2024-02-20,2432,src2_2024
DUTCHBANGL,2012-10-01,2024-02-20,2693,src2_2024
EASTERNINS,2012-10-01,2024-02-20,2681,src2_2024
EASTLAND,2012-10-01,2024-02-20,2699,src2_2024
EASTRNLUB,2012-10-01,2024-02-20,2553,src2_2024
EBL,2012-10-01,2024-02-20,2698,src2_2024
EBL1STMF,2012-10-01,2024-02-20,2491,src2_2024
EBLNRBMF,2012-10-01,2024-02-20,2491,src2_2024
ECABLES,2012-10-01,2024-02-20,2660,src2_2024
EGEN,2021-02-23,2026-01-22,1133,both
EHL,2012-10-01,2024-02-20,2707,src2_2024
EIL,2020-08-24,2026-01-22,1296,both
EMERALDOIL,2014-03-19,2024-02-20,2361,src2_2024
ENVOYTEX,2012-12-09,2024-02-20,2492,src2_2024
EPGL,2021-01-19,2026-01-22,1155,both
ESQUIRENIT,2019-04-09,2026-01-22,1424,both
ETL,2016-07-17,2024-02-20,1709,src2_2024
EXIM1STMF,2013-07-16,2024-02-20,2074,src2_2024
EXIMBANK,2012-10-01,2024-02-20,2700,src2_2024
FAMILYTEX,2013-06-18,2024-02-20,2438,src2_2024
FARCHEM,2014-07-08,2024-02-20,2259,src2_2024
FAREASTFIN,2013-09-17,2024-02-20,2242,src2_2024
FAREASTLIF,2012-10-01,2024-02-20,2643,src2_2024
FASFIN,2012-10-01,2024-02-20,2638,src2_2024
FBFIF,2012-10-01,2024-02-20,2440,src2_2024
FEDERALINS,2012-10-01,2024-02-20,2698,src2_2024
FEKDIL,2014-08-28,2024-02-20,2225,src2_2024
FINEFOODS,2012-10-01,2024-02-20,2702,src2_2024
FIRSTFIN,2012-10-01,2024-02-20,2551,src2_2024
FIRSTSBANK,2012-10-01,2024-02-20,2699,src2_2024
FORTUNE,2016-10-20,2024-02-20,1676,src2_2024
FUWANGCER,2012-10-01,2024-02-20,2653,src2_2024
FUWANGFOOD,2012-10-01,2024-02-20,2670,src2_2024
GBBPOWER,2012-10-01,2024-02-20,2696,src2_2024
GEMINISEA,2012-10-01,2024-02-20,2632,src2_2024
GENEXIL,2019-02-06,2026-01-22,1603,both
GENNEXT,2012-12-05,2024-02-20,2652,src2_2024
GHAIL,2013-03-04,2024-02-20,2531,src2_2024
GHCL,2013-03-06,2024-02-20,2375,src2_2024
GIB,2022-11-16,2025-11-05,709,both
GLDNJMF,2022-09-21,2026-01-22,659,both
GLOBALINS,2012-10-01,2024-02-20,2684,src2_2024
GOLDENSON,2012-10-01,2024-02-20,2562,src2_2024
GP,2012-10-01,2026-01-22,3146,both
GPHISPAT,2012-10-01,2024-02-20,2685,src2_2024
GQBALLPEN,2012-10-01,2024-02-20,2696,src2_2024
GRAMEENS2,2012-10-01,2024-02-20,2586,src2_2024
GREENDELMF,2012-10-01,2024-02-20,2560,src2_2024
GREENDELT,2012-10-01,2024-02-20,2659,src2_2024
GSPFINANCE,2012-10-01,2024-02-20,2524,src2_2024
HAKKANIPUL,2012-10-01,2024-02-20,2649,src2_2024
HEIDELBCEM,2012-10-01,2024-02-20,2666,src2_2024
HFL,2014-12-04,2024-02-20,2177,src2_2024
HIMADRI,2024-01-28,2026-01-22,431,both
HRTEX,2012-10-01,2024-02-20,2539,src2_2024
HWAWELLTEX,2014-05-14,2024-02-20,2303,src2_2024
IBNSINA,2012-10-01,2024-02-20,2699,src2_2024
IBP,2018-10-18,2026-01-22,1690,both
ICB,2012-10-01,2024-02-20,2640,src2_2024
ICB3RDNRB,2012-10-01,2024-02-20,2532,src2_2024
