symbol,year,rows,days
ACTIVEFINE,2021,43461,239
ACTIVEFINE,2022,29085,237
ACTIVEFINE,2023,628,189
ACTIVEFINE,2024,1349,18
ADNTEL,2020,29289,189
ADNTEL,2021,26900,239
ADNTEL,2022,27572,243
ADNTEL,2023,36619,243
ADNTEL,2024,1921,22
ADVENT,2018,16538,169
ADVENT,2019,21528,236
ADVENT,2020,14488,192
ADVENT,2021,28673,228
ADVENT,2022,32871,242
ADVENT,2023,37686,243
ADVENT,2024,4117,22
AFCAGRO,2015,2481,42
AFCAGRO,2016,16306,283
AFCAGRO,2017,16338,247
AFCAGRO,2018,11263,239
AFCAGRO,2019,10287,236
AFCAGRO,2020,8260,190
AFCAGRO,2021,25944,236
AFCAGRO,2022,17763,236
AFCAGRO,2023,464,131
AFCAGRO,2024,748,15
AFTABAUTO,2015,3423,41
AFTABAUTO,2016,19611,284
AFTABAUTO,2017,16973,247
AFTABAUTO,2018,9611,240
AFTABAUTO,2019,9852,236
AFTABAUTO,2020,11531,195
AFTABAUTO,2021,18479,239
AFTABAUTO,2022,13406,243
AFTABAUTO,2023,17424,242
AFTABAUTO,2024,4170,22
AGNISYSL,2015,2551,42
AGNISYSL,2016,15832,284
AGNISYSL,2017,20639,247
AGNISYSL,2018,16820,240
AGNISYSL,2019,12846,236
AGNISYSL,2020,16867,194
AGNISYSL,2021,26590,239
AGNISYSL,2022,36621,243
AGNISYSL,2023,35499,243
AGNISYSL,2024,3061,22
AGRANINS,2015,358,42
AGRANINS,2016,2960,279
AGRANINS,2017,3536,247
AGRANINS,2018,2213,237
AGRANINS,2019,21570,236
AGRANINS,2020,20534,195
AGRANINS,2021,35278,238
AGRANINS,2022,13746,240
AGRANINS,2023,16277,240
AGRANINS,2024,2086,22
AIBL1STIMF,2015,363,42
AIBL1STIMF,2016,2204,269
AIBL1STIMF,2017,3095,245
AIBL1STIMF,2018,1227,225
AIBL1STIMF,2019,1540,219
AIBL1STIMF,2020,4778,173
AIBL1STIMF,2021,10644,239
AIBL1STIMF,2022,3191,231
AIBL1STIMF,2023,1073,179
AIBL1STIMF,2024,1346,22
AIL,2017,13,1
AIL,2018,24699,239
AIL,2019,29961,236
AIL,2020,16227,187
AIL,2021,22553,233
AIL,2022,12832,223
AIL,2023,24878,168
AIL,2024,2303,22
AL-HAJTEX,2015,3719,42
AL-HAJTEX,2016,21733,284
AL-HAJTEX,2017,20950,247
AL-HAJTEX,2018,15963,240
AL-HAJTEX,2019,26177,235
AL-HAJTEX,2020,6290,181
AL-HAJTEX,2021,22893,238
AL-HAJTEX,2022,21540,235
AL-HAJTEX,2023,20624,237
AL-HAJTEX,2024,829,18
ALARABANK,2015,2927,42
ALARABANK,2016,15438,283
ALARABANK,2017,21542,247
ALARABANK,2018,11062,240
ALARABANK,2019,8912,236
ALARABANK,2020,9482,198
ALARABANK,2021,15559,239
ALARABANK,2022,6618,242
ALARABANK,2023,3578,240
ALARABANK,2024,474,22
ALIF,2015,1797,41
ALIF,2016,21895,283
ALIF,2017,23312,246
ALIF,2018,20924,239
ALIF,2019,23026,236
ALIF,2020,17520,197
ALIF,2021,46005,239
ALIF,2022,33658,242
ALIF,2023,4271,210
ALIF,2024,1365,17
ALLTEX,2015,2847,41
ALLTEX,2016,19768,283
ALLTEX,2017,7071,246
ALLTEX,2018,4778,239
ALLTEX,2019,6950,234
ALLTEX,2020,3937,194
ALLTEX,2021,13459,239
ALLTEX,2022,20614,219
ALLTEX,2023,4300,202
ALLTEX,2024,944,18
AMANFEED,2015,3753,41
AMANFEED,2016,22388,284
AMANFEED,2017,15951,247
AMANFEED,2018,18743,240
AMANFEED,2019,21781,236
AMANFEED,2020,12384,192
AMANFEED,2021,37027,239
AMANFEED,2022,31013,242
AMANFEED,2023,768,195
AMANFEED,2024,1279,18
AMBEEPHA,2015,942,42
AMBEEPHA,2016,12129,283
AMBEEPHA,2017,8399,247
AMBEEPHA,2018,15412,240
AMBEEPHA,2019,14589,236
AMBEEPHA,2020,7981,197
AMBEEPHA,2021,9805,238
AMBEEPHA,2022,12389,243
AMBEEPHA,2023,17119,243
AMBEEPHA,2024,1426,22
AMCL(PRAN),2015,1619,41
AMCL(PRAN),2016,10126,284
AMCL(PRAN),2017,6988,247
AMCL(PRAN),2018,8810,240
AMCL(PRAN),2019,4895,236
AMCL(PRAN),2020,2997,196
AMCL(PRAN),2021,10819,234
AMCL(PRAN),2022,25205,243
AMCL(PRAN),2023,17691,243
AMCL(PRAN),2024,708,22
AMPL,2023,3840,133
AMPL,2024,556,19
ANLIMAYARN,2015,1569,42
ANLIMAYARN,2016,14233,284
ANLIMAYARN,2017,13955,247
ANLIMAYARN,2018,14174,240
ANLIMAYARN,2019,17955,236
ANLIMAYARN,2020,16255,197
ANLIMAYARN,2021,23563,239
ANLIMAYARN,2022,13621,241
ANLIMAYARN,2023,14146,243
ANLIMAYARN,2024,2984,22
ANWARGALV,2015,2527,41
ANWARGALV,2016,15126,284
ANWARGALV,2017,13620,247
ANWARGALV,2018,20696,240
ANWARGALV,2019,16902,236
ANWARGALV,2020,17182,184
ANWARGALV,2021,21374,239
ANWARGALV,2022,28876,243
ANWARGALV,2023,5468,231
ANWARGALV,2024,51,19
AOL,2020,8897,46
AOL,2021,33581,239
AOL,2022,16943,240
AOL,2023,3779,215
AOL,2024,1788,19
AOPLC,2024,522,14
APEXFOODS,2015,2443,42
APEXFOODS,2016,17543,284
APEXFOODS,2017,12614,247
APEXFOODS,2018,15291,240
APEXFOODS,2019,11863,234
APEXFOODS,2020,9552,173
APEXFOODS,2021,13919,233
APEXFOODS,2022,30873,243
APEXFOODS,2023,37016,243
APEXFOODS,2024,2340,22
APEXFOOT,2015,890,42
APEXFOOT,2016,10620,284
APEXFOOT,2017,8689,247
APEXFOOT,2018,7884,240
APEXFOOT,2019,5236,236
APEXFOOT,2020,4136,184
APEXFOOT,2021,7630,221
APEXFOOT,2022,23744,243
APEXFOOT,2023,33467,243
APEXFOOT,2024,2035,22
APEXSPINN,2015,2289,42
APEXSPINN,2016,14024,284
APEXSPINN,2017,8294,247
APEXSPINN,2018,12336,240
APEXSPINN,2019,7170,234
APEXSPINN,2020,6091,174
APEXSPINN,2021,7296,208
APEXSPINN,2022,19950,235
APEXSPINN,2023,16304,243
APEXSPINN,2024,938,22
APEXTANRY,2015,2480,42
APEXTANRY,2016,13707,279
APEXTANRY,2017,7902,247
APEXTANRY,2018,11521,240
APEXTANRY,2019,9656,236
APEXTANRY,2020,4398,189
APEXTANRY,2021,5671,208
APEXTANRY,2022,14158,224
APEXTANRY,2023,10475,241
APEXTANRY,2024,489,22
APEXWEAV,2022,3047,69
APEXWEAV,2023,5222,232
APEXWEAV,2024,435,19
APOLOISPAT,2015,3495,42
APOLOISPAT,2016,22341,284
APOLOISPAT,2017,25133,247
APOLOISPAT,2018,19469,240
APOLOISPAT,2019,17813,237
APOLOISPAT,2020,17144,198
APOLOISPAT,2021,40225,240
APOLOISPAT,2022,21423,239
APOLOISPAT,2023,1166,190
APOLOISPAT,2024,1099,19
APSCLBOND,2020,343,40
APSCLBOND,2021,532,165
APSCLBOND,2022,128,83
APSCLBOND,2023,21,10
ARAMIT,2015,1197,42
ARAMIT,2016,12278,283
ARAMIT,2017,7889,247
ARAMIT,2018,15292,240
ARAMIT,2019,10763,236
ARAMIT,2020,7243,190
ARAMIT,2021,12713,239
ARAMIT,2022,15590,243
ARAMIT,2023,13881,243
ARAMIT,2024,471,22
ARAMITCEM,2015,2471,42
ARAMITCEM,2016,12092,283
ARAMITCEM,2017,14492,247
ARAMITCEM,2018,3501,240
ARAMITCEM,2019,3286,235
ARAMITCEM,2020,2837,190
ARAMITCEM,2021,16587,239
ARAMITCEM,2022,17100,239
ARAMITCEM,2023,16943,242
ARAMITCEM,2024,2646,22
ARGONDENIM,2015,1759,42
ARGONDENIM,2016,15037,284
ARGONDENIM,2017,21633,247
ARGONDENIM,2018,14190,240
ARGONDENIM,2019,8725,236
ARGONDENIM,2020,10762,181
ARGONDENIM,2021,19463,226
ARGONDENIM,2022,11393,228
ARGONDENIM,2023,6925,182
ARGONDENIM,2024,1081,21
ASIAINS,2015,653,42
ASIAINS,2016,4329,282
ASIAINS,2017,3579,247
ASIAINS,2018,1606,228
ASIAINS,2019,19997,236
