symbol,file,file_bytes,lines_physical,header_ok,rows_raw,rows_skipped_by_parser,daily_file_present,daily_header_ok,daily_rows,daily_date_unparseable,daily_date_duplicates,daily_first,daily_last,status,ts_unparseable,nonnumeric_closing,nonnumeric_opening,nonnumeric_high,nonnumeric_low,nonnumeric_volume,seconds_nonzero,rows_unusable,rows_usable,non_monotonic_rows,duplicate_ts_rows,duplicate_ts_distinct,duplicate_ts_conflicting_prices,first_ts,last_ts,days,rows_fri_sat,days_fri_sat,rows_outside_strict_session,rows_outside_loose_session,gap_1min_share,gap_2min_share,gap_gt5min_share,rows_per_day_p10,rows_per_day_median,rows_per_day_p90,rows_per_day_max,days_with_1_row,days_with_lt5_rows,rows_nonpositive_price,rows_negative_volume,rows_zero_volume,rows_volume_1,rows_ohlc_equal,rows_off_tick_grid,rows_ohlc_violation,rows_high_lt_low,rows_minute_jump_ge10pct,rows_minute_jump_ge10pct_finite,rows_minute_jump_through_zero,rows_spike_and_revert,days_gap_zero_endpoint,days_gap_beyond_band,days_gap_gt20pct,rows_floor_era,days_floor_era,ohlc_equal_share_floor,ohlc_equal_share_nonfloor,days_not_in_daily_file,rows_snapshot_prev_session,rows_snapshot_same_day_multirow,xcheck_days,xcheck_close_mismatch,xcheck_close_within_day_range,xcheck_high_mismatch,xcheck_high_minute_above_daily,xcheck_low_mismatch,xcheck_low_minute_below_daily,xcheck_volume_untestable_daily_zero,xcheck_volume_mismatch_5pct,xcheck_volume_minute_gt_daily,xcheck_volume_minute_lt_daily,xcheck_volume_minute_gt_2x_daily,xcheck_days_in_daily_not_minute,xcheck_days_in_minute_not_daily,minute_start_vs_daily_start_days,daily_rows_in_minute_era,days_gap_beyond_band_daily_agrees,days_gap_beyond_band_daily_disagrees,days_gap_beyond_band_daily_untestable,calendar_days_in_span,days_present,days_missing,missing_share,longest_missing_run
FORTUNE,FORTUNE.csv,8934979,195992,True,195991,0,True,True,1676.0,0.0,0.0,2016-10-20,2024-02-20,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195991.0,0.0,0.0,0.0,0.0,2016-10-20 10:32:00,2024-01-31 14:29:00,1649.0,0.0,0.0,2238.0,29.0,0.5907575305389468,0.28443671465766535,0.026242397423099483,4.0,116.0,217.20000000000005,282.0,73.0,195.0,0.0,0.0,1.0,1039.0,159357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,8471.0,305.0,0.7398182032817849,0.8163929180887372,0.0,7.0,8.0,1649.0,148.0,147.0,88.0,0.0,65.0,4.0,0.0,102.0,71.0,31.0,19.0,13.0,0.0,0.0,1676.0,2.0,0.0,0.0,1724.0,1649.0,75.0,0.043503480278422275,6.0
FUWANGCER,FUWANGCER.csv,7484528,166410,True,166409,0,True,True,2653.0,0.0,0.0,2012-10-01,2024-02-20,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166409.0,0.0,0.0,0.0,0.0,2015-10-15 10:40:00,2024-01-31 14:27:00,1947.0,216.0,37.0,2170.0,187.0,0.45949216232321144,0.3042891367002712,0.08705354428378592,5.0,73.0,183.0,269.0,87.0,187.0,0.0,0.0,1.0,1123.0,144294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,26352.0,327.0,0.7079538554948391,0.897049058597571,56.0,22.0,56.0,1891.0,407.0,405.0,193.0,3.0,203.0,6.0,0.0,253.0,185.0,68.0,74.0,27.0,56.0,1109.0,1932.0,1.0,3.0,0.0,2002.0,1947.0,55.0,0.027472527472527472,4.0
FUWANGFOOD,FUWANGFOOD.csv,9456756,208983,True,208982,0,True,True,2670.0,0.0,0.0,2012-10-01,2024-02-20,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208982.0,0.0,0.0,0.0,0.0,2015-10-15 10:40:00,2024-01-31 14:29:00,1956.0,187.0,37.0,2183.0,203.0,0.5504719214011766,0.27536637910214173,0.0542347338015515,5.5,92.0,232.0,276.0,75.0,188.0,1.0,0.0,1.0,1094.0,169754.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,4.0,1.0,42337.0,333.0,0.5285920117155207,0.884364967445768,47.0,49.0,88.0,1909.0,373.0,369.0,178.0,3.0,179.0,4.0,0.0,266.0,194.0,72.0,71.0,26.0,47.0,1109.0,1949.0,1.0,3.0,0.0,2002.0,1956.0,46.0,0.022977022977022976,4.0
GBBPOWER,GBBPOWER.csv,6444163,143541,True,143540,0,True,True,2696.0,0.0,0.0,2012-10-01,2024-02-20,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143540.0,0.0,0.0,0.0,0.0,2015-10-15 10:52:00,2024-01-31 14:26:00,1981.0,173.0,37.0,1950.0,186.0,0.4381212074117506,0.2829209022386425,0.11812742390098828,6.0,58.0,158.0,260.0,60.0,169.0,1.0,0.0,2.0,991.0,125692.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,17657.0,361.0,0.8900152913858527,0.8736445747241486,47.0,85.0,94.0,1934.0,399.0,393.0,132.0,2.0,103.0,2.0,0.0,262.0,192.0,70.0,70.0,27.0,47.0,1109.0,1975.0,1.0,1.0,0.0,2002.0,1981.0,21.0,0.01048951048951049,2.0
GEMINISEA,GEMINISEA.csv,9334121,203417,True,203416,0,True,True,2632.0,0.0,0.0,2012-10-01,2024-02-20,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203416.0,0.0,0.0,0.0,0.0,2015-10-15 11:08:00,2024-01-31 14:27:00,1967.0,231.0,37.0,2661.0,190.0,0.5620479625116034,0.25792632378418356,0.06285958232604778,19.0,88.0,216.0,266.0,44.0,114.0,0.0,0.0,2.0,2771.0,148788.0,0.0,0.0,0.0,3.0,3.0,0.0,5.0,0.0,9.0,5.0,75779.0,368.0,0.5144961005027778,0.8602521212501077,47.0,31.0,95.0,1920.0,264.0,264.0,80.0,2.0,94.0,4.0,0.0,239.0,183.0,56.0,73.0,28.0,47.0,1109.0,1962.0,7.0,2.0,0.0,2002.0,1967.0,35.0,0.017482517482517484,4.0
GENEXIL,GENEXIL.csv,7615939,167942,True,167941,0,True,True,1151.0,0.0,0.0,2019-02-06,2024-02-20,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167941.0,0.0,0.0,0.0,0.0,2019-02-06 10:30:00,2024-01-31 14:27:00,1127.0,0.0,0.0,2659.0,19.0,0.7592947834114643,0.12843646216744398,0.030465068879110865,40.0,153.0,245.0,270.0,32.0,65.0,0.0,0.0,1.0,1106.0,111332.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,75431.0,369.0,0.5860455250493829,0.7256080423737974,1.0,3.0,6.0,1126.0,138.0,136.0,33.0,1.0,21.0,0.0,0.0,72.0,46.0,26.0,6.0,11.0,1.0,0.0,1151.0,2.0,0.0,0.0,1160.0,1127.0,33.0,0.028448275862068967,6.0
GENNEXT,GENNEXT.csv,6793777,163068,True,163067,0,True,True,2652.0,0.0,0.0,2012-12-05,2024-02-20,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163067.0,0.0,0.0,0.0,0.0,2015-10-15 10:42:00,2024-01-31 14:25:00,1990.0,186.0,37.0,1710.0,195.0,0.35735083221068187,0.3554511196508502,0.10460835501033668,22.0,78.0,143.0,265.0,33.0,72.0,2.0,0.0,1.0,2171.0,152734.0,0.0,0.0,0.0,3.0,1.0,2.0,7.0,2.0,3.0,1.0,32810.0,369.0,0.8537640963120999,0.9575070821529745,55.0,63.0,77.0,1935.0,325.0,324.0,133.0,5.0,130.0,3.0,0.0,269.0,196.0,73.0,80.0,26.0,55.0,1044.0,1975.0,0.0,3.0,0.0,2002.0,1990.0,12.0,0.005994005994005994,2.0
GHAIL,GHAIL.csv,6602798,146682,True,146681,0,True,True,2531.0,0.0,0.0,2013-03-04,2024-02-20,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146681.0,0.0,0.0,0.0,0.0,2015-10-15 10:38:00,2024-01-31 14:27:00,1917.0,198.0,37.0,1677.0,192.0,0.40552209112762844,0.3345928545771048,0.09553480146997873,4.0,71.0,156.0,260.0,100.0,213.0,1.0,0.0,2.0,1070.0,133502.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,3.0,0.0,13259.0,302.0,0.8674108152952711,0.9143994243827854,46.0,38.0,68.0,1871.0,256.0,251.0,117.0,4.0,78.0,7.0,0.0,244.0,188.0,56.0,73.0,26.0,46.0,955.0,1911.0,2.0,1.0,0.0,2002.0,1917.0,85.0,0.042457542457542456,9.0
GHCL,GHCL.csv,2368925,53737,True,53736,0,True,True,2375.0,0.0,0.0,2013-03-06,2024-02-20,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53736.0,0.0,0.0,0.0,0.0,2015-10-15 11:54:00,2024-01-31 14:26:00,1760.0,176.0,37.0,801.0,168.0,0.20395951977835924,0.3038710173926428,0.28992227181776203,4.0,22.0,72.0,171.0,97.0,182.0,0.0,0.0,2.0,820.0,50826.0,0.0,0.0,0.0,2.0,2.0,0.0,16.0,0.0,3.0,1.0,3439.0,158.0,0.8522826403024135,0.952243672584846,48.0,18.0,98.0,1712.0,520.0,515.0,77.0,2.0,50.0,5.0,0.0,267.0,182.0,85.0,68.0,31.0,48.0,953.0,1757.0,1.0,2.0,0.0,2002.0,1760.0,242.0,0.12087912087912088,17.0
GIB,GIB.csv,304793,8047,True,8046,0,True,True,310.0,0.0,0.0,2022-11-16,2024-02-20,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8046.0,0.0,0.0,0.0,0.0,2022-11-16 10:00:00,2024-01-31 14:28:00,296.0,0.0,0.0,0.0,0.0,0.49174193548387096,0.09393548387096774,0.296,4.5,11.0,50.5,267.0,3.0,30.0,0.0,0.0,0.0,200.0,7163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8046.0,296.0,0.8902560278399204,,0.0,2.0,0.0,296.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,8.0,3.0,5.0,0.0,0.0,0.0,0.0,310.0,,,,297.0,296.0,1.0,0.003367003367003367,1.0
