row,symbol,ts,code,detail
14893,ACMELAB,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
14937,ACMELAB,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
17451,ACMEPL,2025-05-17,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
17457,ACMEPL,2025-05-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
18510,ACTIVEFINE,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
18554,ACTIVEFINE,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
21493,ADNTEL,2025-05-17,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
21499,ADNTEL,2025-05-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
23303,ADVENT,2025-05-17,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
23309,ADVENT,2025-05-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
24053,AFCAGRO,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
24097,AFCAGRO,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
26620,AFTABAUTO,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
26664,AFTABAUTO,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
29324,AGNISYSL,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
29368,AGNISYSL,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
32014,AGRANINS,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
32058,AGRANINS,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
35426,AIL,2025-05-17,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
35432,AIL,2025-05-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
36498,AL-HAJTEX,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
36542,AL-HAJTEX,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
39169,ALARABANK,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
39213,ALARABANK,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
41870,ALIF,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
41914,ALIF,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
44536,ALLTEX,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
44580,ALLTEX,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
46478,AMANFEED,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
46522,AMANFEED,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
49125,AMBEEPHA,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
49169,AMBEEPHA,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
51822,AMCL(PRAN),2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
51866,AMCL(PRAN),2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
53922,AMPL,2025-05-17,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
53928,AMPL,2025-05-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
54993,ANLIMAYARN,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
55037,ANLIMAYARN,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
57698,ANWARGALV,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
57742,ANWARGALV,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
60534,AOL,2025-05-17,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
60540,AOL,2025-05-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
61006,AOPLC,2025-05-17,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
61012,AOPLC,2025-05-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
62079,APEXFOODS,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
62123,APEXFOODS,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
64757,APEXFOOT,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
64801,APEXFOOT,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
67422,APEXSPINN,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
67466,APEXSPINN,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
70069,APEXTANRY,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
70112,APEXTANRY,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
72427,APOLOISPAT,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
72471,APOLOISPAT,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
