t_recv,source,seq,payload
2026-09-08 10:24:49.588202+00:00,dse_market_history,0,"{""schema_version"": 1, ""software_version"": ""c49f052b347279a00790e3e9c42d347d32e05bb8"", ""prev_segment_sha256"": null, ""segment_hour_utc"": ""20260908T10""}"
2026-09-08 10:25:00.374741+00:00,dse_market_history,0,"{""schema_version"": 1, ""software_version"": ""c49f052b347279a00790e3e9c42d347d32e05bb8"", ""prev_segment_sha256"": ""4bb2139367f3b05510a8629d3d22dfa9ad29e95232677f78794e77f077a71a43"", ""segment_hour_utc"": ""20260908T10""}"
