score,horizon_frames,decile,of,rows,score_min,score_max,p_up,p_down,mean_fwd_ticks,mae,mfe,monotone_p_up,monotone_mean_ticks
imb_top5,4,3,10,353,-0.04694,0.08182,0.20397,0.37677,-0.34278,-0.65014,0.26062,False,False
imb_top5,4,4,10,353,0.08182,0.18649,0.26062,0.35127,-0.25779,-0.58357,0.22946,False,False
imb_top5,4,5,10,354,0.18649,0.26394,0.27401,0.20904,0.05508,-0.27119,0.35028,False,False
imb_top5,4,6,10,353,0.26452,0.38613,0.27479,0.26629,-0.04249,-0.43909,0.35836,False,False
imb_top5,4,7,10,353,0.38613,0.50576,0.27479,0.33711,-0.0085,-0.3796,0.38244,False,False
imb_top5,4,8,10,353,0.50576,0.62662,0.29178,0.34278,-0.12748,-0.68414,0.53399,False,False
imb_top5,4,9,10,353,0.62849,0.73311,0.28329,0.23796,0.24221,-0.19972,0.51133,False,False
imb_top5,4,10,10,354,0.73311,0.93436,0.22599,0.25706,-0.05367,-0.39548,0.37853,False,False
share_resid,4,1,10,354,-1.54619,-0.82877,0.15254,0.47458,-0.74859,-0.99859,0.00847,False,False
share_resid,4,2,10,353,-0.82877,-0.55918,0.13881,0.43343,-0.42351,-0.71105,0.16006,False,False
share_resid,4,3,10,353,-0.55803,-0.329,0.15581,0.40793,-0.40227,-0.83144,0.2153,False,False
share_resid,4,4,10,353,-0.329,-0.12921,0.16997,0.3881,-0.24646,-0.54391,0.20397,False,False
share_resid,4,5,10,354,-0.12911,0.0943,0.22316,0.34463,-0.21893,-0.5,0.25847,False,False
share_resid,4,6,10,353,0.09723,0.28439,0.22946,0.30028,-0.1119,-0.42068,0.28895,False,False
share_resid,4,7,10,353,0.28451,0.45073,0.26346,0.28045,-0.04108,-0.38527,0.32861,False,False
share_resid,4,8,10,353,0.45114,0.61829,0.32011,0.1728,0.21388,-0.1983,0.50708,False,False
share_resid,4,9,10,353,0.61829,0.80465,0.31161,0.25212,0.06516,-0.30312,0.45042,False,False
share_resid,4,10,10,354,0.80516,1.50119,0.48023,0.14124,0.47316,-0.23305,0.87994,False,False
