candidate_id,horizon_frames,outcome,n_rows,n_valid,n_signal,n_signal_valid,episodes,symbol_coverage,share_of_valid_rows,base_p_outcome,n_matched,ctrl_p_outcome,control_draws,p_up,p_down,p_outcome,mean_fwd_ticks,median_fwd_ticks,mfe,mae,median_t_favourable_s,median_t_adverse_s,lift_vs_base_pp,matched_lift_pp,matched_lift_sd,ctrl_mean_ticks,ticks_vs_ctrl,family,logic,formula,truth_class,status,reason
DYN_F_l1_pos_top5_weak,8,up,4257,3529,175,159,55,14,0.04506,0.29498,153,0.3451,20,0.31447,0.46541,0.31447,-0.38365,0.0,0.77044,-0.89308,157.91964,187.02904,1.94856,-3.0628,4.13152,-0.16699,-0.21666,dynamics,L1 > θ and top5 < 0,,INFERRED,WEAK,matched lift -3.06pp — inside ±5pp of its control
DYN_G_top5_pos_l1_weak,2,down,4257,3560,671,634,161,14,0.17809,0.21124,619,0.18514,20,0.10095,0.24606,0.24606,-0.16246,0.0,0.00394,-0.26025,80.44915,73.3069,3.4824,6.09227,1.59446,-0.04414,-0.11832,dynamics,"top5 > θ and L1 < 0 — deep bullish, touch bearish",,INFERRED,PROMISING,matched lift +6.09pp on 161 episodes
DYN_G_top5_pos_l1_weak,4,down,4257,3533,671,636,161,14,0.18002,0.31956,615,0.27927,20,0.16195,0.37264,0.37264,-0.2445,0.0,0.23742,-0.5739,117.43209,104.67421,5.30816,9.33717,1.45901,-0.0161,-0.2284,dynamics,"top5 > θ and L1 < 0 — deep bullish, touch bearish",,INFERRED,PROMISING,matched lift +9.34pp on 161 episodes
DYN_G_top5_pos_l1_weak,8,down,4257,3529,671,627,161,14,0.17767,0.40861,612,0.36822,20,0.24721,0.48485,0.48485,-0.35088,0.0,0.62998,-1.16427,199.08956,145.02955,7.62357,11.6631,1.28908,-0.19493,-0.15595,dynamics,"top5 > θ and L1 < 0 — deep bullish, touch bearish",,INFERRED,PROMISING,matched lift +11.66pp on 161 episodes
DYN_H_persistent,2,up,4257,3560,1200,1110,208,14,0.3118,0.16826,1094,0.12642,20,0.21892,0.14144,0.21892,0.08378,0.0,0.18649,-0.0518,73.47129,76.68436,5.06616,9.25032,0.97871,-0.17665,0.26043,dynamics,P above θ for ≥ 3 consecutive frames,,INFERRED,PROMISING,matched lift +9.25pp on 208 episodes
DYN_H_persistent,4,up,4257,3533,1200,1091,208,14,0.3088,0.24455,1074,0.18459,20,0.31164,0.21815,0.31164,0.11549,0.0,0.42209,-0.23831,100.95187,116.84575,6.70886,12.70497,1.35263,-0.31927,0.43476,dynamics,P above θ for ≥ 3 consecutive frames,,INFERRED,PROMISING,matched lift +12.70pp on 208 episodes
DYN_H_persistent,8,up,4257,3529,1200,1092,208,14,0.30944,0.29498,1075,0.22544,20,0.36538,0.29121,0.36538,0.0174,0.0,0.75824,-0.63324,131.26243,168.32705,7.03956,13.99381,1.07058,-0.43856,0.45596,dynamics,P above θ for ≥ 3 consecutive frames,,INFERRED,PROMISING,matched lift +13.99pp on 208 episodes
DYN_I_exhaustion,2,up,4257,3560,205,192,198,14,0.05393,0.16826,192,0.15781,20,0.13021,0.125,0.13021,0.04688,0.0,0.17448,-0.08854,110.26768,120.92501,-3.80484,-2.76025,2.13812,-0.09701,0.14389,dynamics,P above θ but V < 0 and A < 0,,INFERRED,WEAK,matched lift -2.76pp — inside ±5pp of its control
DYN_I_exhaustion,4,up,4257,3533,205,195,198,14,0.05519,0.24455,195,0.23513,20,0.24615,0.23077,0.24615,-0.0359,0.0,0.37436,-0.35385,123.11,128.05202,0.15986,1.10218,2.80526,-0.12103,0.08513,dynamics,P above θ but V < 0 and A < 0,,INFERRED,WEAK,matched lift +1.10pp — inside ±5pp of its control
DYN_I_exhaustion,8,up,4257,3529,205,195,198,14,0.05526,0.29498,195,0.26795,20,0.33846,0.32821,0.33846,-0.12821,0.0,0.64103,-0.72821,158.0525,205.07465,4.34756,7.05113,3.21281,-0.27731,0.1491,dynamics,P above θ but V < 0 and A < 0,,INFERRED,PROMISING,matched lift +7.05pp on 198 episodes
DYN_J_reversal,2,up,4257,3560,145,140,145,14,0.03933,0.16826,138,0.20543,20,0.21429,0.14286,0.21429,0.21071,0.0,0.33929,-0.11429,111.24155,102.06534,4.60316,0.88552,3.4173,-0.09312,0.30383,dynamics,P crosses from below −θ to above +θ,,INFERRED,WEAK,matched lift +0.89pp — inside ±5pp of its control
DYN_J_reversal,4,up,4257,3533,145,135,145,14,0.03821,0.24455,132,0.26288,20,0.38519,0.28148,0.38519,0.15926,0.0,0.72593,-0.45926,126.46877,121.6182,14.06386,12.23112,4.36303,-0.19943,0.35869,dynamics,P crosses from below −θ to above +θ,,INFERRED,PROMISING,matched lift +12.23pp on 145 episodes
DYN_J_reversal,8,up,4257,3529,145,138,145,14,0.0391,0.29498,136,0.34118,20,0.36232,0.42029,0.36232,-0.15942,0.0,1.18478,-1.07246,145.83595,168.67339,6.73356,2.11435,2.99297,-0.26636,0.10694,dynamics,P crosses from below −θ to above +θ,,INFERRED,WEAK,matched lift +2.11pp — inside ±5pp of its control
