candidate_id,horizon_frames,outcome,n_rows,n_valid,n_signal,n_signal_valid,episodes,symbol_coverage,share_of_valid_rows,base_p_outcome,n_matched,ctrl_p_outcome,control_draws,p_up,p_down,p_outcome,mean_fwd_ticks,median_fwd_ticks,mfe,mae,median_t_favourable_s,median_t_adverse_s,lift_vs_base_pp,matched_lift_pp,matched_lift_sd,ctrl_mean_ticks,ticks_vs_ctrl,family,logic,formula,truth_class,status,reason,dev_val_agreement
TLPI_l4_rank,4,up,4257,3533,1771,1649,310,14,0.46674,0.24455,1593,0.17734,20,0.32444,0.23105,0.32444,0.12674,0.0,0.50243,-0.29867,109.64872,115.00109,7.98886,14.71016,0.85601,-0.41492,0.54166,tlpi_rank_ablation,rank-decayed twin of TLPI(4) > 0.2,,INFERRED,PROMISING,matched lift +14.71pp on 310 episodes,"UNAVAILABLE — one session, no split"
VETO_E1_no_depletion,4,up,4257,3533,1700,1559,320,14,0.44127,0.24455,1521,0.17337,20,0.32008,0.22322,0.32008,0.13214,0.0,0.4891,-0.27614,108.85046,115.97802,7.55286,14.67072,0.60072,-0.38143,0.51357,veto,E1 and liquidity not depleting,,INFERRED,PROMISING,matched lift +14.67pp on 320 episodes,"UNAVAILABLE — one session, no split"
VETO_E1_no_hard_risk,4,up,4257,3533,1736,1585,334,14,0.44863,0.24455,1563,0.17655,20,0.3205,0.22397,0.3205,0.13312,0.0,0.49748,-0.28265,108.5142,115.30565,7.59486,14.39485,0.65163,-0.39995,0.53307,veto,E1 and fewer than two risk states,,INFERRED,PROMISING,matched lift +14.39pp on 334 episodes,"UNAVAILABLE — one session, no split"
TLPI_l2,4,up,4257,3533,1891,1762,294,14,0.49873,0.24455,1695,0.17088,20,0.31271,0.23893,0.31271,0.08939,0.0,0.4651,-0.31413,109.47389,114.20932,6.81586,14.1825,0.75268,-0.46513,0.55452,tlpi,TLPI(2) > 0.2,Σq·exp(-λ·|p-mid|/tick) imbalance,INFERRED,PROMISING,matched lift +14.18pp on 294 episodes,"UNAVAILABLE — one session, no split"
TLPI_l4,4,up,4257,3533,1782,1660,309,14,0.46986,0.24455,1604,0.18251,20,0.32349,0.23133,0.32349,0.12741,0.0,0.5012,-0.29699,109.87805,115.53634,7.89386,14.09775,0.95708,-0.39531,0.52272,tlpi,TLPI(4) > 0.2,Σq·exp(-λ·|p-mid|/tick) imbalance,INFERRED,PROMISING,matched lift +14.10pp on 309 episodes,"UNAVAILABLE — one session, no split"
TLPI_l1_rank,4,up,4257,3533,2027,1893,253,14,0.53581,0.24455,1720,0.15358,20,0.29424,0.24723,0.29424,0.09905,0.0,0.47227,-0.31352,110.29121,112.76111,4.96886,14.06644,0.69698,-0.61388,0.71293,tlpi_rank_ablation,rank-decayed twin of TLPI(1) > 0.2,,INFERRED,PROMISING,matched lift +14.07pp on 253 episodes,"UNAVAILABLE — one session, no split"
TLPI_l2_rank,4,up,4257,3533,1857,1728,292,14,0.4891,0.24455,1661,0.17128,20,0.30961,0.24016,0.30961,0.08102,0.0,0.46267,-0.32002,109.20054,115.00109,6.50586,13.83276,0.89884,-0.44694,0.52796,tlpi_rank_ablation,rank-decayed twin of TLPI(2) > 0.2,,INFERRED,PROMISING,matched lift +13.83pp on 292 episodes,"UNAVAILABLE — one session, no split"
X_touch_dominant_noveto,4,up,4257,3533,702,661,211,14,0.18709,0.24455,658,0.22204,20,0.35703,0.20726,0.35703,0.30862,0.0,0.62405,-0.13767,99.23785,122.8511,11.24786,13.49935,1.08016,-0.1965,0.50512,cross,touch-dominant bid and no risk state,,INFERRED,PROMISING,matched lift +13.50pp on 211 episodes,"UNAVAILABLE — one session, no split"
DYN_H_persistent,4,up,4257,3533,1200,1091,208,14,0.3088,0.24455,1074,0.18459,20,0.31164,0.21815,0.31164,0.11549,0.0,0.42209,-0.23831,100.95187,116.84575,6.70886,12.70497,1.35263,-0.31927,0.43476,dynamics,P above θ for ≥ 3 consecutive frames,,INFERRED,PROMISING,matched lift +12.70pp on 208 episodes,"UNAVAILABLE — one session, no split"
DYN_J_reversal,4,up,4257,3533,145,135,145,14,0.03821,0.24455,132,0.26288,20,0.38519,0.28148,0.38519,0.15926,0.0,0.72593,-0.45926,126.46877,121.6182,14.06386,12.23112,4.36303,-0.19943,0.35869,dynamics,P crosses from below −θ to above +θ,,INFERRED,PROMISING,matched lift +12.23pp on 145 episodes,"UNAVAILABLE — one session, no split"
